track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,album_id,album_name,popularity,release_date
4S1DcySs2qHEggSlceBmvl,0.58,0.664,9,-6.541,1,0.0316,0.424,0.323,0.128,0.195,132.259,236600,Take No,3rYydzqOp83YUYh4EXjrbk,Hale,32,2005
40b9yd2XrcYXuJkoW9bHIr,0.312,0.514,7,-7.213,1,0.0332,0.0991,0.000169,0.112,0.233,140.853,296547,Broken Sonnet,3rYydzqOp83YUYh4EXjrbk,Hale,53,2005
5KFFqtixyLrREHz3iiU9jw,0.588,0.49,4,-6.401,1,0.0344,0.304,0.025,0.072,0.331,75.155,286960,Blue Sky,3rYydzqOp83YUYh4EXjrbk,Hale,68,2005
08hFNg8Oz3lvaAms7qrIif,0.556,0.563,4,-6.591,1,0.032,0.511,0.0,0.119,0.238,134.259,291320,The Day You Said Goodnight,3rYydzqOp83YUYh4EXjrbk,Hale,73,2005
4fnBf4JSGxnVw3cPED47Xt,0.644,0.626,2,-5.633,1,0.0372,0.224,0.000237,0.219,0.155,118.44,286947,Wishing,3rYydzqOp83YUYh4EXjrbk,Hale,30,2005
2NS8ng4tzX7LNudqnxwBvJ,0.577,0.268,0,-7.957,1,0.0283,0.777,3.74e-06,0.0756,0.114,130.436,351107,Here Tonight,3rYydzqOp83YUYh4EXjrbk,Hale,41,2005
444aHC3uiDijx7jzmMkIUK,0.398,0.801,4,-5.595,1,0.0415,0.263,0.000191,0.147,0.566,148.358,235920,Kahit Pa,3rYydzqOp83YUYh4EXjrbk,Hale,66,2005
28OGggCTRpZFpKcK2PblOQ,0.549,0.32,4,-8.201,1,0.0308,0.419,0.0597,0.151,0.0503,134.332,274493,Life Support,3rYydzqOp83YUYh4EXjrbk,Hale,28,2005
6VmPwQRaIzk6LV5HihJTVV,0.521,0.505,7,-8.848,1,0.0338,0.556,0.00729,0.0765,0.328,149.893,281947,Underneath the Waves,3rYydzqOp83YUYh4EXjrbk,Hale,40,2005
4LOd9gvJ5dTjfMAqUN4Hgl,0.571,0.673,2,-6.978,1,0.033,0.314,0.000299,0.09,0.551,125.059,267453,Runaway,3rYydzqOp83YUYh4EXjrbk,Hale,31,2005
6oe1Jveae2ivaU8vOZCwGd,0.657,0.202,4,-9.153,1,0.033,0.865,6.67e-05,0.124,0.608,112.766,247120,Bent Down,3rYydzqOp83YUYh4EXjrbk,Hale,28,2005
4he4CYDhvSPTxQc0e0Le1L,0.502,0.338,7,-7.261,1,0.0263,0.704,0.000887,0.113,0.155,136.355,242813,Kung Wala Ka,3rYydzqOp83YUYh4EXjrbk,Hale,67,2005
1OdS3rdw5nHIqVNwsZKwj4,0.614,0.7,0,-7.238,1,0.0285,0.191,1.45e-06,0.328,0.523,130.313,169587,Last Song,6Vz0p4d6haOtbwwYADd7zV,Twilight,26,2006
1r8PW2amrGrjzM5i4Mevbp,0.482,0.765,2,-7.061,1,0.0348,0.00986,0.00847,0.105,0.305,126.343,243093,Fire in the Sky,6Vz0p4d6haOtbwwYADd7zV,Twilight,13,2006
2I8wfGQaxXfpfsTXVLtAeN,0.482,0.514,2,-9.321,1,0.0258,0.0398,0.0196,0.0816,0.12,150.002,285893,Empty Tears Empty Heart,6Vz0p4d6haOtbwwYADd7zV,Twilight,25,2006
1wgWjgF74fcU3felXyRsoe,0.526,0.422,0,-6.24,1,0.026,0.602,2.14e-05,0.111,0.181,132.433,309773,The Ballad Of,6Vz0p4d6haOtbwwYADd7zV,Twilight,33,2006
7eTuaShKv34QuenDpJXAuO,0.565,0.281,2,-9.788,1,0.0352,0.487,0.00277,0.111,0.0658,134.361,251840,Waltz,6Vz0p4d6haOtbwwYADd7zV,Twilight,43,2006
0J8rS5advsS43BsPym0wz4,0.524,0.691,0,-7.759,1,0.0386,0.0189,0.00662,0.154,0.615,143.421,318613,Hide and Seek,6Vz0p4d6haOtbwwYADd7zV,Twilight,26,2006
4pHbHvPz7QlelXppuumEJ5,0.669,0.516,11,-6.064,0,0.0322,0.0657,0.000553,0.11,0.249,117.994,231373,Eyes Wide Shut,6Vz0p4d6haOtbwwYADd7zV,Twilight,12,2006
1BmCunl79a8seIArATPrZo,0.686,0.173,0,-13.033,1,0.031,0.908,0.0575,0.103,0.178,117.305,254720,Liham,6Vz0p4d6haOtbwwYADd7zV,Twilight,15,2006
6t6sNZubJB1XnzOeQZiyFO,0.511,0.316,2,-8.279,1,0.0324,0.557,1.06e-05,0.129,0.0993,134.39,252080,Shooting Star,6Vz0p4d6haOtbwwYADd7zV,Twilight,51,2006
6S1RLm8Z76VhAxFBAsMk7G,0.678,0.377,7,-9.192,1,0.0351,0.085,0.00726,0.117,0.145,130.453,317093,"7,8",6Vz0p4d6haOtbwwYADd7zV,Twilight,10,2006
2bFImXMddCGMjfd3mjasAc,0.582,0.434,4,-7.535,1,0.0277,0.788,0.574,0.144,0.0774,75.164,244413,Elegy,6Vz0p4d6haOtbwwYADd7zV,Twilight,12,2006
4LH39T37pO7mt7N70J4bY6,0.876,0.368,7,-9.493,1,0.043,0.0979,0.0486,0.114,0.184,124.043,212427,Dahil Sa'yo Himig Ng Aking Gitara,6Vz0p4d6haOtbwwYADd7zV,Twilight,16,2006
4R9PYW9RHvuORBzwSEonXL,0.596,0.443,7,-8.057,1,0.0338,0.583,0.000279,0.091,0.101,87.913,267160,Starting Over,6Vz0p4d6haOtbwwYADd7zV,Twilight,12,2006
2miVdzyv33dBVWGDCq50Qx,0.342,0.67,9,-10.171,1,0.027,0.0242,0.812,0.12,0.184,137.399,317653,Brother,6Vz0p4d6haOtbwwYADd7zV,Twilight,9,2006
277Alk2XNStzK60xKxd4Us,0.425,0.832,7,-3.408,1,0.0339,0.000825,0.000799,0.28,0.657,139.059,204467,Over and Over,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",28,2008
3HcMCjfoT5gzGWDf85xOcs,0.485,0.777,2,-4.143,1,0.0322,0.185,0.0,0.323,0.797,130.032,196587,This Is a Happy Song,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",18,2008
0n7csUnCOlM3yyOSOBvSbw,0.705,0.602,2,-4.727,1,0.0296,0.00497,0.0,0.119,0.369,128.015,186627,Sundown,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",29,2008
6KJ2dkshbxi83FrjQONtKK,0.478,0.812,2,-6.381,1,0.0515,0.0145,0.00383,0.109,0.402,80.094,255893,Pitong Araw,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",47,2008
1f3azBzBWxNk9vq2Uo6yd8,0.602,0.685,7,-7.251,1,0.0271,0.0131,0.00563,0.273,0.491,115.04,218013,Sandali Na Lang,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",58,2008
4SKkDgAvFOnbBMpaEYdfmY,0.433,0.693,7,-4.796,1,0.0293,0.00228,0.123,0.283,0.202,93.031,257893,The End,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",15,2008
6gPWMZ2zgZIQ5q0f04lNKW,0.423,0.437,9,-6.508,1,0.0299,0.387,1.01e-05,0.107,0.0979,133.07,264987,Requim,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",15,2008
45KY0RdS5fsQEk5iar2mXo,0.546,0.474,4,-5.788,1,0.0314,0.159,8.53e-05,0.0805,0.267,120.09,282507,Back from Beginning,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",15,2008
7MBCZfqCNbniFy9T7CxHi1,0.436,0.739,4,-5.358,1,0.0359,0.00948,0.00107,0.0799,0.805,151.002,272547,Tama Na Ba?,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",14,2008
07K14kTTq6loGbhJAfsDxK,0.519,0.599,7,-4.479,1,0.0296,0.0763,0.0108,0.133,0.152,116.094,303213,Skip the Drama,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",12,2008
347xje41T3cLgIT0ZKhx1I,0.555,0.404,11,-6.45,1,0.0264,0.454,0.0,0.144,0.444,77.035,176627,Hagatna Bay,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",25,2008
0EGUWgZbWeVKqGbfaoqQ3G,0.496,0.297,0,-6.777,1,0.0291,0.444,0.00435,0.084,0.478,182.046,294360,Treehouse,562TcgdSCsGZ0ok5QtXcJC,"Above, Over and Beyond",15,2008
