track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_name
4BtBGr5lm4CtiIVFGEI8Fu,Pilak,7HJDRQAfEcFiARVehhM6qD,Gloc-9,1Bpxaw9iEYEvKWAzUnJQwF,235688,2023-10-27,0,0.435,0.944,5,-4.925,0,0.35,0.112,0.000366,0.374,0.744,83.083,Pilak
5Q7UvY8IEicx1unql1smm5,Buhat,7HJDRQAfEcFiARVehhM6qD,Gloc-9,1Bpxaw9iEYEvKWAzUnJQwF,212448,2023-10-27,0,0.719,0.711,10,-6.396,0,0.0342,0.15,0.511,0.137,0.516,98.006,Pilak
6m5SZunxILQQsndmmNYVhf,Kamusta Ka Na,7HJDRQAfEcFiARVehhM6qD,Gloc-9,1Bpxaw9iEYEvKWAzUnJQwF,259762,2023-10-27,0,0.715,0.743,0,-5.689,0,0.0967,0.478,0.0,0.161,0.677,83.945,Pilak
0xlTnx065c58AcFW5Ntkqd,Bahay Yugyugan,7HJDRQAfEcFiARVehhM6qD,Gloc-9,1Bpxaw9iEYEvKWAzUnJQwF,255081,2023-10-27,0,0.726,0.811,7,-5.199,1,0.0646,0.0572,0.0206,0.321,0.961,91.516,Pilak
765oGHywvMXMw5aMX98NfR,Di Umiinom,7HJDRQAfEcFiARVehhM6qD,Gloc-9,1Bpxaw9iEYEvKWAzUnJQwF,230721,2023-10-27,0,0.698,0.739,5,-6.119,0,0.0462,0.527,1.95e-06,0.118,0.768,97.015,Pilak
7fjHvAgoTGFa8nvEZgqNOu,Paliwanag,7HJDRQAfEcFiARVehhM6qD,Gloc-9,1Bpxaw9iEYEvKWAzUnJQwF,250125,2023-10-27,0,0.62,0.908,11,-5.121,0,0.0495,0.0557,7.15e-06,0.308,0.571,160.026,Pilak
0NIkboOpsurwBTtIXcOfWl,Buhok,7HJDRQAfEcFiARVehhM6qD,Gloc-9,1Bpxaw9iEYEvKWAzUnJQwF,232285,2023-10-27,0,0.646,0.865,9,-5.56,0,0.0491,0.142,0.091,0.29,0.673,140.107,Pilak
5jeri3XIO8naGP3oor2Xaz,Kumpisal,7HJDRQAfEcFiARVehhM6qD,Gloc-9,1Bpxaw9iEYEvKWAzUnJQwF,305647,2023-10-27,0,0.377,0.887,10,-6.554,0,0.0885,0.035,0.0,0.115,0.542,82.008,Pilak
42VIujSqZczaIWYAAgq7ko,RESBAK,7HJDRQAfEcFiARVehhM6qD,Gloc-9,1Bpxaw9iEYEvKWAzUnJQwF,322722,2023-10-27,0,0.663,0.725,2,-7.7,1,0.129,0.605,1.4e-06,0.0886,0.278,87.933,Pilak
7KiM2LUbjnFA5M96uRlTJP,Walang Pumapalakpak,7HJDRQAfEcFiARVehhM6qD,Gloc-9,1Bpxaw9iEYEvKWAzUnJQwF,268000,2023-10-27,0,0.689,0.863,6,-4.93,0,0.0743,0.198,0.0,0.0646,0.743,89.971,Pilak
4xydsmQ9o3E1gSRVSvJ6v2,Barya Lang - Intro,7HJDRQAfEcFiARVehhM6qD,Gloc-9,2ufxviLKc2C0TvCuw2bfIS,27466,2016-01-01,0,0.369,0.321,1,-19.422,0,0.0973,0.629,0.046,0.208,0.45,151.066,Sukli
1bU6pV13d8DlyVJbz6N9WS,Hoy!,7HJDRQAfEcFiARVehhM6qD,Gloc-9,2ufxviLKc2C0TvCuw2bfIS,240000,2016-01-01,31,0.709,0.874,11,-6.325,0,0.0488,0.0683,7.87e-05,0.295,0.825,137.999,Sukli
47wQMZvUYKeRN73I6Qg735,Sukli,7HJDRQAfEcFiARVehhM6qD,Gloc-9,2ufxviLKc2C0TvCuw2bfIS,239026,2016-01-01,34,0.59,0.749,3,-6.633,0,0.0529,0.274,0.0,0.088,0.497,156.027,Sukli
68EeBn2gJHvaeDhciiBT38,Industriya,7HJDRQAfEcFiARVehhM6qD,Gloc-9,2ufxviLKc2C0TvCuw2bfIS,389586,2016-01-01,40,0.669,0.748,1,-5.741,0,0.077,0.284,3.99e-05,0.124,0.546,80.973,Sukli
