track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_name
0sm5R6MjXORjLcs1bulN6n,All Your Exes,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0tDLeJartXoM4ACuUx2MOu,209275,2021-04-30,47,0.6,0.619,1,-5.185,1,0.0319,0.0233,0.0,0.121,0.334,112.099,Not In Chronological Order
1g5pB9oVpLUM7dxhGhCOke,Love Is Weird,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0tDLeJartXoM4ACuUx2MOu,150393,2021-04-30,40,0.532,0.406,11,-9.297,0,0.0373,0.605,0.0,0.126,0.31,112.732,Not In Chronological Order
5YAkSJQDoAPx0zGgo8vHU2,Pessimist,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0tDLeJartXoM4ACuUx2MOu,197829,2021-04-30,40,0.687,0.768,8,-5.059,1,0.0442,0.105,0.0,0.0537,0.738,137.952,Not In Chronological Order
6En4n38HDSmtGxQJu2Tekp,Little Did I Know,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0tDLeJartXoM4ACuUx2MOu,196253,2021-04-30,37,0.426,0.403,7,-6.189,1,0.0327,0.354,0.0,0.0887,0.351,139.056,Not In Chronological Order
08Ov5PSmldmPxZDGufK6Pj,Orange Magic,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0tDLeJartXoM4ACuUx2MOu,173937,2021-04-30,34,0.534,0.669,0,-5.458,1,0.0331,0.00683,0.0,0.14,0.383,160.028,Not In Chronological Order
1rqIA9CG4Vj44JYVqBpxIj,Lie Like This,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0tDLeJartXoM4ACuUx2MOu,218382,2021-04-30,43,0.734,0.694,1,-5.721,1,0.0537,0.142,1.4e-06,0.0675,0.844,120.991,Not In Chronological Order
433GlmCc3VnUHqogFFQzq9,Wrapped Around,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0tDLeJartXoM4ACuUx2MOu,163281,2021-04-30,35,0.533,0.66,11,-6.301,0,0.0564,0.147,0.0,0.206,0.594,123.861,Not In Chronological Order
0c35qjZXDGTkNHXUlIc6tY,History,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0tDLeJartXoM4ACuUx2MOu,139625,2021-04-30,32,0.532,0.199,4,-8.158,1,0.0512,0.914,0.0,0.111,0.435,129.82,Not In Chronological Order
0JeAo18bs3edkTQ30aZtih,Undertone,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0tDLeJartXoM4ACuUx2MOu,196070,2021-04-30,36,0.548,0.76,8,-6.109,1,0.0609,0.383,1.64e-05,0.086,0.442,147.011,Not In Chronological Order
3LS7eIJfb4eajXcqbnlN2b,That's The Kind Of Woman,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0tDLeJartXoM4ACuUx2MOu,134684,2021-04-30,41,0.54,0.435,6,-7.147,0,0.0561,0.599,0.0,0.122,0.363,77.027,Not In Chronological Order
0ND8rF8oirMXtE59n585P6,17,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,2f4Ejh4Po2rpuXSYa6IDCe,182800,2019-06-28,60,0.774,0.466,4,-6.869,1,0.0433,0.458,0.0,0.111,0.396,97.975,Inner Monologue Part 2
5AmTHXOp1sTFkYZBRBQ7zt,Falling For Boys,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,2f4Ejh4Po2rpuXSYa6IDCe,183720,2019-06-28,47,0.646,0.485,0,-6.647,1,0.0829,0.501,0.0,0.121,0.408,148.13,Inner Monologue Part 2
3JPXFD2aJ4dHPMnGwo41bO,Hurt Again,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,2f4Ejh4Po2rpuXSYa6IDCe,202320,2019-06-28,48,0.826,0.701,4,-4.176,0,0.0495,0.251,1.74e-06,0.0936,0.784,129.977,Inner Monologue Part 2
