track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_name
4CLDrNSJcJQIeFkHCLM3gb,26,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3edu0vIRVJ6vcK3yagi6oS,159607,2022-08-05,57,0.643,0.458,6,-8.636,1,0.0875,0.809,0.00015,0.237,0.506,164.16,All 4 Nothing
3aUD2nXnCYiGd9V1UhfyRz,Stranger,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3edu0vIRVJ6vcK3yagi6oS,164688,2022-08-05,64,0.65,0.538,5,-7.511,1,0.0464,0.128,4.95e-06,0.127,0.501,153.179,All 4 Nothing
77MrX98hyOXLSs3dIfmOYk,Kids Are Born Stars,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3edu0vIRVJ6vcK3yagi6oS,187026,2022-08-05,64,0.802,0.547,8,-7.034,1,0.0518,0.205,0.0,0.109,0.922,109.966,All 4 Nothing
7diY4bRXZ7ca6BEGNlz3xL,Molly In Mexico,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3edu0vIRVJ6vcK3yagi6oS,179388,2022-08-05,53,0.664,0.855,1,-6.069,0,0.0633,0.00439,0.241,0.0959,0.754,143.993,All 4 Nothing
7I5WT7DtpwSAhEeDLpZEfm,All 4 Nothing (I'm So In Love),5JZ7CnR6gTvEMKX4g70Amv,Lauv,3edu0vIRVJ6vcK3yagi6oS,183014,2022-08-05,70,0.72,0.819,1,-4.588,1,0.0362,0.0411,0.0,0.0606,0.898,131.99,All 4 Nothing
6Vv8kZbiRdSbybIukXjvWF,Stay Together,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3edu0vIRVJ6vcK3yagi6oS,140316,2022-08-05,55,0.892,0.595,9,-7.053,1,0.0811,0.256,1.79e-05,0.116,0.694,155.086,All 4 Nothing
1yxsoZCXBEcplWHsuc6wey,Summer Nights,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3edu0vIRVJ6vcK3yagi6oS,156050,2022-08-05,51,0.783,0.825,0,-7.483,0,0.0751,0.0581,6.12e-05,0.0631,0.226,139.956,All 4 Nothing
1sQG9Vo4av58gq91eoEU1S,Time After Time,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3edu0vIRVJ6vcK3yagi6oS,147253,2022-08-05,47,0.683,0.598,6,-5.322,1,0.188,0.0103,9.84e-05,0.251,0.478,107.971,All 4 Nothing
3XA0msNCCQysLnspbnbgw3,Hey Ari,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3edu0vIRVJ6vcK3yagi6oS,168722,2022-08-05,55,0.757,0.274,2,-9.776,1,0.0372,0.509,0.0,0.194,0.53,88.01,All 4 Nothing
1s86nOhD2gWQ4Ii7ua5jOu,Better Than This,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3edu0vIRVJ6vcK3yagi6oS,214824,2022-08-05,49,0.699,0.701,1,-5.577,1,0.0292,0.0195,7.83e-06,0.113,0.309,90.053,All 4 Nothing
