track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_name
7nWSkuuf14UvfI4ASQLygz,"Ngayong Alam Ko Na - Theme From ""Two Wives""",3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,235640,2012-07-31,35,0.549,0.52,8,-6.149,1,0.0318,0.741,2.23e-05,0.0659,0.198,139.753,Liezel Garcia
6pL50xcqnc9vvAF3l36xJa,"Gisingin Ang Puso - Theme From ""Pure Love""",3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,247626,2012-07-31,52,0.464,0.432,5,-7.582,1,0.03,0.612,0.0,0.1,0.162,150.009,Liezel Garcia
77SPrWmYkhQt3EXPSUOKlZ,"Bakit Pa - Theme From ""Kung Ako'Y Iiwan Mo""",3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,272600,2012-07-31,18,0.621,0.361,3,-5.916,1,0.0291,0.615,0.0,0.113,0.415,130.149,Liezel Garcia
3za4v7AZJWHBhi4BfhvCPH,"Lumayo Ka Man Sa Akin - Theme From ""Phr Presents: Lumayo Ka Man Sa Akin""",3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,318533,2012-07-31,27,0.268,0.192,7,-8.71,0,0.0322,0.874,1.83e-05,0.167,0.184,176.398,Liezel Garcia
1HWL8JlnaMjfO8G67Ihyjz,"Di Ko Kayang Limutin - Theme From ""Kristine""",3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,261706,2012-07-31,27,0.541,0.309,0,-9.434,1,0.0277,0.326,0.0,0.12,0.172,75.51,Liezel Garcia
21Vi2Opyh6jszp3tYU0cel,"Huwag Ka Lang Mawawala - Theme From ""Walang Hanggan""",3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,252760,2012-07-31,33,0.25,0.29,9,-8.716,0,0.0306,0.834,0.0,0.085,0.194,139.709,Liezel Garcia
106LrABrRytmG9JgNvc1W4,Wala Na Bang Pag-Ibig,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,246280,2012-07-31,31,0.529,0.479,4,-6.087,0,0.03,0.347,9.05e-06,0.0988,0.349,163.987,Liezel Garcia
2U4SbcCmOyMcQ3Svcl50i1,Alipin Ako,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,277426,2012-07-31,44,0.524,0.442,5,-6.026,1,0.0282,0.437,4.26e-06,0.346,0.193,131.91,Liezel Garcia
271D9nZ9VOnsCXXIKBMrA1,Nasaan Ka Na,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,273426,2012-07-31,14,0.501,0.56,0,-6.675,1,0.0298,0.311,2.28e-05,0.11,0.213,143.87,Liezel Garcia
3FQNfpHC9XSPVXn4x1RQhH,Dance with Me,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,240693,2012-07-31,9,0.748,0.653,5,-4.471,0,0.0399,0.136,0.0,0.186,0.285,114.064,Liezel Garcia
1ZCb6btvWXkaCiO8izxaCZ,Ngayong Alam Ko Na - Minus One,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,235733,2012-07-31,10,0.571,0.438,8,-11.197,1,0.0282,0.131,0.651,0.0677,0.235,139.988,Liezel Garcia
2l6G3HFXTnrrWV4hQABGEz,Gisingin Ang Puso - Minus One,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,247400,2012-07-31,9,0.481,0.42,5,-11.753,1,0.0271,0.468,0.306,0.0822,0.0814,150.052,Liezel Garcia
1zYk2uS5hkH3eEI9tui8So,Bakit Pa - Minus One,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,272546,2012-07-31,7,0.546,0.328,5,-17.676,0,0.031,0.36,0.848,0.153,0.292,130.016,Liezel Garcia
4FTE43XPBPuCbUV3xUn8Ja,Lumayo Ka Man Sa Akin - Minus One,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,318506,2012-07-31,8,0.195,0.0949,10,-14.197,1,0.0348,0.89,0.832,0.164,0.0706,179.217,Liezel Garcia
2etIb20CNJdquqRUxQCd2D,Di ko Kayang Limutin - Minus One,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,261746,2012-07-31,8,0.509,0.289,0,-12.139,1,0.0295,0.0111,0.273,0.12,0.0702,75.493,Liezel Garcia
2kIWJVfUcduQXBRVTYWBwi,Huwag Ka Lang Mawawala - Minus One,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,252760,2012-07-31,9,0.323,0.196,7,-13.038,1,0.0297,0.726,0.79,0.0873,0.0581,70.073,Liezel Garcia
2wNx9kNHU3o12Uiv7sQDQr,Wala Na Bang Pag-Ibig - Minus One,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,245560,2012-07-31,10,0.547,0.468,7,-10.461,1,0.0297,0.102,0.557,0.254,0.356,82.023,Liezel Garcia
4wdJJARVyzVvFuauFcqfCh,Alipin Ako - Minus One,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,30DhOEe86oo9LSsgZENNZ5,276195,2012-07-31,10,0.527,0.427,5,-9.883,1,0.029,0.00398,0.87,0.359,0.111,131.996,Liezel Garcia
2NKxgfLM5rKaTSq5zHBdE4,Anima Christi,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,63ZpSwJTOhvoFQA27MXQpd,161388,2010,49,0.226,0.301,7,-6.731,1,0.0288,0.803,0.0,0.116,0.299,144.143,Singles
6cx5mtJSZ0Pyt3z5DyI3aQ,Give Love On Christmas Day,0kRAKgEOVI43Qkz9PLmPt8,Bugoy Drilon,4KN9v84EEJnaVkT4jO6U80,204280,2011,15,0.574,0.612,0,-6.281,1,0.0624,0.527,0.0,0.281,0.311,144.891,Singles
1ardLhEbtllTo2w4V03Vwn,"Live Christ, Share Christ",7DW4ijH3n36QN0RlC0n649,Angeline Quinto,2arQyttD7PXIUakitj5QkQ,256208,2021-04-16,33,0.436,0.384,10,-11.177,1,0.0267,0.812,3.87e-05,0.107,0.274,75.968,Singles
0yZ9GGHoj1ak7A04YfRUsU,Ikaw Lang At Ako,3sfqAkmtEsyMFqa9Q4KLI0,Liezel Garcia,3RfIDxzGoVLFsKBsmiOdoV,301609,2013-06-10,32,0.446,0.469,1,-3.648,1,0.0303,0.847,2.25e-05,0.074,0.121,121.306,Singles
