track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_name
423oRmTgCWl8nF9Oac1fvA,One More Night,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,219466,2021-06-20,47,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,Overexposed
1LmN9SSHISbtp9LoaR5ZVJ,Payphone,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,231386,2021-06-20,70,0.739,0.756,4,-4.828,1,0.0394,0.0136,0.0,0.37,0.523,110.028,Overexposed
2l8D5dB5pXywjeIeWw16E7,Daylight,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,225400,2021-06-20,43,0.662,0.67,2,-5.504,1,0.027,0.0022,0.0,0.203,0.352,119.977,Overexposed
6tVrmsbI5HVDgOlFSTrQjB,Lucky Strike,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,185280,2021-06-20,49,0.674,0.74,11,-4.517,0,0.0419,0.000637,0.0,0.111,0.431,143.998,Overexposed
1GpqVTiLDdIeDeX5PrpPDX,The Man Who Never Lied,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,205200,2021-06-20,35,0.627,0.848,2,-5.989,1,0.0351,0.000388,0.0,0.0716,0.848,139.954,Overexposed
0B7uZOwTqMBLhvbD3RIFLa,Love Somebody,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,229826,2021-06-20,43,0.675,0.79,1,-6.295,1,0.0369,0.129,0.0,0.121,0.423,120.015,Overexposed
6xoDzK0sJcPDduzCkwi3A3,Ladykiller,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,163973,2021-06-20,33,0.818,0.607,0,-6.927,1,0.0425,0.00974,0.000194,0.154,0.784,115.054,Overexposed
3GXcpquo4MdMeZdbI9LRDJ,Fortune Teller,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,203453,2021-06-20,32,0.668,0.757,4,-6.115,0,0.0411,0.0501,0.0,0.151,0.41,119.961,Overexposed
3wX3zl0LPavrdx7zd2Xn00,Sad,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,194253,2021-06-20,33,0.781,0.259,7,-9.204,1,0.0323,0.795,0.0,0.0993,0.331,111.9,Overexposed
4CE3qSc6HJg6hpHZXVLaiJ,Tickets,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,209013,2021-06-20,32,0.796,0.836,4,-4.19,0,0.0322,0.0163,2.72e-06,0.106,0.973,120.026,Overexposed
2kDVThEfQx1RPw0uMswT0L,Doin’ Dirt,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,211426,2021-06-20,32,0.684,0.864,3,-4.05,0,0.0472,0.000877,0.0,0.0774,0.894,124.95,Overexposed
2zjVGe3HVBgTtBExRfTyuu,Beautiful Goodbye,04gDigrS5kc9YWfZHwBETP,Maroon 5,5x7JzoE4A3DwwU6FPt8qws,255280,2021-06-20,34,0.662,0.578,3,-2.637,1,0.0343,0.002,2.45e-06,0.104,0.404,168.04,Overexposed
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),04gDigrS5kc9YWfZHwBETP,Maroon 5,1pCA38N6MkLlthXtAOvZTU,227395,2021-06-11,80,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,JORDI (Deluxe)
6tHQAadcluhVV4oD2IvHSk,Lost,04gDigrS5kc9YWfZHwBETP,Maroon 5,1pCA38N6MkLlthXtAOvZTU,172597,2021-06-11,55,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,JORDI (Deluxe)
54WpJSyO81dpA40MKJHd0C,Echo (feat. blackbear),04gDigrS5kc9YWfZHwBETP,Maroon 5,1pCA38N6MkLlthXtAOvZTU,178620,2021-06-11,54,0.759,0.67,1,-5.309,1,0.0509,0.0204,0.0,0.0953,0.741,136.027,JORDI (Deluxe)
4lejz024CsCP6S5kPD6Upb,Lovesick,04gDigrS5kc9YWfZHwBETP,Maroon 5,1pCA38N6MkLlthXtAOvZTU,185068,2021-06-11,57,0.675,0.699,0,-5.894,1,0.0296,0.00248,0.000604,0.114,0.43,123.042,JORDI (Deluxe)
03blI4F6MeYd6kJx26VsJ2,Remedy (feat. Stevie Nicks),04gDigrS5kc9YWfZHwBETP,Maroon 5,1pCA38N6MkLlthXtAOvZTU,149492,2021-06-11,52,0.753,0.633,6,-7.263,0,0.0594,0.14,0.0,0.392,0.714,132.031,JORDI (Deluxe)
1G5rzVAFlgMqG4gaRujcaA,Seasons,04gDigrS5kc9YWfZHwBETP,Maroon 5,1pCA38N6MkLlthXtAOvZTU,168304,2021-06-11,49,0.638,0.504,8,-8.335,1,0.0578,0.509,2.18e-05,0.103,0.281,140.204,JORDI (Deluxe)
6PyFYTEo8X3inQ4hQvA8md,One Light (feat. Bantu),04gDigrS5kc9YWfZHwBETP,Maroon 5,1pCA38N6MkLlthXtAOvZTU,214390,2021-06-11,48,0.81,0.642,10,-5.801,1,0.0712,0.106,0.0,0.0805,0.596,105.968,JORDI (Deluxe)
7DVassGvnqQRSfVSVPxtpV,Convince Me Otherwise (with H.E.R.),04gDigrS5kc9YWfZHwBETP,Maroon 5,1pCA38N6MkLlthXtAOvZTU,187682,2021-06-11,49,0.378,0.677,5,-6.998,0,0.0475,0.079,9.38e-05,0.102,0.481,199.656,JORDI (Deluxe)
