track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_name
5EcxEI6yAPYOqx9fH1kJOR,Noah (Stand Still),55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,7jeMBMO8h8d3H7opdsNfIy,234531,2022-12-02,36,0.45,0.413,1,-8.607,1,0.0346,0.175,4.19e-05,0.11,0.171,155.79,The Hardest Part (Deluxe)
48k9QVLGROepSs1dY6h5Ch,Ready to Go,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,7jeMBMO8h8d3H7opdsNfIy,187759,2022-12-02,35,0.491,0.655,2,-8.694,1,0.0372,0.0414,3.79e-06,0.321,0.446,89.978,The Hardest Part (Deluxe)
2nSChtHvpmc5yFxrmqz1HC,Mr. Percocet,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,7jeMBMO8h8d3H7opdsNfIy,193973,2022-12-02,37,0.682,0.705,2,-6.34,1,0.0425,0.179,8.88e-05,0.154,0.862,133.062,The Hardest Part (Deluxe)
3hijebTGJ9fdz6gdWUmCa4,Every Beginning Ends,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,7jeMBMO8h8d3H7opdsNfIy,150491,2022-12-02,34,0.627,0.36,3,-9.93,1,0.0277,0.63,4.16e-05,0.109,0.39,116.944,The Hardest Part (Deluxe)
4mhWIJNHl9os6RrWu9wQXs,Hardest Part,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,7jeMBMO8h8d3H7opdsNfIy,222586,2022-12-02,33,0.311,0.27,6,-9.294,1,0.0438,0.258,5.78e-06,0.285,0.185,149.768,The Hardest Part (Deluxe)
2RDKxrjmVMYSu1XEJyLtWY,I Just Want a Lover,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,7jeMBMO8h8d3H7opdsNfIy,201463,2022-12-02,37,0.666,0.798,2,-7.04,0,0.027,0.128,0.00665,0.15,0.904,119.941,The Hardest Part (Deluxe)
1HSqE7O4rYKSuGpskJj9Yo,Unfinished,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,7jeMBMO8h8d3H7opdsNfIy,233369,2022-12-02,34,0.539,0.568,2,-6.576,1,0.0314,0.311,0.0,0.101,0.282,79.979,The Hardest Part (Deluxe)
6qj7dw8WJZRQHnHdjmwFxi,My Side of the Bed,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,7jeMBMO8h8d3H7opdsNfIy,186350,2022-12-02,33,0.412,0.232,1,-10.856,1,0.0313,0.821,0.0,0.131,0.0763,114.152,The Hardest Part (Deluxe)
0Yfk3uIuP6ueTOpUoWmTKx,I Burned LA Down,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,7jeMBMO8h8d3H7opdsNfIy,195252,2022-12-02,37,0.666,0.547,11,-8.706,1,0.0643,0.145,0.000274,0.0987,0.165,117.991,The Hardest Part (Deluxe)
6xJ0tKuaFKC1QCwZnALBxO,Loretta's Song,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,7jeMBMO8h8d3H7opdsNfIy,220741,2022-12-02,32,0.443,0.324,0,-10.156,1,0.0307,0.78,2.83e-05,0.133,0.318,77.854,The Hardest Part (Deluxe)
