track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2SrC3eKJkbnz4WWJufgBTS,0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,187520
60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880
6b2oQwSGFkzsMtQruIWm2p,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,238640
6gVH9jHl5Xpxxl4gVVrEkE,0.41,0.964,7,-6.648,1,0.0763,0.000706,0.745,1.0,0.274,121.868,285187
7AK0yeohL3m0N6l7GgzJhE,0.547,0.958,9,-2.448,0,0.121,0.0035,7.96e-06,0.132,0.452,149.979,193100
2wVXSc0IrQVodHESUxVUJA,0.664,0.852,9,-4.996,0,0.029,0.174,0.0,0.1,0.807,125.632,268427
5qYgHPz9BgMnuIbAFRrZiD,0.294,0.683,7,-6.14,1,0.0363,0.0301,0.00901,0.357,0.229,167.654,307813
3YuaBvuZqcwN3CEAyyoaei,0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849,293960
6Gn02ZC8juXwQ10Xk7ACXx,0.474,0.659,4,-4.667,1,0.0292,0.0125,0.0,0.154,0.075,82.957,232800
3Z9PJ6xiEGmcqo2hESEB5n,0.362,0.911,9,-5.966,1,0.049,0.0336,0.0,0.466,0.498,171.112,357267
48UPSzbZjgc449aqz8bxox,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,329733
6vrUTGn5p8IrfTZ0J6sIVM,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667,289907
3m6KkYKdnbffMpGd9Pm9FP,0.745,0.466,4,-7.62,0,0.0864,0.00666,0.35,0.272,0.303,123.889,231920
0HJRAM7Gt9jXskuXjZeFX3,0.29,0.827,8,-3.451,1,0.0362,0.000659,2.55e-06,0.301,0.45,167.086,493400
64BbK9SFKH2jk86U3dGj2P,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373
48psxWnIVYCPUZJKiuDiEf,0.468,0.773,1,-8.93,0,0.0942,0.432,0.000132,0.275,0.4,114.773,260947
1G391cbiT3v3Cywg8T7DM1,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907
0LnkNEgEXv83bVVvgnB9Et,0.49,0.835,4,-6.323,0,0.0332,8.38e-05,0.00373,0.0908,0.519,119.92,219040
64yrDBpcdwEdNY9loyEGbX,0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,321093
0BCPKOYdS2jbQ8iyB56Zns,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,307880
4IDfVjI1TlB1UwlC01T4Bm,0.282,0.866,10,-4.223,0,0.0588,0.000705,0.0055,0.101,0.277,163.987,261960
6Wx88Mv6b9ofjKMKkdwOJd,0.493,0.808,5,-3.365,0,0.0362,0.000235,0.0,0.0983,0.38,117.971,268613
2aibwv5hGXSgw7Yru8IYTO,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,334667
1aLNpg2kKvUncflV8xE5AA,0.438,0.428,7,-14.861,1,0.0263,0.0841,4.63e-05,0.138,0.209,94.864,274760
5YJfDkHLZrY0Lgu1z2jvgf,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533
18lR4BzEs7e3qzc0KVkTpU,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205613
7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
4q5cQyhhUW5X0PQVzA8VsG,0.58,0.814,0,-6.582,1,0.0363,0.173,1.8e-06,0.246,0.722,141.606,272507
3ZOEytgrvLwQaqXreDs2Jx,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,269000
5UWwZ5lm5PKu6eKsHAGxOk,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547
0Jli6hojT6aSBcFg4L2P5f,0.289,0.796,0,-4.22,1,0.0494,0.00837,2.61e-05,0.202,0.33,169.835,238680
4AmJpaF86079ZjFVVYhFbJ,0.702,0.539,2,-8.968,1,0.0277,0.000655,0.005,0.0618,0.752,107.531,312587
0yac0FPhLRH9i9lOng3f81,0.517,0.839,0,-3.521,1,0.0287,0.0014,0.000365,0.108,0.416,94.015,215880
7C3fJ1q01IQ137IQTRwmVZ,0.475,0.401,9,-11.672,1,0.0515,0.0285,5.8e-05,0.115,0.475,84.742,267560
0x6Y6ikSyS17NxfhWsgENm,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011,267960
7lNxDmqhKTOAlFBPCmkvLc,0.318,0.879,2,-6.06,1,0.0506,8.66e-05,1.04e-06,0.0808,0.25,146.312,294600
4oGTdOClZUxcM2H3UmXlwL,0.495,0.595,11,-7.57,1,0.0443,0.246,0.0,0.236,0.392,85.341,225933
0ADZ5dmXhlfzjMw6lefoPl,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,238173
4JGKZS7h4Qa16gOU3oNETV,0.551,0.643,4,-13.091,1,0.0353,0.00313,0.00385,0.421,0.514,128.661,271560
