playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK,161,myplay.com,Filtr US,754307
37i9dQZF1DXcKHVXMYcCuJ,Alternative Rock's Most Precious Gems,150,spotify,Spotify,140628
2VCUG2HWlEeq1zvUvRkN80,2000s Alternative Rock,130,ltxteis,LtX,89524
7xY8wHHjF0wxke2dkK3sRc,90's Alternative Rock (Top 100),146,tdkqms1h1k98zcv23ug77vcb1,a.j.matthews16,71353
5SMf1pyrOAwjwheZvHWkaj,Alternative Rock 90s 2000s Classics,110,tpfq85a51j5xg7andl6nuxdk8,Dad Money,59947
3ZwGNZnttkwMhddDn3YzMF,BEST OF ALTERNATIVE ROCKS,196,12132181803,Maria Rezende Beirao,54856
0TCbzzrT932hpTAKdKj8wM,90's/00's Alternative Rock,730,dolphinsfan49,dolphinsfan49,44139
3oqK4QvwUBgTQ0lNpNef0S,Alternative Rock Playlist 2023 - Top New Alternative Rock Songs 2023,20,redmusiccompany,redmusiccompany,30755
6zSpW1JO6hStNiguLjkNP8,Chai's Best Alternative Rock,110,12139121519,Chai Razon Saturnino,15760
1QlwZS4gfx0XepdxpBG1UH,Alternative Rock 2000s Music,70,klbhj1gdhd32ie7wcah3sw85r,Redlist - Power Songs,14791
5RWA2T7xifMwjXFqiOqvp6,Alternative Rock,86,22i6dyqheja23l5tx3hyknt7q,Isiah Villanueva,13355
4sMl0IIC6xMPzAbW060fPS,2000 TO 2010 ACOUSTIC/ALTERNATIVE ROCK MIX,79,28uvgt56g4ojegjrik735xa2w,@thobi,12540
5AQB9NV6TdAcW8hrtcIlna,"Alternative Rock 80's, 90's and 20's",161,12139462580,Cherry Claire,11742
23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s,149,31df72vjs4grg6k65aigus3srat4,Redlist - International Playlists,11541
4MOVIJL2aiU3z0rwAfLqEg,"Lifehouse, Vertical Horizon, The Fray, The Calling.. alternative rock playlist",69,12153206197,Wednesday Junio,6886
45GZ6Y5mEivwb9NsgIS1Bn,90s-00s Best OPM Alternative Rock,187,mikkobernardo,mikkobernardo,5671
6ZjGab8Y83ZmJUlVHI0c40,ALTERNATIVE ROCK LOVE SONGS,87,224a4xec4qqkwgtz4xhmhvhny,Javiery,5335
4nkVEXDskCXXRyDz8fldXi,Accoustic Alternative Rock,44,uqqwl9idjh9uygnnwaen67i66,Regorlairepmi,5115
3H90UHoYM8Axi9LfKFZCUy,ALTERNATIVE ROCK MIX  🤘🏽,453,flora_moroni,Flora •,4792
3q4HNUHHiy1hsKpCQixAWz,PINOY ALTERNATIVE ROCK,123,jx4fnvsj6q14iv49pytxb4lhd,Alfred Pogi,2836
4F4y3ZPhoR3BusIcWXbRpG,Best of 2000-2010 Acoustic/Alternative Rock Mix,25,v58ygxclyqpgaqd7h2douo021,Lightcastiel,2435
4oNhbH8UR5x03DTG57JR2H,Alternative Rock 2000s,52,drewpinchotti,drewp,2192
0wccGzcbGj4MCXndUqhpaV,Alternative Rock Acoustic,181,iurigustavo,iurigustavo,2055
5GEPZEvkstvii8pq00pAlz,alternative rock #opm🇵🇭🇵🇭,141,22sj4hklwpdf4a3lfz2pzjiya,Aubrey Rösë Lamson,2027
6Gz6bffeeb79i0xmx27Kl6,ALTERNATIVE ROCK 2006-2010,86,12149264660,Joe Mari Miguel Libed,1776
5q7P8kKj4IR7ylBhdgeWdY,Pinoy Alternative Rock,72,josh_erasga,Josh Erasga,1523
5N6jMp2Xni2IIowpmn89aY,Best Alternative Rock Songs of All Time,25,ebar1leh96id7ofd1qocsb5t0,kitharvey,1407
4IzlF65za80CU2ujuwkb75,Alternative RoCK,222,12148999524,Romulo Tabieros Bartolome Rce-Rmp,1406
1pO94MP9J2sZLvjGkUFlF2,Soft Alternative Rock,40,xla7qynlst7bmz5iu55szzug9,Macbeth Philippines,946
4hV7KvQUKQjtlXbcVYWFS9,Alternative Rock Songs 80s 90s 00s Greatest Hits,50,roimaceda,Dabadoo Playlists,891
0WuLLDOx5aRzdU2gt2msX3,90's Tagalog OPM Alternative Rock,493,12179112241,Winzon Sbg,810
0rcrLMiaVurKk5xUelr5Kv,Contagion - Alternative Rock 90s,143,12178495019,AntetFM,809
2Zy6c6tXeJOOACfETD7TZ4,alternative rock bands 90's,65,11168297298,11168297298,797
21M6qEHgSGujSExsEfgwPD,Alternative Rock of the 2000s(2000-2009),391,21kr2oq6bk3eqkmbgxb6zjyey,Gökhan Metin,750
3NOd2bC10HptgXDaevhGC9,alternative rock,103,cruelladk,cruelladk,664
1rJVgyGpKSk00fERrOOyev,Alternative Rock Ballads ,147,21amzbcqm7urykptudzror52q,Jonathan Velázquez,491
71TcKwBrntngjmnwjnNM3w,OPM Tunog Kalye/Alternative Rock,80,aalffu3pj0y99h459qpplpxpw,Asokopogi1,327
6nwG3cIYK3eqVrHxVizb4x,Tagalog Alternative Rock,41,fp8e0m8w1lvy52lug7n3o6l84,fp8e0m8w1lvy52lug7n3o6l84,307
3vklEcPflPbhYGUSWNrK1p,Alternative Rock / Metalcore,96,etzstfee6yxrfh8sapev2iyot,Arianna Foxton,278
0gglsqo3zdjM4mLwEhHDt2,Alternative Rock Clean,101,drw48ucf,drw48ucf,218
5287Hp1zF9PKGT4vAaW7WT,Alternative Rock 90s - 00s Greatest Hits,123,12144462542,Ede Lisa,217
7AQrbwym7TnUQawMz1pXfo,Alternative Rock 89x 1990s-2022,662,vicp21,vicp21,208
2OMHovqjin41YsvAGbGDdZ,Alternative Rock  Workout Playlist 🤘,67,sarah.c.martinez,sarah.c.martinez.sepanski,183
0JvkV1XbIHfawqNmoNhCnb,Female alternative rock,65,31n6fmqkadpxzxphdgfdlno6uz6m,Nelfadeluna,170
4xeenEQIIlfED8yEEEOtEN,Alternative Rocks 2000s,80,2u7z8voiqt2v6ev07r3ollciu,AqeelaB,157
4SHPaF2DQqkUMnvve6oUFU,Alternative Rock (Acoustic/Covers),195,smkatrina,Andronicos,131
0xTqfyDzd57nMISI5NC87l,2000 opm alternative rock,109,31xymw2r2p66xssrhldwavghc36y,Alvinpar,123
4gWZJiOpxBLyZchmEUO82H,Philippine Alternative Rock 2000s,75,chargomlim,chargomlim,90
3auTADRhZF4qrDsa4xvJr6,ALTERNATIVE ROCK INDONESIA,62,6ucasssjbpbx693ud3yesx1qp,Adrian irsyad,84
02hcCQQNPVt2xXd7R222ZV,Top Hits OPM Alternative Rocks,50,22d7k5af5bbd7tmfeerpz5uxq,Jayson Baquing,76
6V4aqqJg0SPjDiSz3nhohD,GREATEST ALTERNATIVE ROCKS,98,hezpiras-ph,Zee,72
14osXCN6s3sIfJjyUqA1uQ,Alternative Rocks 80's 90's 2000's,91,xavierian.21,xavierian.21,51
357Ntbi4h9KU0zgnh2JYyO,ALTERNATIVE ROCK CLASSICS,68,raymartbautista,Raymart Bautista,51
4XVQfyHexlqDF2iUloLkaH,Alternative Rocks — Best of all Time,34,vitkf250isey7vnwp58hxzyg9,ClytieHelianthus,29
4sv5AwuhTY6v5mRm9awanC,ALTERNATIVE ROCK LOVE SONGS,87,22s34modnerdbg7c53l6ohznq,Ejay Ebuenga,21
1PZH5Khd6Ibt8rLkExiFBE,Alternative Rock Pagi,47,r46n1055nbs6vh5xow3akgzeu,YUDI,14
