name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Numb,35,187520,2SrC3eKJkbnz4WWJufgBTS,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,1,4qzWf7EmJKU7SHpf38zFX0,2022-10-21,23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s
In the End,88,216880,60a0Rd6pjrkxjPbaKzXjfq,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,1,6hPkbAV3ZXpGZBGUvL6jVM,2000-10-24,23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s
Creep,1,238640,6b2oQwSGFkzsMtQruIWm2p,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,1,6400dnyeDyD2mIFHfkwHXN,1993-02-22,23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s
Smells Like Teen Spirit - 1992/Live at Reading,51,285186,6gVH9jHl5Xpxxl4gVVrEkE,6olE6TJLqED3rqDCT0FyPh,Nirvana,1,01Z1nufhjxJVXVDuMRmNEM,2009-01-01,23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s
I Want,40,193100,7AK0yeohL3m0N6l7GgzJhE,0avNS76kgqKRDQZWMTpQey,Hurricane on Saturn,1,76Ou6hEBhZnDymZGVIrHOD,2023-04-18,23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s
Losing My Religion,0,268426,2wVXSc0IrQVodHESUxVUJA,4KWTAlx2RvbpseOGMEmROg,R.E.M.,1,68p5SQdcakYH65NEjiF6t4,1991-03-12,23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s
Zombie - Remastered 2020,52,307813,5qYgHPz9BgMnuIbAFRrZiD,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,1,719zEHYz9RcUXss1LP1ouT,2020-11-13,23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s
Like a Stone,80,293960,3YuaBvuZqcwN3CEAyyoaei,2ziB7fzrXBoh1HUPS6sVFn,Audioslave,1,78guAsers0klWl6RwzgDLd,2002-11-17,23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s
The Reason,0,232800,6Gn02ZC8juXwQ10Xk7ACXx,2MqhkhX4npxDZ62ObR5ELO,Hoobastank,1,2NpfPQ6AQn50AZpPP412uU,2004-04-27,23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s
Bitter Sweet Symphony,0,357266,3Z9PJ6xiEGmcqo2hESEB5n,2cGwlqi3k18jFpUyTrsR84,The Verve,1,5aY2ZGwROKS4QU5QDW3SqD,1997-09-29,23wVfSXsUtP9z94e1jMjeQ,Alternative Rock 90s 2000s - Best Alternative Rock Songs of 90s 2000s
