playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
3C9ydtodWsjtlTGxFd90Hk,Chill OPM Songs,136,22qzvbngu7tt5i6hr35pxyglq,Lexpier Bronola,4537
5GtvPvySlpULGipuTFlIFr,Tunog kalye Chill OPM,56,ardnaxp,ardnaxp,2689
0swElvPu1DKiPPe8Y7qYwy,SLOW + CHILL OPM,19,189pddcqvz4en1e2ldqgjai7w,Paolojan,1244
13YH7NwIxda9bws44utNfj,CHILL OPM/HIPHOP,167,uman07,Shoti,486
19XLgoVKRCw3EvwUHRBHv8,Chill opm morning,48,zurf3t4tzz63d85mntvwjlko3,hapinoy,401
7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs,416,worfozlqc2cpz5e8obs99083j,christina,270
5L7ipU5e5JTQSjeHXfuwMf,"Chill OPM City Vibes 2023🇵🇭 (IV Of Spades, Zack Tabudlo, Juan Karlos, and more)",81,12157158793,Moody Music Company,202
3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,149,bqzwosmo53hium85pv6xmdaem,khyrc,152
5a6seQS79Zb75SfqYwsWYa,Chill OPM for Study,70,x1i4elwkcyfc5uqpahwfe8u3y,Milessue,76
40NZpSnnJsBq9g0IEEcXhe,Chill OPM Band 2000,23,ngajete20,ngajete20,40
