track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3WUEs51GpcvlgU7lehLgLh,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921,318814
5UhpceEr5XmbVwyoIUIRnh,0.556,0.674,0,-5.563,1,0.0296,0.116,2.19e-06,0.226,0.399,146.433,261867
5f9808hpiCpuNyqqdXmpF2,0.631,0.381,7,-11.808,1,0.04,0.447,0.000171,0.0902,0.36,126.008,343446
2S80c51YXgJQhkhX603fMA,0.853,0.455,1,-9.589,1,0.0372,0.305,0.00329,0.125,0.522,118.32,267293
1yDiru08Q6omDOGkZMPnei,0.572,0.522,2,-9.095,1,0.0367,0.113,4.91e-05,0.114,0.498,74.05,217197
0FOYt3VRWweAWgN1relGqN,0.565,0.829,0,-2.88,1,0.0264,0.00211,0.0174,0.156,0.607,139.998,320573
24bmXekGRqVFRlPYdfzyJr,0.495,0.149,5,-8.379,1,0.0409,0.904,3.77e-05,0.109,0.179,120.322,244427
5Ro6MdZGgce4PEuaFCJYPq,0.559,0.614,4,-11.547,0,0.0768,0.415,0.0,0.139,0.662,124.907,269733
6wdCelHrPh7UfliNjwRTUv,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313,310709
0x2VgHoxUxKFbIUqQur8Fe,0.676,0.43,11,-10.563,1,0.0232,0.168,0.0299,0.109,0.23,104.982,280427
3OpGUlDmRUXh0NkIYWoIlD,0.636,0.159,11,-13.117,1,0.0549,0.892,0.0,0.112,0.658,119.766,168493
1fXHTDYsJiFOjVWITaFp1j,0.613,0.551,4,-8.79,1,0.0332,0.235,0.000672,0.175,0.432,114.11,326886
0dCDBADaqgcQ62LdyRsejn,0.484,0.233,0,-9.077,1,0.0356,0.761,0.000249,0.452,0.315,143.221,333623
1EJQZaE23L5ZK52nPycC16,0.446,0.5,0,-9.657,1,0.0362,0.00248,0.00397,0.118,0.263,179.752,260241
2RTR3zmXPKRgLM8TO0UfLI,0.485,0.503,0,-8.795,0,0.0372,0.343,0.000218,0.247,0.471,79.497,219493
4u8RkgV6P4TLi89SmlUtv8,0.705,0.401,6,-8.9,1,0.0376,0.176,8.66e-06,0.0735,0.481,140.031,349713
7gWKGNeHjIDUkNreiYYNdm,0.583,0.626,11,-7.485,0,0.153,0.465,4.16e-06,0.204,0.6,155.13,239000
5l9g7py8RCblcvbZgGQgSd,0.669,0.42,2,-8.464,1,0.0253,0.506,0.0,0.404,0.523,95.049,227370
3pO8AS9mXlI85OsHbJa4Jf,0.544,0.61,8,-8.383,1,0.0635,0.246,3.62e-06,0.0869,0.447,125.869,213674
1lLsX23uu48KNM1NnDZ50N,0.636,0.518,7,-9.165,1,0.0428,0.0698,1.11e-05,0.0882,0.702,74.192,274627
0MqkYdGBzHx7lnaFvo7doR,0.579,0.408,3,-11.299,1,0.0419,0.916,2.55e-05,0.117,0.465,126.106,186240
6F4Scj944RJCZPgcGuAqym,0.725,0.332,0,-9.124,1,0.0347,0.505,0.0,0.0888,0.46,106.157,275907
6JFzAzZsDY1r8Xx0ULCpfI,0.596,0.765,4,-6.79,1,0.259,0.713,1.09e-05,0.31,0.646,169.977,204814
1mAy2SZrv3fTqGpJCnkTwM,0.63,0.703,10,-6.913,1,0.263,0.367,2.29e-06,0.07,0.572,180.59,262478
1t7AA4xxqEseapeIJCiQ5l,0.547,0.431,10,-9.315,1,0.0507,0.835,0.000286,0.0905,0.379,71.911,259413
6gvahJrX8NhdnH81gZkOY3,0.399,0.193,10,-15.676,1,0.0429,0.649,0.0,0.0833,0.348,82.651,255250
36B2coUVkMCZ995TlS07Ok,0.64,0.754,5,-2.726,1,0.0299,0.103,0.0,0.118,0.468,114.003,189707
2Mo4pOpCYXOu33856sMQLh,0.558,0.458,4,-10.711,1,0.0485,0.7,2.11e-05,0.186,0.342,86.877,209783
1vzxlhQ3dujloZsqeO3Wei,0.531,0.253,9,-9.276,1,0.0927,0.702,2.33e-05,0.0843,0.199,75.602,287972
3nmRSlzR7xtAo95GjfIahZ,0.356,0.229,8,-11.985,1,0.0328,0.797,0.0,0.112,0.431,204.074,306067
58grXgbCj7t5ulr0TGLIr9,0.662,0.529,2,-8.539,1,0.0351,0.341,0.000208,0.105,0.424,127.584,243015
2BgD4nRyx9EZ5o8YEnjRSV,0.502,0.482,4,-4.736,1,0.0288,0.161,0.0,0.187,0.132,133.894,267759
4rG3h1QwgjSSWz8EIjCFrm,0.475,0.424,11,-8.39,1,0.0295,0.582,0.0,0.234,0.224,140.903,313952
2IMODbij0lZ5CuAjZi0IDE,0.635,0.376,9,-6.1,1,0.0457,0.0104,0.0,0.109,0.28,124.57,326000
2pGH2MRfqXyFJtVPVBZ7Gx,0.665,0.325,0,-7.658,1,0.0544,0.607,0.000429,0.105,0.253,79.496,342807
0luyrm1L6gjtoLekHOf67t,0.526,0.571,7,-7.091,1,0.0295,0.458,0.0,0.11,0.31,140.051,306204
2PO6blDCnOFWxudKu0XnmV,0.517,0.468,4,-6.582,1,0.0345,0.702,0.0,0.152,0.266,121.284,260599
65sEZZaxTjLMD8vNgPoMz5,0.604,0.446,9,-8.01,1,0.0341,0.63,0.0,0.0859,0.199,143.946,321817
4JSDhJVmo2UqdF7nxbyenn,0.5,0.339,7,-7.301,1,0.0263,0.71,0.00222,0.108,0.152,136.427,242800
07JZJ9YJRaiUAz9Bv8wgwH,0.356,0.339,5,-10.893,0,0.0369,0.508,3.28e-06,0.355,0.287,74.975,226728
0sNZsYY8LSCCM4tC2y0zR1,0.545,0.309,5,-10.235,1,0.0313,0.961,0.000733,0.189,0.232,123.767,216774
4R7Wwquqb9c5Nzco5Gy1Uo,0.548,0.36,11,-10.241,1,0.0561,0.771,0.00011,0.691,0.256,116.67,196923
4jq5J39hJ28RmDhNp1QkYk,0.634,0.624,2,-6.118,0,0.0299,0.168,0.0,0.38,0.724,78.022,289227
0SXASazFDcMabUee9uP9TL,0.407,0.467,2,-9.265,1,0.0266,0.0777,1.12e-06,0.389,0.416,164.64,238283
35yw6wTQcItHtyrbCAQV9L,0.713,0.258,3,-14.231,1,0.036,0.823,0.0111,0.0838,0.214,102.008,327059
2X5AFygz5SDYlXagyPw8kX,0.642,0.374,5,-10.606,1,0.032,0.423,1.54e-06,0.435,0.0979,129.863,221538
1NopgVCMVhCKIm64tF7auX,0.328,0.465,6,-9.81,1,0.0328,0.72,2.16e-06,0.175,0.344,148.912,278173
5RfpJJnfTXkIXRG4f1hudc,0.475,0.253,7,-11.481,1,0.0294,0.691,0.0,0.106,0.347,87.908,240187
