name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Kathang Isip,73,318814,3WUEs51GpcvlgU7lehLgLh,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,4nQxblVnnFPehg9ujzdJ8L,2017-06-23,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM
Hanggang Kailan - Umuwi Ka Na Baby,2,261866,5UhpceEr5XmbVwyoIUIRnh,1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,1,0S0yaR1MiuHfyAZPAtChVc,2005-03-24,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM
Buwan,71,343446,5f9808hpiCpuNyqqdXmpF2,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,1,2CF1utwLM2yXHMZhwFGVY1,2018-06-22,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM
Prinsesa,62,267293,2S80c51YXgJQhkhX603fMA,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1,1Im5BTDBghgM0NG75SaiC3,2007-01-15,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM
Maybe The Night,68,217197,1yDiru08Q6omDOGkZMPnei,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,6LhZ3QMHGJeTes9cCTxK8e,2017-10-27,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM
Laro,52,320573,0FOYt3VRWweAWgN1relGqN,3Hvxz2oZPYuo61ChHKcqQI,Autotelic,1,4bU263JJqschDhYZRgbnt7,2016-09-30,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM
Midnight Sky,0,244426,24bmXekGRqVFRlPYdfzyJr,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,1,60qph1sDjhgZtPR4IEnu5Y,2018-08-13,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM
Ligaya,65,269733,5Ro6MdZGgce4PEuaFCJYPq,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,1,0HDclsvr13EmV3DBMSVWPX,1993-12-01,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM
Leaves,71,310708,6wdCelHrPh7UfliNjwRTUv,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,5Yl1Bi501CuE72jaVK4e3y,2017-03-31,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM
Sino,1,280426,0x2VgHoxUxKFbIUqQur8Fe,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,1,60qph1sDjhgZtPR4IEnu5Y,2018-08-13,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM
