track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
3WUEs51GpcvlgU7lehLgLh,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921,Kathang Isip,73,318814,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,4nQxblVnnFPehg9ujzdJ8L,2017-06-23,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,5.3135666666666665,chill OPM
5UhpceEr5XmbVwyoIUIRnh,0.556,0.674,0,-5.563,1,0.0296,0.116,2.19e-06,0.226,0.399,146.433,Hanggang Kailan - Umuwi Ka Na Baby,2,261866,1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,1,0S0yaR1MiuHfyAZPAtChVc,2005-03-24,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,4.364433333333333,chill OPM
5f9808hpiCpuNyqqdXmpF2,0.631,0.381,7,-11.808,1,0.04,0.447,0.000171,0.0902,0.36,126.008,Buwan,71,343446,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,1,2CF1utwLM2yXHMZhwFGVY1,2018-06-22,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,5.7241,chill OPM
2S80c51YXgJQhkhX603fMA,0.853,0.455,1,-9.589,1,0.0372,0.305,0.00329,0.125,0.522,118.32,Prinsesa,62,267293,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1,1Im5BTDBghgM0NG75SaiC3,2007-01-15,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,4.454883333333333,chill OPM
1yDiru08Q6omDOGkZMPnei,0.572,0.522,2,-9.095,1,0.0367,0.113,4.91e-05,0.114,0.498,74.05,Maybe The Night,68,217197,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,6LhZ3QMHGJeTes9cCTxK8e,2017-10-27,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,3.61995,chill OPM
0FOYt3VRWweAWgN1relGqN,0.565,0.829,0,-2.88,1,0.0264,0.00211,0.0174,0.156,0.607,139.998,Laro,52,320573,3Hvxz2oZPYuo61ChHKcqQI,Autotelic,1,4bU263JJqschDhYZRgbnt7,2016-09-30,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,5.342883333333333,chill OPM
24bmXekGRqVFRlPYdfzyJr,0.495,0.149,5,-8.379,1,0.0409,0.904,3.77e-05,0.109,0.179,120.322,Midnight Sky,0,244426,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,1,60qph1sDjhgZtPR4IEnu5Y,2018-08-13,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,4.073766666666667,chill OPM
5Ro6MdZGgce4PEuaFCJYPq,0.559,0.614,4,-11.547,0,0.0768,0.415,0.0,0.139,0.662,124.907,Ligaya,65,269733,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,1,0HDclsvr13EmV3DBMSVWPX,1993-12-01,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,4.49555,chill OPM
6wdCelHrPh7UfliNjwRTUv,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313,Leaves,71,310708,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,5Yl1Bi501CuE72jaVK4e3y,2017-03-31,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,5.178466666666667,chill OPM
0x2VgHoxUxKFbIUqQur8Fe,0.676,0.43,11,-10.563,1,0.0232,0.168,0.0299,0.109,0.23,104.982,Sino,1,280426,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,1,60qph1sDjhgZtPR4IEnu5Y,2018-08-13,3t5SbtjVj2yGZ8YW82ydjH,Chill OPM,4.673766666666666,chill OPM
