track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
6X7HtAzJHEiuvfp499kKY9,0.802,0.921,4,-7.624,0,0.0522,0.0379,0.926,0.111,0.0836,124.994,911,58,346608,1pMFoni6A1enu9OBmaanG2,Montiego,1,2CYIPrkbakrcT3Gdy1HlWd,2023-09-14,534x9sylHYDWODbk9RSJLp,EDM & POP,5.7768,EDM
1nHQdojhIIJmYgCIemppW9,0.769,0.602,10,-8.021,1,0.0708,0.34,0.00841,0.0922,0.374,120.089,She's in my Head,47,179986,"['0YL46Muu8yKzyKoDZ4pTSa', '5exS0bytCYdixgv02DaCm3']","['APE', 'William Singe']",2,7sHOKa3o4vVjaaAVY2eAJc,2023-04-21,534x9sylHYDWODbk9RSJLp,EDM & POP,2.9997666666666665,EDM
1EzxRda4zTJweTgEjXdCDY,0.637,0.643,7,-5.672,0,0.131,0.00432,0.487,0.149,0.0902,150.074,Surrender,3,166809,1pLIeBmatVccW3t5kppRBe,Wave Pilot,1,6GxLhHHW05gNQWIWf9ur1G,2023-10-06,534x9sylHYDWODbk9RSJLp,EDM & POP,2.78015,EDM
3pJuM2Dxu4TB0wxh0XfcqO,0.735,0.676,2,-6.338,1,0.0341,0.000831,0.0122,0.0908,0.393,124.049,Over The Moon,44,200019,"['0aMljpKFM4rWpxxRqhjCmy', '68tR0TsEKX89ID4fyBMgch']","['A/K', 'James Vickery']",2,2hLY4bZYdimqGFqScWpmkV,2023-05-12,534x9sylHYDWODbk9RSJLp,EDM & POP,3.33365,EDM
0SGehYAzgNR7J3g3AOTuWu,0.756,0.95,8,-4.871,1,0.0456,0.0805,0.547,0.0773,0.542,125.028,Toxic - Remix,26,189150,"['4yFBbJUbc3Xn1KJD8C6IaG', '4dLZTad0O8DMQJTjUorTqk']","['Ricki Ayela', 'MNDLB5']",2,2PGYrP4zq48G1pau0NXTzB,2023-10-13,534x9sylHYDWODbk9RSJLp,EDM & POP,3.1525,EDM
31UH0mwql2ObOImO6TwhE7,0.566,0.829,2,-4.732,1,0.0262,0.097,0.0036,0.241,0.193,96.026,Come On,4,229375,0BKujjn11oD9ulsDb5fly1,Bestia Sounds,1,1RS6RYBIpS0fKqxuQCqSYh,2023-10-13,534x9sylHYDWODbk9RSJLp,EDM & POP,3.8229166666666665,EDM
07D6mSfwN63mWrYsjc0vM8,0.42,0.411,5,-10.108,1,0.0342,0.257,0.0,0.0875,0.131,86.078,bad enough,25,220493,6Y3DMrfTRpVsLzrQeoACIn,Drop Lone,1,5ejArBtqBOyk3ybyg78zMd,2023-09-29,534x9sylHYDWODbk9RSJLp,EDM & POP,3.6748833333333333,EDM
29mtAVEnyp1Ky6jTEEteM0,0.723,0.834,0,-5.745,0,0.0816,0.0508,0.000385,0.122,0.623,123.054,Running,36,142444,0uAYXFGEdup91foJWTycgx,CAPO BEATZ,1,2Ilc10bE9bVgMN5oA5FtEy,2023-09-15,534x9sylHYDWODbk9RSJLp,EDM & POP,2.3740666666666668,EDM
4QcZf0vBaw42ScHzEkxh5g,0.603,0.634,10,-5.945,0,0.131,0.0277,5.77e-06,0.249,0.577,162.014,Balenciaga (with Fetty Wap & Lisa Mishra),47,159967,"['66T1y32NNXOz51okoaSu6v', '6PXS4YHDkKvl1wkIl4V8DL', '418X5slNWlJwym4x3Oq3Cs']","['Akash', 'Fetty Wap', 'Lisa Mishra']",3,2DLY0EvReHFABz5A7jXSaR,2023-10-13,534x9sylHYDWODbk9RSJLp,EDM & POP,2.6661166666666665,EDM
3MSbkU1q73nyebJPQFZFpx,0.429,0.941,1,-1.201,1,0.118,0.00767,0.0947,0.317,0.433,82.33,Blow the Spot,12,242727,7F5MkQ9b2m12d1mujO8fpw,HVRCRFT,1,24q9nT5uno34eU3xwkDooF,2023-07-08,534x9sylHYDWODbk9RSJLp,EDM & POP,4.04545,EDM
