name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Kapag Tumibok Ang Puso,0,180866,3rcIETyqsnaFShhWCtywaA,5TNuvf8y7Y3QLXsNaIYCYX,Janella Salvador,1,5ExrCnkKUNwQHtzzAVdL4B,2015-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Baby I Need Your Loving,0,191920,0wDOW3KujYyW6hIFmhHgIF,2q1YvyrLqKmBqNjIozl2Ne,Harana,1,49SJlnu4AMpyHkMSymozsN,2015-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Kilometro,0,191213,0o5Vy8oK1sfMsHD2Dr6D4k,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,1,6XyCKRUSZTALq3AJgb7Dqu,2014-10-04,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Tala,0,245053,2Ccg5O8xZUtfXloVOykOiu,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,1,2MCThGZYlAQRw3HDjkIODU,2015-12-04,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Dahil Sa'Yo,9,211200,4ai7c2BUjNpElhZdZDH7qF,0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,1,7dT7OfZcmX7HjE8EBqehEF,2016-10-21,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Urong-Sulong,0,193040,6NVgNgeFuwbA5lAU0eLnNt,6cXE5RU6ad2uzeRUxh7Olj,MAJA,1,4oVAuQe5tpXdv9viET16jo,2014-03-06,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Hinahanap-Hanap Kita,0,242393,67hjKSdkleY4v7qZ3Q3AFr,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,1,7HhsebvA3PWaXopruhWXCX,2011-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Dati,0,240600,5DdSN5U634K0bREQEbz6VI,"['2P3aLwJ41aRYkyFFw2FRM7', '2j0vP8ZxbL4V0hBbHOjvrH', '3i56tClx1CsaoGJC8BKlhz']","['Sam Concepcion', 'Tippy Dos Santos', 'Quest']",3,4WBmtqpXR1uws9d2Sg6UrZ,2013-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Trouble - English Version,0,186598,64GAph0jPD64kCucBIz2Hw,3zlxVfcuV4nPjcvTvlPWmZ,Kriesha Chu,1,3okYPFTxKPZIUYM3I57kak,2018-08-17,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Lumang Tugtugin,0,211424,50YeUpUrI2oqxPRSQbn9bc,0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,1,4fHCM4WChLMeGhhVqhujth,2018-09-14,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
