track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3rcIETyqsnaFShhWCtywaA,0.796,0.81,3,-3.973,0,0.0347,0.0119,0.000136,0.125,0.686,120.005,180867
0wDOW3KujYyW6hIFmhHgIF,0.73,0.746,3,-5.349,1,0.0312,0.0862,0.0,0.169,0.831,120.033,191920
0o5Vy8oK1sfMsHD2Dr6D4k,0.54,0.827,3,-4.958,0,0.123,0.276,1.37e-05,0.219,0.739,84.889,191213
2Ccg5O8xZUtfXloVOykOiu,0.598,0.795,8,-1.602,1,0.0497,0.623,0.000193,0.0971,0.499,97.999,245053
4ai7c2BUjNpElhZdZDH7qF,0.764,0.894,0,-2.892,1,0.0327,0.227,0.0,0.0906,0.963,99.986,211200
6NVgNgeFuwbA5lAU0eLnNt,0.803,0.708,10,-8.378,1,0.0404,0.211,3.96e-05,0.0505,0.933,130.427,193040
67hjKSdkleY4v7qZ3Q3AFr,0.692,0.74,7,-7.26,1,0.0263,0.0348,4.65e-06,0.182,0.53,106.982,242393
5DdSN5U634K0bREQEbz6VI,0.601,0.644,8,-5.741,1,0.114,0.239,0.0,0.124,0.758,183.905,240600
64GAph0jPD64kCucBIz2Hw,0.722,0.876,11,-2.19,0,0.0601,0.0307,0.0,0.342,0.695,104.96,186598
50YeUpUrI2oqxPRSQbn9bc,0.686,0.777,11,-3.001,0,0.034,0.3,0.0,0.201,0.657,109.066,211425
4Lm7iUXaIT9fzCUHMsO10W,0.631,0.923,1,-4.357,0,0.056,0.0639,0.0,0.316,0.707,98.054,195240
57NF2cTqsTx11rOlNKkwWA,0.841,0.69,1,-5.415,0,0.0399,0.216,0.0123,0.363,0.73,127.986,226877
1pQlZd7zzPuzHuFRkQmSyQ,0.699,0.61,9,-4.935,0,0.0385,0.391,0.0,0.193,0.739,124.996,224613
2hUH1ZU3uTiqgXMdKsZiUd,0.76,0.722,9,-4.463,1,0.0326,0.471,0.000336,0.327,0.86,109.966,187613
7Ge2nDLuobn9GEyrxKXevq,0.82,0.833,6,-5.908,1,0.137,0.359,0.0007,0.225,0.916,93.006,210520
0XcVmOI1djCh1rrQpEv2Pn,0.717,0.732,5,-3.482,1,0.0451,0.467,0.0,0.134,0.65,124.968,234707
4SS1u8rczYiLJvN5Z4v1aQ,0.743,0.741,6,-5.825,1,0.125,0.112,0.000742,0.357,0.672,80.977,254373
7iPjDhYjuxVpD2bWKAZZOY,0.723,0.757,9,-5.192,0,0.0359,0.108,0.0,0.154,0.79,112.013,181081
626flbKikvrxJyUESqvER4,0.755,0.697,0,-7.941,1,0.0398,0.444,1.21e-05,0.259,0.489,120.051,248120
56sRPwcfFXDxtCwvCDgkEc,0.618,0.698,2,-6.925,1,0.0343,0.038,4.08e-06,0.384,0.628,125.027,181868
5P1GlyYGuofTOWUDvHllcG,0.752,0.838,9,-4.438,1,0.0271,0.018,5.97e-05,0.154,0.787,114.969,241237
