track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
3rcIETyqsnaFShhWCtywaA,0.796,0.81,3,-3.973,0,0.0347,0.0119,0.000136,0.125,0.686,120.005,Kapag Tumibok Ang Puso,0,180866,5TNuvf8y7Y3QLXsNaIYCYX,Janella Salvador,1,5ExrCnkKUNwQHtzzAVdL4B,2015-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.0144333333333333,happy opm
0wDOW3KujYyW6hIFmhHgIF,0.73,0.746,3,-5.349,1,0.0312,0.0862,0.0,0.169,0.831,120.033,Baby I Need Your Loving,0,191920,2q1YvyrLqKmBqNjIozl2Ne,Harana,1,49SJlnu4AMpyHkMSymozsN,2015-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.1986666666666665,happy opm
0o5Vy8oK1sfMsHD2Dr6D4k,0.54,0.827,3,-4.958,0,0.123,0.276,1.37e-05,0.219,0.739,84.889,Kilometro,0,191213,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,1,6XyCKRUSZTALq3AJgb7Dqu,2014-10-04,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.1868833333333333,happy opm
2Ccg5O8xZUtfXloVOykOiu,0.598,0.795,8,-1.602,1,0.0497,0.623,0.000193,0.0971,0.499,97.999,Tala,0,245053,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,1,2MCThGZYlAQRw3HDjkIODU,2015-12-04,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,4.084216666666666,happy opm
4ai7c2BUjNpElhZdZDH7qF,0.764,0.894,0,-2.892,1,0.0327,0.227,0.0,0.0906,0.963,99.986,Dahil Sa'Yo,9,211200,0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,1,7dT7OfZcmX7HjE8EBqehEF,2016-10-21,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.52,happy opm
6NVgNgeFuwbA5lAU0eLnNt,0.803,0.708,10,-8.378,1,0.0404,0.211,3.96e-05,0.0505,0.933,130.427,Urong-Sulong,0,193040,6cXE5RU6ad2uzeRUxh7Olj,MAJA,1,4oVAuQe5tpXdv9viET16jo,2014-03-06,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.2173333333333334,happy opm
67hjKSdkleY4v7qZ3Q3AFr,0.692,0.74,7,-7.26,1,0.0263,0.0348,4.65e-06,0.182,0.53,106.982,Hinahanap-Hanap Kita,0,242393,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,1,7HhsebvA3PWaXopruhWXCX,2011-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,4.039883333333333,happy opm
5DdSN5U634K0bREQEbz6VI,0.601,0.644,8,-5.741,1,0.114,0.239,0.0,0.124,0.758,183.905,Dati,0,240600,"['2P3aLwJ41aRYkyFFw2FRM7', '2j0vP8ZxbL4V0hBbHOjvrH', '3i56tClx1CsaoGJC8BKlhz']","['Sam Concepcion', 'Tippy Dos Santos', 'Quest']",3,4WBmtqpXR1uws9d2Sg6UrZ,2013-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,4.01,happy opm
64GAph0jPD64kCucBIz2Hw,0.722,0.876,11,-2.19,0,0.0601,0.0307,0.0,0.342,0.695,104.96,Trouble - English Version,0,186598,3zlxVfcuV4nPjcvTvlPWmZ,Kriesha Chu,1,3okYPFTxKPZIUYM3I57kak,2018-08-17,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.1099666666666668,happy opm
50YeUpUrI2oqxPRSQbn9bc,0.686,0.777,11,-3.001,0,0.034,0.3,0.0,0.201,0.657,109.066,Lumang Tugtugin,0,211424,0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,1,4fHCM4WChLMeGhhVqhujth,2018-09-14,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.5237333333333334,happy opm
