playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DXdPec7aLTmlC,Happy Hits!,100,spotify,Spotify,6197627
37i9dQZF1DWSf2RDTDayIx,Happy Beats,150,spotify,Spotify,2305749
37i9dQZF1DWSkMjlBZAZ07,Happy Folk,100,spotify,Spotify,1965661
37i9dQZF1DX0UrRvztWcAU,Wake Up Happy,150,spotify,Spotify,1339232
37i9dQZF1DX84kJlLdo9vT,Happy Days,50,spotify,Spotify,653113
37i9dQZF1DWVlYsZJXqdym,Happy Pop Hits,50,spotify,Spotify,594614
37i9dQZF1DWZKuerrwoAGz,Happy Favorites,150,spotify,Spotify,477656
37i9dQZF1DX1WSnLRtI26o,Happy Drive,194,spotify,Spotify,417208
37i9dQZF1DX1H4LbvY4OJi,Happy Pop,80,spotify,Spotify,390379
37i9dQZF1DX0HWhBzpBj05,Happy Holidays,75,spotify,Spotify,312506
37i9dQZF1DWYAcBZSAVhlf,Happy 80s,100,spotify,Spotify,261134
7s09coXLGbofhNrwSusr4G,Happy Songs 2023 - Good Vibes and Upbeat Music for a Good Mood 😊,269,6n2tcrdaprmet7ferrms32vlv,Music-Hits_.,233145
37i9dQZF1DWYtQSOiZF6hj,Happy Birthday,58,spotify,Spotify,228863
37i9dQZF1DWY8Ogms1X39p,Yang Penting Happy,76,spotify,Spotify,195428
4AnAUkQNrLKlJCInZGSXRO,"Happy Songs ☺ (80s, 90s, 2000s, 2010s & 2020s)  ☺ Best Happy Mood ",254,sanik007,Indiemono,183052
37i9dQZF1DX5YTAi6JhwZm,Happy Jazz!,95,spotify,Spotify,149753
7GhawGpb43Ctkq3PRP1fOL,Happy Vibes 2023 ☀️,130,electroposé,Electro Posé,114742
4Fh0313D3PitYzICKHhZ7r,Feel Good Songs 💛 Happy Vibes only 🌞 ,100,316qjxmqdtb27fp5fer3tlfi5s2m,Skyeee :),95644
0RH319xCjeU8VyTSqCF6M4,Happy songs everyone knows 😄 🙌,100,qon9p4ro7d4cjfj1dsfw99k9z,skye,93249
1ynJ63k9UYnKQWH2Q0KMml,Children's songs 😊 Happy kids music,102,v7uy00hw2t3awt5hdpmkigaty,Fenrik The Hatboy,92768
2TQ0pRHI7T41zi0tV155wW,Car Songs  🚗 Happy Music!,150,21ifzjxggdajdpc4w6iqxslkq,Soave,79912
1M4HRuhHptR24Ocs3HRfvO,Wake Up Happy 🥞 Morning Playlist,120,21ifzjxggdajdpc4w6iqxslkq,Soave,56666
38hANLCOpal9sX3os9Te49,"happy crush lang po, pero sineryoso",115,2ox9p30pre4sypv2q1lrc3zt0,chaai,39880
0x3wglohDy4DHednSb91wA,taylor swift but you're happy.,52,dqasas62v1lmc4asx8z6ruzcg,chiara,33365
7vBShQfXqgKHshNTD9JnWQ,HAPPY SONGS 😍🤩😁,122,c40vnvvhdjr0t10234y921o8n,Mac,32855
6A8WG11y1wfsFXlCOPNNke, Happy Birthday Playlist 2023,84,127029451,#Karma,31081
7a8xfvogHnGzZKQUenPCms,Happy vibes 2023,64,renatoleitewd7,renatoleitewd7,30383
36agJJVP1XSZY02xzwE1uP,happy crush na umaasa konti,81,313l3htcnkpdm7ppaz2ileov7yyy,joi,23384
37i9dQZF1DXbpR3uCBnjpF,Happy Hour,75,spotify,Spotify,22449
3uytMJmuqpPKpNPUXfPYXm,Good Morning Vibes 2023 ☀️ Happy Songs,63,313odiyd72vqxinsh4grr4wqqfpa,TylerLife,21187
439kh0uCj44w7qG9ZaUawF,HappyHamHam,291,hamed.anit,hamedloco,17872
1BJmcR8CULB1nr0xE8l9rm,Happy Birthday Songs for Kids,40,glessyl,g!,16439
69zaTZrhWgdXMmgkoEyyaW,Happy Indie,59,08ci7d92ejljf7vv8qkyuvdk6,Delli_travels,15628
0qsr6zXWxVt6K3mZeuPFQm,90's Happy Hardcore Mixtape,96,mdebruin,Mark de Bruin,13793
37i9dQZF1DWW5Jdaphc81Z,Happy Diathesi ,70,spotify,Spotify,12530
37i9dQZF1DWTDQekfJlOMe,Happy Baarish,51,spotify,Spotify,12512
4MMK4nBGZ8028np9KXbxWT,Happy Background Music,51,matthylom,matthylom,11167
37i9dQZF1DZ06evO2OqWHw,This Is Happysad,50,spotify,Spotify,10765
4coVmAgFJyvp3JXegP55dP,happy crush na may onting wala na ba talagang chance?,263,21gsma33fb2nlqegual25l2lq,lumi,10305
6oDmycvnCciCwMoYObvUAp,Happy Christmas Songs (2023) - including Xmas tracks by Cher!,185,marinuz,your own kind of music,9275
556ICk4gRzDknRfWGeQ3x1,Happy Morning Instrumentals,108,zqjcd7m9ctn3lxsva5z1wkygb,Basil,8773
0okKcRyYEwq8guFxzAPtlB,"Mood Booster 2023 🌞 Positive Vibes, Happy Music",163,x9uqoaxrtq1flneitrkvggrfh,sense.,8540
52nbU9CEh12BvTPBcz8wTL, Happy Birthday For Adults,5,he14jyihqifjh1qf6r6xb34hz,Crlutong,8482
6jJcwiR23lgUhjdWyUpMF7,Happy Saturday Morning,174,marinuz,your own kind of music,8427
49ce1Tfrnw0DM8fsicFDmW,happy kpop mornings 🫧,150,a8dpjww56zlo9j0crkdh0ntpq,30419 ✩,7699
3ZRACk4YiNd4aQLAsQk04N,Happy - Square Heads,67,papapaulosuarez,Paulo Suarez Papa,6463
25v1hFm24phy3CeMx7ZlKG,HAPPY CAT AND BANANA CAT,5,31qo3fqnwv5rc3skpfmedkuxn6gm,ASAFXD,5935
6QjFkvCYzg4sq1rUygEeHp,happy hour,59,31oeugqo6fx33mtm2ehjxzy5rkwi,prettykitty,5910
0HZvKkTVBuo0N0KUiC1H3k,lord sana happy crush lang talaga ‘to,93,314k6wfmcqk43wwjfxsatpbli6te,yzza,5872
0Vz1zH3xrUiwoB4KeRgrJ2,HAPPY TECHNO!,270,nikkiyva,Nikki Yvonne Van Amerom,5247
1tTXdi6Bp04Pgmam9bSN7W,Bollywood Happy Songs,190,314ugw3xwvvjm3wlndhrqzo3w4ue,Nikita D.,5163
1F4Blteq0gK70zV7YMcVic,LAGI HAPPY G USAH BKIN BDMOOD,49,317qc7re4swisa6svbrjotgbnm2u,fitcntk,4636
72zgcKR4D61oEK2Ww9CYAt,"Yes, I look happy, happy all the time...",124,21444kqs6pmeziv7tojwiq6fa,Oliwia Jakiel,4366
7b1feLaAdHnLnguRdbM1lX,ALBUM HAPPY ASMARA FULL,19,31l73zfwgta37yftk5nh5vyoobi4,Adeanjani,4126
2fv1ErevrE9PfKuAOmlbGd,Happy Saturday 2023,74,8yng2ptktmo0csoo5oef3cozp,JD Playlists,3763
5maTxNYkbtZkKbnmXarjA8,happy,88,31ogj7kcdegclqzp3ejqaznocw3i,Belina Bellwood,3729
