name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Cruel Summer,100,178426,1BxfuPKGuaTgP7aM0Bbdwr,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1,1NAmidJlEaVgA3MpcPFYGq,2019-08-23,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Dance The Night - From Barbie The Album,95,176579,1vYXt7VSjH9JIM5oRRo7vA,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,1,5cH7FqB7JD5q1tJXJ7FHYu,2023-05-25,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
(It Goes Like) Nanana - Edit,92,231545,23RoR84KodL5HWvUTneQ1w,2mLA48B366zkELXYx7hcDN,Peggy Gou,1,2LVDNOUUy2g8517ZEtQIcK,2023-06-15,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Blinding Lights,92,200040,0VjIjW4GlUZAMYd2vXMi3b,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,1,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
I Ain't Worried,91,148485,4h9wh7iOZ0GGn8QVp4RAOB,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,1,04PEOM6kIEeq9lRp1asNP2,2022-05-13,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Barbie World (with Aqua) [From Barbie The Album],91,109750,741UUVE2kuITl0c6zuqqbO,"['0hCNtLu0JehylgoiP8L4Gh', '3LZZPxNDGDFVSIPqf4JuEf', '6kBjAFKyd0he7LiA5GQ3Gz']","['Nicki Minaj', 'Ice Spice', 'Aqua']",3,5CM66hwjlbZ06LhONWXOAs,2023-06-23,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Watermelon Sugar,89,174000,6UelLqGlWMcVH1E5c4H7lY,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Baby Don't Hurt Me,89,140017,3BKD1PwArikchz2Zrlp1qi,"['1Cs0zKBU1kc0i8ypK3B9ai', '1zNqDE7qDGCsyzJwohVaoX', '6AMd49uBDJfhf30Ak2QR5s']","['David Guetta', 'Anne-Marie', 'Coi Leray']",3,327tc3Eruk1HP1w62iqROy,2023-04-06,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Single Soon,89,171655,6iF4RgIjDvDqyW13PezSj3,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,1,6EejduBuRYb7rzJaD2YCqO,2023-08-25,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Chemical,88,184013,5w40ZYhbBMAlHYNDaVJIUu,246dkjvS1zLTtiykXe5h60,Post Malone,1,7qcSUc5Af63mhfTF60KTEA,2023-04-14,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Shivers,87,207853,50nfwKoDiSYg8zOCREWAm5,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1,32iAEBstCjauDhyKpGjTuq,2021-10-29,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Speed Drive (From Barbie The Album),86,117809,5VxmI3IdgAxWVvUnJoLuY2,25uiPmTg16RbhZWAqwLBy5,Charli XCX,1,6MLx7SZjcmMHNUJc1Tcir0,2023-06-29,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Uptown Funk (feat. Bruno Mars),86,269666,32OlwWuMpZ6b0aN2RZOeMS,"['3hv9jJF3adDNsBSIQDqcjp', '0du5cEVh5yTK9QJze8zA0C']","['Mark Ronson', 'Bruno Mars']",2,3vLaOYCNCzngDf8QdBg2V1,2015-01-12,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Made You Look,85,134256,0QHEIqNKsMoOY5urbzN48u,6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,1,4LVa9bljQRvLYpWr8qyaXs,2022-10-21,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
You Need To Calm Down,84,171360,6RRNNciQGZEXnqk8SQ9yv5,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1,1NAmidJlEaVgA3MpcPFYGq,2019-08-23,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
If We Ever Broke Up,84,142758,6maTPqynTmrkWIralgGaoP,311uEW9rt5g2NmzjGEKS2E,Mae Stephens,1,4eadTzshRApGna6Ppz5XwO,2023-02-10,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Pepas,84,287120,5fwSHlTEWpluwOM0Sxnh5k,329e4yvIujISKGKz1BZZbO,Farruko,1,2A5ksnhz7YWbRLvFMjX1j1,2021-06-24,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Peaches (feat. Daniel Caesar & Giveon),84,198081,4iJyoBOLtHqaGxP12qzhQI,"['1uNFoZAHBGtllmzznpCI3s', '20wkVLutqVOYrc0kxFs7rA', '4fxd5Ee7UefO4CUXgwJ7IP']","['Justin Bieber', 'Daniel Caesar', 'Giveon']",3,5dGWwsZ9iB2Xc3UKR0gif2,2021-03-19,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
2002,83,186986,2BgEsaKNfHUdlh97KmvFyo,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,1,7lPoGKpCGgdKFAxpudhAH5,2018-04-27,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
THATS WHAT I WANT,83,143901,0e8nrvls4Qqv5Rfa2UhqmO,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,1,6pOiDiuDQqrmo5DbG0ZubR,2021-09-17,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Dynamite,83,199053,5QDLhrAOJJdNAmCTJ8xMyW,3Nrfpe0tUJi4K4DXYWgMUX,BTS,1,6nYfHQnvkvOTNHnOhDT3sr,2020-11-20,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
"Happy - From ""Despicable Me 2""",83,232720,60nZcImufyMA1MKQY3dcCH,2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,1,0lrmy4pJINsFzycJvttX2W,2014-03-03,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Budapest,83,200733,2ixsaeFioXJmMgkkbd4uj1,2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,1,6mcMKGEgukjyiR5IKElQ2E,2014-06-30,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Kings & Queens,82,162398,7a53HqqArd4b9NF4XAmlbI,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,1,26c7MmQ4w8EAvVLb4jilaM,2020-09-18,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Sucker,82,181026,22vgEDb5hykfaTwLuskFGD,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,1,1Uf67JAtkVWfdydzFFqNF2,2019-06-07,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Rock My Body,82,137419,6pb5DtlAeG95dNQLHiArRU,"['6cEuCEZu7PAE9ZSzLLc2oQ', '2w9zwq3AktTeYYMuhMjju8', '5XTxV2ifoYkmNb13Gb6cKz']","['R3HAB', 'INNA', 'Sash!']",3,1ItxfUvQVlH7sAybyJ1SpB,2023-04-28,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Best Day Of My Life,82,194240,5Hroj5K7vLpIG4FNCRIjbP,0MlOPi3zIDMVrfA9R04Fe3,American Authors,1,0V4laGZGshNCpurfIdUhHv,2014-01-01,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Castle on the Hill,82,261153,6PCUP3dWmTjcTtXY02oFdT,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1,3T4tUhGYeRNVUGevb0wThu,2017-03-03,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Rush,82,156391,4ZnkygoWLzcGbQYCm3lkae,3WGpXCj9YhhfX11TToZcXP,Troye Sivan,1,5UcGyEltve5psjxSRsHx8E,2023-10-13,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Players,82,139560,6UN73IYd0hZxLi8wFPMQij,6AMd49uBDJfhf30Ak2QR5s,Coi Leray,1,4cAAsw7mPkGt15GXQzWlrM,2022-11-30,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Sunshine,81,163854,5r43qanLhUCdBj8HN3fa6B,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,1,2YSlIS6gM38w7ZJNj8F3s6,2021-11-10,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
Numb,81,155588,10xV5l9nhLvFpR8mqzs0bL,"['64KEffDW9EtZ1y2vBYgq8T', '6LuN9FCkKOj5PcnpouEgny']","['Marshmello', 'Khalid']",2,3SBeYxkc3Ce7lanK0f3epk,2022-06-10,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
