track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,Cruel Summer,100,178426,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1,1NAmidJlEaVgA3MpcPFYGq,2019-08-23,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,2.9737666666666667,happy
1vYXt7VSjH9JIM5oRRo7vA,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,Dance The Night - From Barbie The Album,95,176579,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,1,5cH7FqB7JD5q1tJXJ7FHYu,2023-05-25,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,2.9429833333333333,happy
23RoR84KodL5HWvUTneQ1w,0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,(It Goes Like) Nanana - Edit,92,231545,2mLA48B366zkELXYx7hcDN,Peggy Gou,1,2LVDNOUUy2g8517ZEtQIcK,2023-06-15,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,3.8590833333333334,happy
0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,Blinding Lights,92,200040,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,1,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,3.334,happy
4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,I Ain't Worried,91,148485,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,1,04PEOM6kIEeq9lRp1asNP2,2022-05-13,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,2.47475,happy
741UUVE2kuITl0c6zuqqbO,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,Barbie World (with Aqua) [From Barbie The Album],91,109750,"['0hCNtLu0JehylgoiP8L4Gh', '3LZZPxNDGDFVSIPqf4JuEf', '6kBjAFKyd0he7LiA5GQ3Gz']","['Nicki Minaj', 'Ice Spice', 'Aqua']",3,5CM66hwjlbZ06LhONWXOAs,2023-06-23,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,1.8291666666666666,happy
6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,Watermelon Sugar,89,174000,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,2.9,happy
3BKD1PwArikchz2Zrlp1qi,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,Baby Don't Hurt Me,89,140017,"['1Cs0zKBU1kc0i8ypK3B9ai', '1zNqDE7qDGCsyzJwohVaoX', '6AMd49uBDJfhf30Ak2QR5s']","['David Guetta', 'Anne-Marie', 'Coi Leray']",3,327tc3Eruk1HP1w62iqROy,2023-04-06,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,2.3336166666666665,happy
6iF4RgIjDvDqyW13PezSj3,0.61,0.571,2,-5.649,1,0.0782,0.00863,0.0,0.131,0.747,105.01,Single Soon,89,171655,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,1,6EejduBuRYb7rzJaD2YCqO,2023-08-25,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,2.8609166666666668,happy
5w40ZYhbBMAlHYNDaVJIUu,0.498,0.897,2,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,Chemical,88,184013,246dkjvS1zLTtiykXe5h60,Post Malone,1,7qcSUc5Af63mhfTF60KTEA,2023-04-14,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,3.066883333333333,happy
50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,Shivers,87,207853,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1,32iAEBstCjauDhyKpGjTuq,2021-10-29,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,3.4642166666666667,happy
5VxmI3IdgAxWVvUnJoLuY2,0.652,0.879,0,-6.405,1,0.0784,0.00284,0.0896,0.0918,0.789,173.925,Speed Drive (From Barbie The Album),86,117809,25uiPmTg16RbhZWAqwLBy5,Charli XCX,1,6MLx7SZjcmMHNUJc1Tcir0,2023-06-29,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,1.9634833333333332,happy
32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,Uptown Funk (feat. Bruno Mars),86,269666,"['3hv9jJF3adDNsBSIQDqcjp', '0du5cEVh5yTK9QJze8zA0C']","['Mark Ronson', 'Bruno Mars']",2,3vLaOYCNCzngDf8QdBg2V1,2015-01-12,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,4.494433333333333,happy
