track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
1X4l4i472kW5ofFP8Xo0x0,Sana - Single Version,2,277098,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5S4T2Pdr8qhetF3UhkwuMj,'Di Na Babalik,0,340262,5HIZU0JzM0AgfItVOm4E08,This Band,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
3WUEs51GpcvlgU7lehLgLh,Kathang Isip,73,318814,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5NXdUJ3Z2jhlp2u1cj6f7m,Balang Araw - Single Version,0,288207,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5V2AX2WTOHl2FKtftvisV6,Kahit Ayaw Mo Na,0,243015,5HIZU0JzM0AgfItVOm4E08,This Band,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5nMKJJ5Rl6X1yn58aVeICO,Bulong,63,270233,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1yDiru08Q6omDOGkZMPnei,Maybe The Night,68,217197,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0gDRtumoR9ZrvAlnniToMz,Ikaw At Ako,15,269876,"['0rZRTXEmmPmx6gt92tBqIc', '4eK6vQqh6wpgldKVWm7560']","['Moira Dela Torre', 'Jason Marvin']",2,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6GIzDc4xBUeYHwubWwTrhC,Kahit Di Mo Alam,61,282094,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5l9g7py8RCblcvbZgGQgSd,Pagtingin,70,227370,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
14BG5B1EJSCyNpZt096xXc,"Patawad, Paalam",4,323140,"['0rZRTXEmmPmx6gt92tBqIc', '7tKpXx21KVUOR6vvDs6xtg']","['Moira Dela Torre', 'I Belong to the Zoo']",2,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6BxJLJw228OY5BFerPGl7z,Dahan,57,297500,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
7Livy729zY16jBsppfYLRW,Nang Iwan,0,367889,5HIZU0JzM0AgfItVOm4E08,This Band,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
2BgD4nRyx9EZ5o8YEnjRSV,Kung 'Di Rin Lang Ikaw,66,267759,"['4qFxP3qN9GsnZDOkAE6x2m', '0rZRTXEmmPmx6gt92tBqIc']","['December Avenue', 'Moira Dela Torre']",2,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4yLc803i7qcWx4V2piWPH5,Magkunwari ('Di Man Tayo) [TODA One I Love Official Soundtrack],55,278181,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5f9808hpiCpuNyqqdXmpF2,Buwan,71,343446,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6wdCelHrPh7UfliNjwRTUv,Leaves,71,310708,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
50hVyhZM4nvizfrQe38F3l,Hindi Na Nga,0,282442,5HIZU0JzM0AgfItVOm4E08,This Band,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5v8C6zQNQoS9i2brAIaVVU,"Hindi Tayo Pwede (from the movie ""Indak"")",0,263221,09Xydf4dlkr29dH99DmsvQ,Janine,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
02GtNoUv85fOPEaCTlpYzr,"Kapit (From ""Alone / Together"")",46,242933,7bT6URJrhJleZUfkrysELD,Armi Millare,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4fxHK6mhA9vli9NjpBSbGi,Isang Araw,3,287400,0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4u8RkgV6P4TLi89SmlUtv8,Mundo,73,349713,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
2ZiNCGDMapQzMtnPRVOKZI,Di Makatulog,56,329396,0jKQrxK2zHqxyOAyIMrUQt,SUD,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6ipu0NJW6CpYZjHnUo1xxS,Walang Hanggan,51,383703,4N7VMCvYd9Reh5bJLnRVzY,Quest,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
24bmXekGRqVFRlPYdfzyJr,Midnight Sky,0,244426,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,65,285138,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
24ngpWhBOxKJtIPnzSNX8c,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),66,343017,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
2IMODbij0lZ5CuAjZi0IDE,Sila,63,326000,0jKQrxK2zHqxyOAyIMrUQt,SUD,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
3vGkyQlCw8LklNip0ZUELC,Nobela,69,291506,70ljCILl0aVXitf3K39YvT,Join The Club,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0dJPIIlTmVM0lambbFgAYq,Eroplanong Papel,69,303880,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4JSDhJVmo2UqdF7nxbyenn,Kung Wala Ka,68,242800,6Ww3OMFzCaO33ulKh1LBFN,Hale,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1IlSaQ2FzymQC3vwWnXSa6,Sana Bumalik,46,353941,0jKQrxK2zHqxyOAyIMrUQt,SUD,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0ztDBQdQmdVZvorSmIjMih,Tagpuan,14,260240,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6YEO7K4hwGKh7BmNxMMvkc,Oks Lang,0,336369,2U5mF0PZqGu6glnz55yY0y,John Roa,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5UhpceEr5XmbVwyoIUIRnh,Hanggang Kailan - Umuwi Ka Na Baby,2,261866,1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1mTROTnvFi7uxGciL319Kb,Sa Dulo Ng Walang Hanggan - Sa Ngalan Ng Pag-Ibig Piano Version,58,342067,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0x2VgHoxUxKFbIUqQur8Fe,Sino,1,280426,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),57,254249,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6NFKf8vBApSvtzkapYmnVR,Tadhana,1,222446,3wbCeEPAW6po7J46netxMT,Up Dharma Down,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4UgtdWy4dm7vMVIupUbtMm,Huling Sayaw - Acoustic,1,260253,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
7gWKGNeHjIDUkNreiYYNdm,Oo,0,239000,3wbCeEPAW6po7J46netxMT,Up Dharma Down,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1PUWUlqe6m5HqX754lN3Bs,Mitsa (Salamat),50,265476,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4MyiyNOHtnvjVuEhs9yOl9,Hanggang Dito Na Lang,50,371386,6DiAVYfSzZi8h1fGuTD6LI,Jimmy Bondoc,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
7h4W9blGxYCkKJ3dxPZ84j,Dulo Ng Hangganan,69,328303,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
2iOnWSWcChoGmUufbrQ00e,Tagu-Taguan,11,249160,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1fXHTDYsJiFOjVWITaFp1j,Ride Home,59,326885,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5NwgVC2bFG0JJmaljJUFGG,Kahit Sa Panaginip,33,231581,"['4qFxP3qN9GsnZDOkAE6x2m', '5PuOmp0NiyY5kU1fgccHxU']","['December Avenue', 'Khalil Ramos']",2,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6HxGR4H7Qfe4uR68veOW3g,"Balisong (Theme Song of the Movie ""100 Tula Para Kay Stella"")",0,229034,1YlibpAvhJBbMZMBwN1KGv,The Juans,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
7aOgo3FixklrEF0FWCgPLX,Ipagpatawad Mo,0,242453,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0zFYa7NIpKhmom8zrZx7Ga,Why Can't It Be,6,248760,0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4e0rMS4w6Ssim4K4W11J8I,Di Na Mababawi,0,193506,1tXFYQZSAswt4JLB42lpye,Sponge Cola,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6p6DiqAPwMX7vdrSo30wgo,'Di Na Muli,0,207018,09Xydf4dlkr29dH99DmsvQ,Janine,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
04Fqdekvehn72zJ4lJbEH7,Bitaw Na,0,283616,5HIZU0JzM0AgfItVOm4E08,This Band,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6FT35oVqQZFiTPL9BLmHOH,Tayo Lang Ang May Alam,50,292473,2inqTOq06scVP6BkEyHBsp,Peryodiko,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6VqZS3Wmf53pbfDBVEYvnP,Hindi Tayo Pwede,1,303937,1YlibpAvhJBbMZMBwN1KGv,The Juans,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
19qvp23a0iXjzS72nqOi8u,Sa'yo,63,352445,4eKq7eArL96wSQjaaMg9Ic,Munimuni,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
267RumTt5KeLBGl2KWxBL0,Dating Tayo,2,239480,7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
02FaAqDWHFy7Rr8UMaaQ4E,Ligaya?,0,357055,5HIZU0JzM0AgfItVOm4E08,This Band,1,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
