track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name
1X4l4i472kW5ofFP8Xo0x0,Sana - Single Version,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,4njOhY51h2CBqdAX4o41U1,277098,2018-04-28,2,0.66,0.373,7,-7.874,1,0.029,0.701,0.0,0.226,0.348,126.887,277099,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5S4T2Pdr8qhetF3UhkwuMj,'Di Na Babalik,5HIZU0JzM0AgfItVOm4E08,This Band,7zJxOlHuAGpCC7ZtKHm0Rz,340262,2019-02-03,0,0.358,0.435,10,-7.265,1,0.0349,0.00819,0.000936,0.112,0.14,76.132,340262,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
3WUEs51GpcvlgU7lehLgLh,Kathang Isip,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,4nQxblVnnFPehg9ujzdJ8L,318814,2017-06-23,73,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921,318814,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5NXdUJ3Z2jhlp2u1cj6f7m,Balang Araw - Single Version,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,6HPFW4F5tgbVGfFatG5CUw,288207,2018-10-23,0,0.523,0.391,7,-9.283,1,0.0298,0.395,0.0,0.142,0.354,139.905,288208,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5V2AX2WTOHl2FKtftvisV6,Kahit Ayaw Mo Na,5HIZU0JzM0AgfItVOm4E08,This Band,4sChUazv5CQPX1V3VqVsqV,243015,2018-02-02,0,0.662,0.529,2,-8.539,1,0.0351,0.341,0.000208,0.105,0.424,127.584,243015,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5nMKJJ5Rl6X1yn58aVeICO,Bulong,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,6anqXAk4NZxdkUwvpfUqsB,270233,2018-04-08,63,0.5,0.728,9,-5.472,0,0.0313,0.0319,0.0,0.0782,0.351,134.877,270233,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1yDiru08Q6omDOGkZMPnei,Maybe The Night,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,6LhZ3QMHGJeTes9cCTxK8e,217197,2017-10-27,68,0.572,0.522,2,-9.095,1,0.0367,0.113,4.91e-05,0.114,0.498,74.05,217197,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0gDRtumoR9ZrvAlnniToMz,Ikaw At Ako,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,397zfeJ75BlnjfUEkgtwlG,269876,2019-01-15,15,0.445,0.355,4,-7.351,1,0.0289,0.887,0.00179,0.322,0.366,135.525,269877,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6GIzDc4xBUeYHwubWwTrhC,Kahit Di Mo Alam,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1aUdCxhin4mQevKWVLrtNN,282094,2017-09-17,61,0.45,0.648,10,-4.516,1,0.0308,0.132,2.37e-05,0.11,0.282,144.814,282094,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5l9g7py8RCblcvbZgGQgSd,Pagtingin,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,7xCcuTA3abKwxj8HwgxP7R,227370,2019-05-12,70,0.669,0.42,2,-8.464,1,0.0253,0.506,0.0,0.404,0.523,95.049,227370,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
