playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
41PzYTcbWkbu1wT2XPuv23,"Pinoy folk,rock and country",55,12176146745,Ferdinand Alvarez Iglesias,1722
6UPB91FRv2PpTbm5LQX3RR,Ugat the best of pinoy folk rock,116,1172507016,1172507016,1012
0eaGgs2co1KOKsQvnvOPJ0,Classic Pinoy Folk and Rock Songs,40,22ily2rodw4k4yjsce7kicaey,Rodel Pacurib,955
32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,48,21a7yhtjgvfxt2ax3ddqt6iaa,Bruce Barnett,902
6iK54thMjKqIGR9hyqWacZ,Pinoy folk songs,53,12139565360,Jojo Ebuen,535
3ZcT2urPtYkuYp9Nj3CbGZ,Best Of Pinoy Folk Rock & Country Music,140,31cmyyj5cpfwelpa44qa4y3klame,Ako Si Balong,523
37CYeMSkIt3n8y5DTOAB62,OPM oldies Pinoy Folk Rock,183,22hh4sila7h5txsu7qeie5h5y,22hh4sila7h5txsu7qeie5h5y,479
70YMxCXkkCqjdWvB4gbrrp,Pinoy Folk Songs 2023,52,jyhra99st5nhex8kfo4um2dh7,buntala,434
4zmKjJS931hYnkhPot7vTE,PINOY FOLK ROCK & COUNTRY MUSIC,99,2155myb557ryymhfsrb67ya6i,Sam Kilakiga,417
45Z43TXZtiVMIenaCEcAdn,PINOY FOLKSONG 80,76,freddierico28,freddierico28,120
2ueO6KcRQ6TBLr25WqLSyC,BEST of Pinoy Folk Song,30,abrielle001,Ae Jhaye,39
5QIB6SRuF9DXYnK4x4ReML,Pinoy folk dance🇵🇭,49,222wppmeiuxfibcpdzrdz7s5q,Bom(◔‿◔),33
2869qjexGgV3auIyhVGVtW,"Pinoy Folk, Rock and Alternative",382,pyp65dtled6jh79xqlp1psxsb,OC9973,4
2cIhLJuQXfi02pSkT0Uymd,Pinoy folk song,44,8txfwh97nr3ouwksshva0m2sd,8txfwh97nr3ouwksshva0m2sd,3
4KFTNiWN1PXG0tXo0YjLKw,"PINOY FOLK, ROCK GREATEST HITS",124,mekmoumobz9ehh59omu83w6mm,Ruelgalves,3
5G9rJSlYp9UvvvjgPmRxJq,Pinoy Folk,103,whamiyo,whamiyo,1
1BApfe2kzzVJfzpInzvpig,Pinoy folk songs,22,valleja13,valleja13,1
63Sf0nwLzdSNOX4MeaOpBC,Pinoy folk songs,26,rjnpnmjlnpbm3okoggtc8k2qi,Jonatdors,1
4feDNZuifTF6wSwuKRPevM,Pinoy folk,121,313lk3cgpaaiekcrvrmcnzjolchu,Ner Perez,1
2JZod0dI3c6K8jlka03cur,Pinoy Folk Rock & Country Jukebox,245,12136520865,Ramir Santos Tiamzon,1
49bBGmoQwyAFc0NGuw9yBn,Pinoy Folk Music,422,12164910002,Giboy Adena,1
40hHFpq3t0bjFB8hbHEelh,Pinoy Folk Rock,135,bemby678,Bemby88,0
2TgvXlEQ8kSU4LQZTSKiwj,pinoy folk song,174,3177n5dcurl4du5bzlyum3hdnd2e,Achoyarquiza,0
7qA5rjVdZ1886ImGi4GBwt,Pinoy folk,17,31akkukjbxsdlqwcuh3kiorxsuga,Henrysphere,0
5AASXVUUWWjc2L5GmxVelh,Pinoy Folk Rock,60,12143699272,Chito Magtira,0
1KMFkp8TyWci4OeqvHUcl8,Pinoy FolkSongs,142,l3ak7zt19lu3dfcyey4tdn9tt,Haringbahag,0
0ajTnSewx6HGvOG5owJ5pA,PINOY FOLK SONGS OPM,19,31onil6arpdkudn55katuv6jfifm,vicente g. tolosa,0
2qjoXyf8U2wfSfUlnB70c8,pinoy folk,36,i3s2mqr4yi53vxfrg05luq7hu,Ruby,0
2ZuCrpsF2SW12iBy5dOe6N,Pinoy folk,93,31wa4pdlgzo7uh33bsf243oo5caa,Jerry Pangilinan,0
5PVYfK4brexeMfg0jwOb3t,Pinoy folk selection,12,31vk7sfwbfzgbxcxm7xj5inifldi,Jose del rosario,0
3FTbbQeBz2sx5kZ0HpEPU5,Pinoy folk rock,120,31sn4hpnke2ecsajm6udbywkf7f4,Junalvin.dungca,0
0AB5eO8kO9Cu9sZdGmmIz3,Pinoy folk song,59,31yf5vftuz2uzyggycosjnobwp4a,Edlukamagic,0
07cZMe8GebIBGp0nPQVtoR,Pinoy folk song,54,31epwkntgtwaid5fjeavbebkd66m,Alfredo.sanaminjr,0
7g93vijox5IHlYJbVxvgda,PINOY FOLK,50,31a7c455fetzt57mzbhtijuqryna,Eyel,0
6e6v4DstchXIYvxgEpFmQK,Pinoy folk/classic,50,kevinparaoan,Kevin Cortez Paraoan,0
6ljBGxLjvz3beJirwtqY3n,Pinoy Folk song,76,31flh7wkceduzhyr246zukjlf5ne,jerry,0
0UOpZV2n0m3WWAZIEkEXbx,Pinoy Folksong ,36,jdmina.jm,jdmina.jm,0
