track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5EgngzuJduPmnkzL2Wee9I,0.51,0.227,0,-15.854,1,0.0314,0.831,0.388,0.144,0.347,131.943,252667
4cMyUEtIfRUzX1RElpcYT4,0.752,0.527,5,-15.216,1,0.0567,0.441,0.00146,0.0753,0.954,147.029,212000
3XWG4DygJPl4mJbTUyySeU,0.645,0.252,3,-14.338,0,0.0462,0.884,0.0,0.181,0.411,84.917,240000
4nHaxoW9jK2BqJw8Wk2hfB,0.41,0.693,4,-10.69,1,0.0969,0.214,1.22e-05,0.14,0.674,141.092,324053
21yhd9HMRqpv02VvlTlUp3,0.44,0.205,4,-15.288,1,0.0324,0.902,0.598,0.114,0.283,124.812,337173
1aCAcKrJeK0NKjsdqfkwk0,0.857,0.425,9,-9.486,1,0.0343,0.794,1.35e-05,0.14,0.787,112.516,210427
4N0XG7hGoVnUKI2kuRGN1u,0.432,0.563,2,-8.807,1,0.0309,0.0877,0.000355,0.294,0.397,136.172,280947
0pobQmvHou3syiOi6DRqiC,0.801,0.538,5,-9.578,1,0.131,0.285,3.16e-06,0.112,0.46,115.942,184147
5kqM2lbiX2slirLnrDSdCt,0.566,0.871,6,-7.151,0,0.0466,0.15,0.000216,0.37,0.799,128.185,277707
6cxcKJrrBPCv4sc9Z6eYXd,0.432,0.318,1,-12.559,1,0.0617,0.783,0.0,0.155,0.398,134.628,205000
0m7ZGgr9baXIaO9AQlc7kK,0.578,0.867,0,-11.26,1,0.0533,0.0103,0.00483,0.146,0.903,141.877,225027
33UEzzSJ1fM4rIlQd89bo8,0.71,0.554,2,-6.991,1,0.0243,0.243,0.0193,0.119,0.495,95.022,221000
2jYG2frUEfiNTF0oLwCA3h,0.792,0.105,9,-21.012,1,0.043,0.86,0.00156,0.102,0.561,102.087,210000
6dWHVJzF6pzgwULTpwbRdi,0.493,0.166,0,-18.856,1,0.0335,0.831,0.507,0.202,0.36,131.924,252120
5UuGNWrCEf2wXozlfjk285,0.517,0.806,2,-4.588,1,0.131,0.187,1.85e-06,0.362,0.748,134.655,176040
3Oi1Dts8T4J1JRJBvWhFi3,0.528,0.413,1,-13.545,0,0.0356,0.79,2.71e-06,0.12,0.544,80.394,245493
4NVOY5SwgU03DwgFYUBw3c,0.712,0.293,2,-11.043,1,0.0294,0.338,0.372,0.0762,0.294,99.048,286587
6ppQ4GJYN9PSp6MJkvkU18,0.617,0.42,4,-9.303,0,0.0365,0.164,0.0436,0.11,0.193,164.535,267920
01DFjwPmuWMORlAtRBeGRo,0.671,0.34,4,-14.194,1,0.0304,0.711,3.58e-06,0.0924,0.271,98.087,291880
5C78WW4b2oOQ1b9GEwRG0I,0.717,0.585,11,-5.674,0,0.0328,0.221,1.43e-06,0.105,0.959,103.39,287133
6OW4NVWtvZlweHvXFnBEiG,0.646,0.746,4,-5.348,1,0.045,0.0149,0.0,0.237,0.812,131.869,288200
6t0nxG8mNAUo9EvBWwZLr3,0.381,0.741,9,-5.33,1,0.0318,0.0173,2.49e-06,0.312,0.358,150.337,339987
0iOSOe377F2X1VUJDxJh0X,0.407,0.436,4,-18.189,1,0.0468,0.224,8.15e-06,0.117,0.326,111.909,227000
