playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,50,spotify,Spotify,302259
79bhheNQ8d4dStZmMTZITC,kung ako mamimili ng soundtrack for every pinoy indie film about unrequited love,68,showerrpowerr,migs,2995
1BbTOiqMH25GvcImiZJOr3,Pinoy indie,52,jmcvq3rgse5awp11lehp87gws,sky,2494
6GsbGMS8XtvChCqeP7gSao,Coming of Age Pinoy Indie Film,14,z9jnead90ofw0ty4iw8111dpr,binibining yena,1974
79OG7felavmRSLh1UpYBSO,Pinoy Indie Faves,487,kneecoaleee,Nicole,1427
1AzsgYSCBxajAzN6ehh4iB,Tagalog OPM Indie songs that make me feel like I'm in a Pinoy indie film,179,12144453799,Isrl,1323
1lPGwNeoeAnHnczT5iEQGT,Pinoy Indie Bands,310,226dgzcdw37p7jnto72iforjy,Clarizza Mae Santos,522
1x75dT8xyJAAiPSotGO2eZ,feeling pinoy indie film,219,22d5ndoednfdorfxia7ibny6i,jin,432
0Zuh6kLz79uGKj1Y6QAZZv,Pinoy Indie Mo!,42,totsandnotions,totsandnotions,233
1XhzWPMwEdGvxgzu3oHhKW,main character sa pinoy indie film,217,pearlangelbano,gel,197
4qUdu8bUKehE1AJmMOy1VR,Pinoy Indie Mo Rin!,41,315vhoxho2dpihls2lqsard4xxam,Rubato Playlists,141
6okYOxYqXDyApNfGxFQxEK,kunwari ikaw ang bida sa isang pinoy indie film,90,31dqxm2uinjjh2734p5ik3bseojm,catrina,85
4Rn21S2YwocTkXvhNoAzb8,Best Pinoy Indie Music 2023,30,31a5dmdgozc4sc4d3pqi4sothpwq,"Puso, Letra, Musika",83
3sEgpIMgn1SgmSxW7LZd8S,Pinoy Indie Folk Pop,148,kamillejasmine,kamillejasmine,69
4cC8n7l4pn1dbJ8mqUCss5,pinoy indie film feels,206,av34syorjsaljh58m7rj500y4,jhai,15
01lnc0al5xSiN40UXaw664,Pinoy Indies,699,hqsois6lqk39chkhx8hujl1oy,J.R.,13
3gHpcpnvuqmgrRVcrlzxWf,Pinoy Indie,419,21xpky3sn7pkdog64pdb25wfi,Gerald Jalbuena,9
4IwgOHhwmFfqPrLNDdfUQN,Pinoy INDIE,56,serve.cdo,serve.cdo,5
6lSHVW76KcbZIELqpbXHke,Ultimate Pinoy Indie Experience,356,bariyan,bariyan,5
3l2l0qJ8AnenCbXyh7rySt,pinoy indie,191,21netwezim35g4go5irtwloii,Jane Pongyan,1
6lAYNJ9HKonY3QOdtkSgpZ,Pinoy Indie 2023,143,12136740098,MoveToTheSouthPH,1
0qlNM01oEXgNXUdHlj42Wt,pinoy indie & alt,246,12141757041,andiedoodles,1
6ygMg4uGarSO4XfhpBUzuL,Pinoy Indie,66,theauxilyari,theauxilyari,1
6PYhIZ1kMueEyTJel9N7CW,pinoy indie,42,31cxhjc6niu5bzrfody5n7f2kqum,amiraa,0
5aQgh8n0iVD4uO60IfxInz,pinoy indie,65,31miijbfkqfqphz6435jsgke5whi,dindinnnnn,0
75u42F63JFjh9QKhvCUPPR,Pinoy Indie,42,12180211953,kenken_,0
5oHPbCEebMgc5nsaoHSZzx,Pinoy Indie,50,31o5vk4knn7ma7gzwgzoandonpvy,Migoy,0
76JwJmrSamW59FvXJsAeR5,Pinoy Indie Band,118,z2a3as3m43bfewwyqtt287hxx,Cboart,0
3tqV3ofalsj86IkDYUvH6k,Pinoy Indie,93,226zpjqfvkzwbmz6wzdgzn7pa,Josh Garduque,0
0CDDjsRJySeTpeXQQY88vV,Pinoy Indie 🇵🇭🎧,25,kutrq1wwesz48td0n7n2bh7f4,Honeybananapie,0
5UfMPnKFcYszRX5Kd9rnk5,Pinoy Indie,112,12170831893,Jenny Lopido Batuhan,0
7yIdEOkQXgX6xnihASqbNl,stuff I found from Pinoy Indie Mix,56,ronelbernabe,ronelbernabe,0
37i9dQZF1EIgHtXdCWv20l,Pinoy Indie Mix,50,spotify,Spotify,0
2zNOmpwhqgIbNvTp81sr4k,pinoy indie ∞,55,31lg4usm4vsqc7ocifql4243q67i,klvrskrtt,0
