name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
I JUST WANT TO KISS YOU NOW,33,259799,5LXtfG0XvhHRTEuDIHwlic,15yoZTF21mcoOnY2qsFlOP,Aly Remulla,1,1cu62EgLqxSpDOw3nKGMhk,2023-10-13,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Panahon,56,256678,7Gl40zLvOcPveQu44Zf6pL,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,1,7hGfFOoXeTlesayHsQv97C,2023-09-29,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Gabi (feat. Zild),59,317975,36ZYaW5Dj7loKsyyHehpCr,"['0a4r2EnsevvHCukoJ1xFwJ', '7BxbcnOfx5r4d53UQl2I1s']","['juan karlos', 'Zild']",2,6nNyCE9v0ZLYYLnCtjY0E1,2023-07-07,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Sunday Morning,53,224000,4C9bX6MwR0JBYDGK4JXhbB,"['7aerdWadzubpu06Oxysg6R', '6fc4La0O0xzu4tZIE0tSsQ']","['Paolo Sandejas', 'Ysanygo']",2,5BApQ2E2DhSsntBBrb7zSG,2023-09-29,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Dance Like You,39,233000,6i3YUrKwblwZ2lmeJSzJj6,6zJwFsIO19JxvxUAveVAFa,Benj Pangilinan,1,4sm3BFmwbB0TvmD3HiQHJp,2023-10-11,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Roses,37,182590,3tWNpUIONNXnubu8Zmg74K,2QZgUdDucCesAV9xVpZHyI,Sansette,1,4epwLmoCHvomYsTwtAPvfN,2023-09-01,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
ANXIOUS HEART,53,206351,5XPsSVX2R3enPamRURMq3W,6buyTec2V7K6LVmL74MLl2,geiko,1,0jIUaKjd0A3WSKSNWJZjRZ,2023-09-29,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Superhuman,51,255389,1HeGR9Pi3TCVDl4jrHZv2j,"['7CRciD57UzAgDaHo8CfJWd', '2R7aG4RRGoFpgMAf8Iuz4T']","['Rees Gonzales', 'Doughbaby']",2,1zLtYbdACs3Y823URmquVY,2023-09-28,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
711,69,222000,2ONW0ksoUixoxT7gfI9hWX,2KdFoq4IBXMzfia4ZCLDIs,TONEEJAY,1,3rr7vncuxv64AzY98YwPIL,2023-09-08,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
North Star,26,225473,4zd6nKsF7gDSEUeluTiIgt,7KWLSIR8jCVAj9Gvhndhgm,lxni,1,0IIo23clF6gI3MYNAyQqQv,2023-09-28,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
