track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
5LXtfG0XvhHRTEuDIHwlic,0.447,0.515,2,-8.139,1,0.0329,0.582,0.0243,0.0864,0.24,99.955,I JUST WANT TO KISS YOU NOW,33,259799,15yoZTF21mcoOnY2qsFlOP,Aly Remulla,1,1cu62EgLqxSpDOw3nKGMhk,2023-10-13,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,4.329983333333334,pinoy indie
7Gl40zLvOcPveQu44Zf6pL,0.615,0.441,3,-9.356,1,0.0245,0.573,0.711,0.119,0.134,130.097,Panahon,56,256678,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,1,7hGfFOoXeTlesayHsQv97C,2023-09-29,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,4.277966666666667,pinoy indie
36ZYaW5Dj7loKsyyHehpCr,0.437,0.451,7,-12.281,1,0.0399,0.955,0.00234,0.352,0.28,84.805,Gabi (feat. Zild),59,317975,"['0a4r2EnsevvHCukoJ1xFwJ', '7BxbcnOfx5r4d53UQl2I1s']","['juan karlos', 'Zild']",2,6nNyCE9v0ZLYYLnCtjY0E1,2023-07-07,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,5.2995833333333335,pinoy indie
4C9bX6MwR0JBYDGK4JXhbB,0.698,0.519,8,-5.329,1,0.194,0.261,0.000337,0.104,0.682,160.042,Sunday Morning,53,224000,"['7aerdWadzubpu06Oxysg6R', '6fc4La0O0xzu4tZIE0tSsQ']","['Paolo Sandejas', 'Ysanygo']",2,5BApQ2E2DhSsntBBrb7zSG,2023-09-29,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,3.7333333333333334,pinoy indie
6i3YUrKwblwZ2lmeJSzJj6,0.611,0.726,3,-8.598,1,0.0296,0.245,0.000741,0.372,0.646,109.985,Dance Like You,39,233000,6zJwFsIO19JxvxUAveVAFa,Benj Pangilinan,1,4sm3BFmwbB0TvmD3HiQHJp,2023-10-11,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,3.8833333333333333,pinoy indie
3tWNpUIONNXnubu8Zmg74K,0.75,0.742,7,-5.552,1,0.034,0.0441,0.113,0.228,0.773,119.0,Roses,37,182590,2QZgUdDucCesAV9xVpZHyI,Sansette,1,4epwLmoCHvomYsTwtAPvfN,2023-09-01,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,3.0431666666666666,pinoy indie
5XPsSVX2R3enPamRURMq3W,0.616,0.571,3,-7.352,1,0.0528,0.452,3.75e-05,0.0838,0.257,147.84,ANXIOUS HEART,53,206351,6buyTec2V7K6LVmL74MLl2,geiko,1,0jIUaKjd0A3WSKSNWJZjRZ,2023-09-29,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,3.4391833333333333,pinoy indie
1HeGR9Pi3TCVDl4jrHZv2j,0.808,0.771,10,-4.414,1,0.0334,0.235,0.000233,0.193,0.968,116.986,Superhuman,51,255389,"['7CRciD57UzAgDaHo8CfJWd', '2R7aG4RRGoFpgMAf8Iuz4T']","['Rees Gonzales', 'Doughbaby']",2,1zLtYbdACs3Y823URmquVY,2023-09-28,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,4.256483333333334,pinoy indie
2ONW0ksoUixoxT7gfI9hWX,0.377,0.716,9,-5.278,1,0.0357,0.14,0.00195,0.182,0.336,179.632,711,69,222000,2KdFoq4IBXMzfia4ZCLDIs,TONEEJAY,1,3rr7vncuxv64AzY98YwPIL,2023-09-08,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,3.7,pinoy indie
4zd6nKsF7gDSEUeluTiIgt,0.476,0.403,4,-11.339,1,0.0423,0.281,1.97e-05,0.112,0.178,95.108,North Star,26,225473,7KWLSIR8jCVAj9Gvhndhgm,lxni,1,0IIo23clF6gI3MYNAyQqQv,2023-09-28,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,3.7578833333333335,pinoy indie
3VW912q9u9F72sjW2sEc6S,0.635,0.795,2,-3.379,1,0.0272,0.0781,1.8e-05,0.329,0.526,89.978,Bukas,26,277368,08NgBg4Ft0hV7lYPH8MEjl,Criminal Cinema,1,7BAbxSZhRVVF6TRCFQ1JO5,2020-11-20,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,4.6228,pinoy indie
3CR1mWThIKsALVzoSOBo9V,0.457,0.903,8,-4.265,1,0.0917,0.0965,0.0,0.449,0.593,184.056,WHERE IS THE L?E,23,169570,73s6RRWrA8DakmvmS4o8ae,Franciskoe,1,1gn16qBOLYLe0mmtBc3tU8,2023-06-16,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,2.8261666666666665,pinoy indie
