track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5LXtfG0XvhHRTEuDIHwlic,0.447,0.515,2,-8.139,1,0.0329,0.582,0.0243,0.0864,0.24,99.955,259800
7Gl40zLvOcPveQu44Zf6pL,0.615,0.441,3,-9.356,1,0.0245,0.573,0.711,0.119,0.134,130.097,256679
36ZYaW5Dj7loKsyyHehpCr,0.437,0.451,7,-12.281,1,0.0399,0.955,0.00234,0.352,0.28,84.805,317975
4C9bX6MwR0JBYDGK4JXhbB,0.698,0.519,8,-5.329,1,0.194,0.261,0.000337,0.104,0.682,160.042,224000
6i3YUrKwblwZ2lmeJSzJj6,0.611,0.726,3,-8.598,1,0.0296,0.245,0.000741,0.372,0.646,109.985,233000
3tWNpUIONNXnubu8Zmg74K,0.75,0.742,7,-5.552,1,0.034,0.0441,0.113,0.228,0.773,119.0,182590
5XPsSVX2R3enPamRURMq3W,0.616,0.571,3,-7.352,1,0.0528,0.452,3.75e-05,0.0838,0.257,147.84,206351
1HeGR9Pi3TCVDl4jrHZv2j,0.808,0.771,10,-4.414,1,0.0334,0.235,0.000233,0.193,0.968,116.986,255390
2ONW0ksoUixoxT7gfI9hWX,0.377,0.716,9,-5.278,1,0.0357,0.14,0.00195,0.182,0.336,179.632,222000
4zd6nKsF7gDSEUeluTiIgt,0.476,0.403,4,-11.339,1,0.0423,0.281,1.97e-05,0.112,0.178,95.108,225474
3VW912q9u9F72sjW2sEc6S,0.635,0.795,2,-3.379,1,0.0272,0.0781,1.8e-05,0.329,0.526,89.978,277368
3CR1mWThIKsALVzoSOBo9V,0.457,0.903,8,-4.265,1,0.0917,0.0965,0.0,0.449,0.593,184.056,169570
0ICei6ceMmzZfazpviavbn,0.676,0.658,6,-7.515,0,0.0313,0.381,0.0093,0.274,0.63,119.99,228626
5qCbzsd69aS34UN3WcxzZU,0.792,0.579,3,-5.635,1,0.0328,0.144,6.98e-05,0.0999,0.668,111.988,222000
2zsztxFWctyvSj9H25ikDz,0.455,0.72,11,-7.043,1,0.0411,0.501,4.71e-06,0.129,0.582,150.005,307969
0J6a5fxArviWOiTBousbNO,0.516,0.583,2,-8.616,1,0.0331,0.617,0.00107,0.114,0.312,86.949,345345
0QBPWTTVyV3VclqALtmLWv,0.641,0.673,2,-8.346,1,0.0248,0.264,0.101,0.123,0.328,96.01,265182
0QgdA3QMsbzQ6njndTb4kh,0.68,0.79,9,-5.956,1,0.032,0.0685,0.00946,0.422,0.578,99.943,220200
1Er4vI9EaYyIJYawP3NIwn,0.623,0.476,4,-8.76,1,0.057,0.261,0.0,0.145,0.436,173.662,184375
5fMToMVlBhYxO9vYeHgrkD,0.67,0.683,3,-7.701,0,0.0295,0.0216,0.788,0.107,0.477,130.037,169913
0JVoL1GUqqc4UJeUXEYeMw,0.377,0.407,5,-7.306,1,0.0301,0.0232,0.803,0.363,0.0704,114.976,265043
6AwEWeF4oHJJiAaQAZcYsl,0.665,0.522,6,-5.635,1,0.044,0.116,3.19e-05,0.0878,0.518,91.921,285163
6ZdBAy2SQtDt9oHH9bfGrx,0.563,0.667,9,-5.296,1,0.044,0.0116,0.0027,0.218,0.541,180.052,209833
4RuwsMJHRsB4gIzLBnnjqo,0.734,0.686,9,-7.232,1,0.0404,0.0205,9.31e-06,0.0633,0.793,97.035,212854
7Cey4kxrNuZfFz07mFsPPE,0.692,0.398,7,-14.792,1,0.0767,0.425,0.00187,0.0999,0.254,160.051,180000
53VWrgqxMeyLvzRaPZH89K,0.612,0.418,11,-12.128,1,0.0326,0.788,2.48e-06,0.0761,0.797,142.077,144489
2TM786ycFGiO0e2CW5f9uK,0.459,0.46,4,-7.705,1,0.0477,0.529,0.000911,0.3,0.353,179.945,269292
6CyRHuzI8LcX1qtWtHaUPM,0.723,0.702,2,-3.961,1,0.0339,0.137,0.0,0.13,0.664,119.793,175589
3wIql1xTfBwTeaRQfuK5cL,0.697,0.456,11,-10.091,0,0.0527,0.114,0.000557,0.175,0.54,92.014,193195
0Hyem1EubuGA0g4c6yLAD3,0.724,0.229,4,-15.459,1,0.0365,0.367,0.796,0.128,0.601,111.952,234799
7eUOsa6RfxYWV34ey5U2HI,0.675,0.869,5,-7.814,1,0.0419,0.00872,0.000455,0.0873,0.873,160.055,210004
37fxTC4k42nkHJep3R6lVr,0.784,0.608,6,-7.75,0,0.0369,0.0767,0.0,0.112,0.961,117.988,199122
2Jh7V0RVCWuPLTTPuS7NRO,0.7,0.38,2,-8.677,1,0.0278,0.804,0.00125,0.0756,0.24,115.006,404870
