playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
5QGdmXrLsLHhHK5LOAmmft,Pinoy Rock 90's - 2000's,265,allenryanb.jose,Allen Ryan Jose,25283
5MONZoSUSHQmBccyJJGKeI,"PINOY ROCK 70""s,80""s",72,22vtfmdnsbtpokgxbozc6brni,Aurelio Tarzona,4996
7BnXbt5rDr3J9IWO80eS6s,"manila sound, opm, pinoy rock",227,12145807231,Noel de Mesa,4628
6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,310,sag66rebwusx5tnz89zw35kpy,ITOY,3605
3cczfq0r4dBa5KyRWmvvtt,"Sa Wakas, A Pinoy Rock Musical",20,sbtwlpzy7uo4ppuuo56s3t6io,Sa Wakas Musical,2789
33yDSWdnKvLOynSvDFaqSa,Best of Pinoy Rock Band,48,regorlairepmi,regorlairepmi,2235
5wsGl2zVkDA3cqIFiHGwgL,"April Boys, Aegis & Pinoy Rock Love Songs",82,r5r1n7agxh7xgmig90t8ze3cm,James Sr,1746
2Mm6vIQwi11WgoST4HNFoX,90's pinoy rock songs,91,jepelangit,jepelangit,1686
0T58qU7xXfIrKu38YgM6L4,Pinoy Rock 2023 🎸,89,jyhra99st5nhex8kfo4um2dh7,buntala,1269
1r0bV7IZIEryhWbjBaYOHk,Pinoy Rock 80's,146,milo.remudaro,milo.remudaro,1019
3wippyjmi087Aw5DzHDvHa,Pinoy Rock,269,jgkgt8gcnd15wnnjm9ijb530l,JayVill,942
62UtRy9iIZ8u2BszMS3rcT,Best Pinoy Rock Music,40,djmaxz,JP De Leon,746
229o42laTHfI6II3QJuTRe,PINOY ROCK CLASSICS,40,erwincatacutan,erwincatacutan,657
6fpUP9Sydue172zINn1y9U,LAKLAK PINOY ROCK,21,gdgarcila,gdgarcila,625
6ZwEsRCPA9Q6o8IrEur8Je,Pinoy rock 90's,263,thoyskie,thoyskie,539
4PTXeUayOc8p5FpW0ztX6H,2000s Pinoy Rock,70,22uflwyyodec2qhlgw253gb3y,Patricia Pineda,527
0TdpKInEMv59MQTIRqb3dL,Pinoy Rock/Folk Songs 70's 80's 90's,206,deaxyz,Andrea Joyce Angeles,524
0W2RVEPoaZdc12MhFkul4R,90s Pinoy Rock Band Best of the Best,39,12171760485,Jec Cruz,366
0yJjGxCp7ZlaxXLz9PSUrb,Pinoy Rock Metal Alternative,205,ferbongsjr,ferbongs,335
6c9O07TX0SqAFkOb2kU2gh,NU 107 All Pinoy Rock,133,22y33rmm3ck3kxmjljufqbsly,Dennis Christian Redado,163
0f0PpKaQG2xToS8wH8yh3u,Pinoy Rock Acoustic ,74,rakistaradio,RAKISTA,153
1TlexC4oYsIpQA4kn61a9j,Pinoy rock/rap metal,128,22petpwknekrqvlljnn6dqfki,Mykel Dan,145
6c07L6KoQ94x2Gac7ibfTv,Pinoy Rock Hits,109,12167266595,Ey Emm DeeAr,139
2mqSP2ImFnOdOl3kEWpyNa,Best of Pinoy Rock 70's,35,christophermuyot,christophermuyot,128
0iLKDCj8iRiFIdF6bMcJ5w,Pinoy Rock Ballads,24,navarro.kristoffer,Skinhead,127
1YUsKztT9Xaz6xoU0744ER,PINOY ROCK AND ROLL,62,31p42axp7jqm3st47nu7hwxomunu,Doming,61
2hc0mJPBC3t1F3GrvSZYXD,Accoustic alternative pinoy rock,66,pt1prnb9l7xqhd40b8tdtnp0j,Yamtot,34
0g6Sl0GbYc12BToWyAbW3l,Pinoy Rock classic 70s,39,pyvugziqubmnt6r6jxm5tfckw,john,32
37i9dQZF1EIdJA6R2iOqpS,Pinoy Rock Mix,50,spotify,Spotify,0
