track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
0u9ipwV0GrYVb2yREt3A51,0.295,0.867,4,-4.718,1,0.0653,0.0291,0.0,0.195,0.563,163.164,Superhero,2,206158,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,1,1daVJkSjmO83J9zPY6O4OG,2003-01-01,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,3.435966666666667,pinoy rock
1yLFnEUfKDGCDeXcp1nIem,0.685,0.555,9,-6.988,1,0.0259,0.0621,0.0,0.157,0.332,105.042,Magpakailanman,58,326120,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,1,2Mng4RzoMnhpQcVo7TFkNy,2005-05-11,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,5.435333333333333,pinoy rock
2MFGYeYuRwzSeYg1eEzgXW,0.51,0.721,2,-5.761,1,0.0564,0.211,1.05e-06,0.0982,0.566,78.414,Deadma - Version 1,54,229533,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,1,2Mng4RzoMnhpQcVo7TFkNy,2005-05-11,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,3.82555,pinoy rock
2ujsiMAISzHLgkSMv4OG4x,0.678,0.785,9,-6.331,1,0.042,0.0816,0.0,0.308,0.826,125.08,No Label,28,249266,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,1,3H6ZPfCNbawNVtqOcgndjy,2019-03-06,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,4.154433333333333,pinoy rock
6urc3cyjdF95Ip04L0rDDE,0.377,0.749,0,-4.465,1,0.0458,0.173,0.0,0.123,0.521,160.612,Sige,56,313613,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1,4JfQfFmSQgbEOscuEdh2QB,2003-11-18,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,5.226883333333333,pinoy rock
1JC4niMbshPlor1BPagn2L,0.582,0.492,3,-7.448,1,0.0248,0.581,1.48e-06,0.137,0.429,76.251,Upside Down,62,324693,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1,1Im5BTDBghgM0NG75SaiC3,2007-01-15,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,5.41155,pinoy rock
0oSpCoA0I9wg2UAKT4XGTX,0.484,0.839,1,-5.509,1,0.0315,0.104,0.0,0.114,0.784,139.952,Sandalan,61,236106,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1,0YydJV3mc5KkCZhqnSvzjO,2005-10-17,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,3.9351,pinoy rock
2RtdtmEvssq6bEJQtuJabt,0.323,0.676,7,-5.136,1,0.034,0.157,1.58e-05,0.113,0.199,108.778,Biglaan,49,286853,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1,4JfQfFmSQgbEOscuEdh2QB,2003-11-18,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,4.780883333333334,pinoy rock
632JUvf30LG7QyNGq9CLGr,0.689,0.745,2,-3.955,1,0.0293,0.022,0.0,0.0633,0.497,124.961,Hey Daydreamer,44,223386,6yk6AUYniuCmUkf7D63AUW,Somedaydream,1,5QR896eLExDzXem0i8N0CG,2011-01-01,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,3.7231,pinoy rock
0HZ3OUVrGHxttD2EuHqRm3,0.558,0.553,4,-6.669,1,0.0323,0.492,0.0,0.116,0.251,134.263,The Day You Said Goodnight,3,291357,6Ww3OMFzCaO33ulKh1LBFN,Hale,1,472GgeFZaCdRLcL3cT0IAn,2005-01-01,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,4.85595,pinoy rock
