track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0u9ipwV0GrYVb2yREt3A51,0.295,0.867,4,-4.718,1,0.0653,0.0291,0.0,0.195,0.563,163.164,206158
1yLFnEUfKDGCDeXcp1nIem,0.685,0.555,9,-6.988,1,0.0259,0.0621,0.0,0.157,0.332,105.042,326120
2MFGYeYuRwzSeYg1eEzgXW,0.51,0.721,2,-5.761,1,0.0564,0.211,1.05e-06,0.0982,0.566,78.414,229533
2ujsiMAISzHLgkSMv4OG4x,0.678,0.785,9,-6.331,1,0.042,0.0816,0.0,0.308,0.826,125.08,249266
6urc3cyjdF95Ip04L0rDDE,0.377,0.749,0,-4.465,1,0.0458,0.173,0.0,0.123,0.521,160.612,313613
1JC4niMbshPlor1BPagn2L,0.582,0.492,3,-7.448,1,0.0248,0.581,1.48e-06,0.137,0.429,76.251,324693
0oSpCoA0I9wg2UAKT4XGTX,0.484,0.839,1,-5.509,1,0.0315,0.104,0.0,0.114,0.784,139.952,236107
2RtdtmEvssq6bEJQtuJabt,0.323,0.676,7,-5.136,1,0.034,0.157,1.58e-05,0.113,0.199,108.778,286853
632JUvf30LG7QyNGq9CLGr,0.689,0.745,2,-3.955,1,0.0293,0.022,0.0,0.0633,0.497,124.961,223387
0HZ3OUVrGHxttD2EuHqRm3,0.558,0.553,4,-6.669,1,0.0323,0.492,0.0,0.116,0.251,134.263,291358
2VNjWwKlOWU5qqKa5EquLW,0.393,0.797,4,-5.736,1,0.0434,0.276,0.000299,0.162,0.575,148.328,235952
5fJHoiDbRO8f7wkGL0kotY,0.617,0.531,7,-10.1,1,0.0284,0.211,0.0,0.0874,0.647,91.068,154709
1F9SIR4geHCMuZcdkRzvPz,0.446,0.739,2,-5.803,1,0.0367,0.449,0.0,0.52,0.27,85.344,322933
4e0rMS4w6Ssim4K4W11J8I,0.821,0.186,11,-14.572,0,0.0598,0.663,0.0,0.0513,0.486,113.096,193507
1CCXbOX4HG7lY1U4f2JZdb,0.489,0.75,6,-2.365,1,0.0564,0.157,0.0,0.0844,0.498,164.089,259507
4z2geuRPJJBlJ4V8C9NgZx,0.539,0.722,7,-2.374,1,0.0271,0.319,1.87e-06,0.244,0.384,139.733,234813
7K6eh0AbHofKGzQ0qr4iUN,0.538,0.423,11,-9.764,1,0.0732,0.348,0.0,0.0731,0.505,170.053,246880
2PO6blDCnOFWxudKu0XnmV,0.517,0.468,4,-6.582,1,0.0345,0.702,0.0,0.152,0.266,121.284,260599
6mQzZ2aRnKSNgckAehBgwD,0.539,0.693,7,-3.967,1,0.0265,0.517,4.59e-06,0.112,0.472,84.954,364107
4Yp8lnGcIde2SWAqrMM3v9,0.699,0.655,7,-5.179,1,0.0412,0.419,0.0,0.449,0.919,128.644,183760
4B3UHhdjB6dkOtjalFQREm,0.505,0.836,2,-6.197,1,0.0389,0.00963,0.0,0.161,0.684,146.108,279280
