name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Himig Ng Pag-ibig,0,252666,5EgngzuJduPmnkzL2Wee9I,5pbdyhkEpMobD6Fs6h729Q,Asin,1,1DLHuML1V6afbdpzvR0Thb,1994-10-15,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS
Usok,0,212000,4cMyUEtIfRUzX1RElpcYT4,6cRh97Hovf2ICmHIvYyS1O,Lolita & The Boys,1,5U7JZBUBd2bdCVMDrMXa5g,2004-01-15,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS
Balita,0,240000,3XWG4DygJPl4mJbTUyySeU,5pbdyhkEpMobD6Fs6h729Q,Asin,1,1DLHuML1V6afbdpzvR0Thb,1994-10-15,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS
Laguna,0,324053,4nHaxoW9jK2BqJw8Wk2hfB,1KoRj2ZFjBc0xgcgMNBMIX,Sampaguita,1,1g2pUltqSsj3je6Zikd058,2010-09-08,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS
Himig Natin,0,337173,21yhd9HMRqpv02VvlTlUp3,6oDv9jvnizh7RgEHbOwxLK,Juan Dela Cruz Band,1,6FCC2Aocqfp2LaGdE92IuM,2008-03-07,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS
Kumusta Na,37,210426,1aCAcKrJeK0NKjsdqfkwk0,0Ye2PrcotA6HHlA85yzAJB,Yano,1,3e83UP6mfbK8JSwpowvKWu,2001-11-26,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS
Kisapmata,66,280946,4N0XG7hGoVnUKI2kuRGN1u,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,1,65GkUxR6lYlCiYP4mqyZl1,2001,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS
Manila,0,184146,0pobQmvHou3syiOi6DRqiC,4sEykiNSzZbkFkNXTb1bVd,Hotdog,1,6KnvLQbkDLy4ZEpt8ONWYR,2008-06-18,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS
"Awitin Mo, Isasayaw Ko",0,277706,5kqM2lbiX2slirLnrDSdCt,1JygQfeB7OmzophGsgNwSb,VST & Company,1,6VpKKzwkXVe9gg4YbmdqCQ,2009-03-25,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS
Itanong Mo Sa Mga Bata,0,205000,6cxcKJrrBPCv4sc9Z6eYXd,5pbdyhkEpMobD6Fs6h729Q,Asin,1,0Ygw8WhKr4ldBXR5kIYbyh,1994-10-15,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS
