track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
5EgngzuJduPmnkzL2Wee9I,0.51,0.227,0,-15.854,1,0.0314,0.831,0.388,0.144,0.347,131.943,Himig Ng Pag-ibig,0,252666,5pbdyhkEpMobD6Fs6h729Q,Asin,1,1DLHuML1V6afbdpzvR0Thb,1994-10-15,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,4.2111,pinoy folk
4cMyUEtIfRUzX1RElpcYT4,0.752,0.527,5,-15.216,1,0.0567,0.441,0.00146,0.0753,0.954,147.029,Usok,0,212000,6cRh97Hovf2ICmHIvYyS1O,Lolita & The Boys,1,5U7JZBUBd2bdCVMDrMXa5g,2004-01-15,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,3.533333333333333,pinoy folk
3XWG4DygJPl4mJbTUyySeU,0.645,0.252,3,-14.338,0,0.0462,0.884,0.0,0.181,0.411,84.917,Balita,0,240000,5pbdyhkEpMobD6Fs6h729Q,Asin,1,1DLHuML1V6afbdpzvR0Thb,1994-10-15,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,4.0,pinoy folk
4nHaxoW9jK2BqJw8Wk2hfB,0.41,0.693,4,-10.69,1,0.0969,0.214,1.22e-05,0.14,0.674,141.092,Laguna,0,324053,1KoRj2ZFjBc0xgcgMNBMIX,Sampaguita,1,1g2pUltqSsj3je6Zikd058,2010-09-08,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,5.400883333333334,pinoy folk
21yhd9HMRqpv02VvlTlUp3,0.44,0.205,4,-15.288,1,0.0324,0.902,0.598,0.114,0.283,124.812,Himig Natin,0,337173,6oDv9jvnizh7RgEHbOwxLK,Juan Dela Cruz Band,1,6FCC2Aocqfp2LaGdE92IuM,2008-03-07,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,5.61955,pinoy folk
1aCAcKrJeK0NKjsdqfkwk0,0.857,0.425,9,-9.486,1,0.0343,0.794,1.35e-05,0.14,0.787,112.516,Kumusta Na,37,210426,0Ye2PrcotA6HHlA85yzAJB,Yano,1,3e83UP6mfbK8JSwpowvKWu,2001-11-26,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,3.5071,pinoy folk
4N0XG7hGoVnUKI2kuRGN1u,0.432,0.563,2,-8.807,1,0.0309,0.0877,0.000355,0.294,0.397,136.172,Kisapmata,66,280946,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,1,65GkUxR6lYlCiYP4mqyZl1,2001,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,4.682433333333333,pinoy folk
0pobQmvHou3syiOi6DRqiC,0.801,0.538,5,-9.578,1,0.131,0.285,3.16e-06,0.112,0.46,115.942,Manila,0,184146,4sEykiNSzZbkFkNXTb1bVd,Hotdog,1,6KnvLQbkDLy4ZEpt8ONWYR,2008-06-18,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,3.0691,pinoy folk
5kqM2lbiX2slirLnrDSdCt,0.566,0.871,6,-7.151,0,0.0466,0.15,0.000216,0.37,0.799,128.185,"Awitin Mo, Isasayaw Ko",0,277706,1JygQfeB7OmzophGsgNwSb,VST & Company,1,6VpKKzwkXVe9gg4YbmdqCQ,2009-03-25,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,4.628433333333334,pinoy folk
6cxcKJrrBPCv4sc9Z6eYXd,0.432,0.318,1,-12.559,1,0.0617,0.783,0.0,0.155,0.398,134.628,Itanong Mo Sa Mga Bata,0,205000,5pbdyhkEpMobD6Fs6h729Q,Asin,1,0Ygw8WhKr4ldBXR5kIYbyh,1994-10-15,32hdVqBoRfDIIWlg8WOfha,PINOY FOLK & COUNTRY SONGS,3.4166666666666665,pinoy folk
