playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy,51,spotify,Spotify,1853001
37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,75,spotify,Spotify,724961
37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,50,spotify,Spotify,302300
37i9dQZF1DX7JQSRbPlmZT,Pinoy Covers,50,spotify,Spotify,298456
37i9dQZF1DWU0rV6Im72pA,Paskong Pinoy,117,spotify,Spotify,279786
37i9dQZF1DWZpPC3clG38j,Pinoy Reggae,33,spotify,Spotify,264555
6ZCxh3XHVZMfKgh3OiNmtI,Pinoy Rap 2023 👑,190,jyhra99st5nhex8kfo4um2dh7,buntala,57864
4lenE5ioOSXP3v0btnWyFn,Pinoy-Inuman playlist,303,223qdhhvmjwbtsb2utmqqjk6q,Rob,50361
1yqb4DSkbCbHG2jynhlEVb,PINOY HITS 2024,219,server4444,AB Productions,37504
5QGdmXrLsLHhHK5LOAmmft,Pinoy Rock 90's - 2000's,265,allenryanb.jose,Allen Ryan Jose,25289
3Zn7Yyox8Im00QULGZBaSB,CHRISTMAS PINOY FAVE SONGS,119,jpcarino6490,John Paulo Cariño,24840
7LMIiIo6Lmyb2NpgivrzBY,PINOY RAP 2023,238,12144462149,Jake Montibon,23828
1DPCU9lRJLtFTScSm9TgXw,Pinoy Hugot Songs 2023 😭,107,jyhra99st5nhex8kfo4um2dh7,buntala,23288
0l3xByPNbH4OWKohjLe7Cb,Pinoy Love Songs 2023 ❤,159,jyhra99st5nhex8kfo4um2dh7,buntala,23104
2epQWO2NEzWseWBO2kjKvA,PINOY REGGAE 2023,32,bp8gt88korev8i636lbfc6n23,IZZIY,15929
6U7YO8vcmQZMaNkJstmEbV,Pinoy Bands 2000 to 2010 ,120,21bgyvf47mr3ldg7hmyseenwq,Raymil Cupla Arao,14344
30hbGXFiw5VHLvLU4eEWbH,Pinoy Bands 90s-00s,58,12164446300,LJ Tim,12012
46WxlJf2xAQqxlULx6s6AZ,Pinoy Videoke Favorites,218,jasshymay,Jasshy May Bautista-Calapis,11525
7k9PaZO3HthSwuKLA7cFop,Pinoy Rnb 2023 💜,108,jyhra99st5nhex8kfo4um2dh7,buntala,10359
54AnWifFJbMOeFhqUdm9Xw,Pinoy alternative/rock /90's/2000s,78,12167396932,MaryZxshel Lector,9871
1y9aFeoDsM894fwWm83dd0,Pinoy Cover Songs 2023 🌺,105,jyhra99st5nhex8kfo4um2dh7,buntala,8155
0vL9sKwxVa3OKe8Wkvfzwo,Pinoy Pop Hits 2023 🌟,203,jyhra99st5nhex8kfo4um2dh7,buntala,7649
7cD9QNSmeJDOw3PtuptTPL,PINOY REGGAE CLASSIC,52,bp8gt88korev8i636lbfc6n23,IZZIY,7485
5WWJE6626FMYLstTHiqnYb,Pinoy Christmas Songs,19,nlin3h7hpgx2cu7cdxo6qhjgh,peachpinkrose,7227
42BOZvYmYbR1cC8FZ7QaUw,Pinoy Rap 2019-2023,147,j63jixqykoicon11dz31r001r,peppy,7169
0m1HEeDSJRDfumSuE2F2TE,PINOY RAP (OLD SKOOL),52,taverajustine,Brenda Mari3,6992
3a3yVXyKwItS0dcERVp2RQ,Pinoy love song 90s/ 2000s,76,12167396932,MaryZxshel Lector,6920
0okZTy7Cyqek26yy7VMuFI,Paskong Pinoy Christmas Songs,24,7akmmrbptr45dxzfnloyhaxit,Ghepoi,6765
6Bo7jDoZ2vM0U6BBY7NraT,Pinoy Acoustic Covers,98,cdvfcaulrvfdqgpqs0hpnyvs0,John,6363
2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,198,12138473930,Jadeberry Perez,5880
1eY4uFpS1BOKGVyLs7uJQ5,🇵🇭 PINOY SUNDAY RADIO PLAYLIST 📻 ALL TIME FAVORITE 📀 SUNDAY'S BEST 🤍,180,fyzrf66t4jun2894lv6ej5aca,ms.slaygittarius,5867
3nauLvWKuClOTQT22jNpoA,Panaginip – Crazy As Pinoy,13,jereuwel17,jereuwel17,5420
17ITmIvxgzN6ROUIxBLlOs,Trending Pinoy Rap 2023,116,89zgxi3vlzdneiayme5kdm3o6,Best of OPM,5102
3puEaZ8HmeNn2koGNzDFFW,Pinoy Dance Hits 2023 💃,61,jyhra99st5nhex8kfo4um2dh7,buntala,5055
5MONZoSUSHQmBccyJJGKeI,"PINOY ROCK 70""s,80""s",72,22vtfmdnsbtpokgxbozc6brni,Aurelio Tarzona,5000
2neVdvh8glAB6e1NT6x4Bw,pinoy drill🟦🟥,45,ltu372zcjgd0qkiggw1p8xgoo,adreyelll,4590
6GwkbgqM0Aln5101ots0tk,Pinoy Top Hits 2023,108,jyhra99st5nhex8kfo4um2dh7,buntala,3790
7IzrTdUuisg4cOBqxHzX6Q,Pinoy Rap Music Collective 2023,159,89zgxi3vlzdneiayme5kdm3o6,Best of OPM,3714
6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,310,sag66rebwusx5tnz89zw35kpy,ITOY,3614
1HQRl9nD1NHRlsWfvyoPIV,pinoy opm oldies but goodies,82,225iejk5m4fko3ufg3pvfqkoy,Ecka Joy Limoneras,3340
2GZHLPCLnzNFBmiYoOe73c,BOSSA NOVA PINOY,39,226dbj6wdy2bfkngjxpvgsbhi,Marty Eliry Cruz,3200
