name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
As It Was,95,167303,4Dvkj6JhhA12EX05fT7y2e,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1,5r36AJ6VOJtp00oxSkBZ5h,2022-05-20,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Starboy,94,230453,7MXVkk9YMctZqd1Srtv4MB,"['1Xyo4u8uXC1ZmMpatF05PJ', '4tZwfgrHOc3mvqYlEYSvVi']","['The Weeknd', 'Daft Punk']",2,2ODvWsOgouMbaA5xf0RkJe,2016-11-25,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Thinking out Loud,67,281560,1Slwb6dOYkBlWal1PGtnNg,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1,6NoBzYmh5gUusGPCfg0pct,2013,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Sweater Weather,93,240400,2QjOHCTQ1Jl3zawyYOpxh6,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,1,4xkM0BwLM9H2IUcbYzpcBI,2013-04-19,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Another Love,92,244360,3JvKfv6T31zO0ini8iNItO,2txHhyCwHjUEpJjWrEyqyX,Tom Odell,1,0Gf1yE895FKK4YWVRuAeg8,2013-06-24,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Yellow,92,266773,3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,1,6ZG5lRT77aJ3btmArcykra,2000-07-10,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Locked out of Heaven,91,233478,3w3y8KPTfNeOKPiqUTakBh,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,1,58ufpQsJ1DS5kq4hhzQDiI,2012-12-07,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
lovely (with Khalid),91,200185,0u2P5u6lvoDfwTYjAADbn4,"['6qqNVTkY8uBg9cP3Jd7DAH', '6LuN9FCkKOj5PcnpouEgny']","['Billie Eilish', 'Khalid']",2,2sBB17RXTamvj7Ncps15AK,2018-04-19,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Someone You Loved,91,182160,7qEHsqek33rTcFNT9PFqLf,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,1,5658aM19fA3JVwTK6eQX70,2019-05-17,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Blinding Lights,92,200040,0VjIjW4GlUZAMYd2vXMi3b,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,1,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Everybody Wants To Rule The World,90,251488,4RvWPyQ5RL0ao9LPZeSouE,4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,1,3myPwaMYjdwhtq0nFgeG6W,1985-02-25,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Perfect,90,263400,0tgVpDi06FyKpA1z0VMD4v,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1,3T4tUhGYeRNVUGevb0wThu,2017-03-03,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Every Breath You Take,90,253920,1JSTJqkT5qHq8MDJnJbRE1,5NGO30tJxFlKixkPSgXcFE,The Police,1,5W9OT0a5iZlBr83a9WMKFY,1983-06-17,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Creep,89,238640,70LcF31zb1H0PyJoS1Sx1r,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,1,3gBVdu4a1MMJVMy6vwPEb8,1993-02-22,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
When I Was Your Man,90,213826,0nJW01T7XtvILxQgC5J7Wh,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,1,58ufpQsJ1DS5kq4hhzQDiI,2012-12-07,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Watermelon Sugar,89,174000,6UelLqGlWMcVH1E5c4H7lY,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Circles,89,215280,21jGcNKet2qwijlDFuPiPb,246dkjvS1zLTtiykXe5h60,Post Malone,1,4g1ZRSobMefqF6nelkgibi,2019-09-06,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
Night Changes,89,226600,5O2P9iiztwhomNh8xkR9lJ,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,1,4gCNyS7pidfK3rKWhB3JOY,2014-11-17,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic
