track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,As It Was,95,167303,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1,5r36AJ6VOJtp00oxSkBZ5h,2022-05-20,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,2.7883833333333334,pinoy
7MXVkk9YMctZqd1Srtv4MB,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,Starboy,94,230453,"['1Xyo4u8uXC1ZmMpatF05PJ', '4tZwfgrHOc3mvqYlEYSvVi']","['The Weeknd', 'Daft Punk']",2,2ODvWsOgouMbaA5xf0RkJe,2016-11-25,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,3.840883333333333,pinoy
1Slwb6dOYkBlWal1PGtnNg,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,Thinking out Loud,67,281560,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1,6NoBzYmh5gUusGPCfg0pct,2013,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,4.692666666666667,pinoy
2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,Sweater Weather,93,240400,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,1,4xkM0BwLM9H2IUcbYzpcBI,2013-04-19,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,4.006666666666667,pinoy
3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,Another Love,92,244360,2txHhyCwHjUEpJjWrEyqyX,Tom Odell,1,0Gf1yE895FKK4YWVRuAeg8,2013-06-24,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,4.072666666666667,pinoy
3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,Yellow,92,266773,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,1,6ZG5lRT77aJ3btmArcykra,2000-07-10,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,4.4462166666666665,pinoy
3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,Locked out of Heaven,91,233478,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,1,58ufpQsJ1DS5kq4hhzQDiI,2012-12-07,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,3.8913,pinoy
0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,lovely (with Khalid),91,200185,"['6qqNVTkY8uBg9cP3Jd7DAH', '6LuN9FCkKOj5PcnpouEgny']","['Billie Eilish', 'Khalid']",2,2sBB17RXTamvj7Ncps15AK,2018-04-19,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,3.3364166666666666,pinoy
7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,Someone You Loved,91,182160,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,1,5658aM19fA3JVwTK6eQX70,2019-05-17,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,3.036,pinoy
0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,Blinding Lights,92,200040,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,1,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,37i9dQZF1DXcfJb5A3855D,Pinoy Open Mic,3.334,pinoy
