playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits,100,spotify,Spotify,6937288
37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온),50,spotify,Spotify,5221801
37i9dQZF1DX50QitC6Oqtn,Love Pop,100,spotify,Spotify,3583978
37i9dQZF1DXcZDD7cfEKhW,Pop Remix,75,spotify,Spotify,3431062
37i9dQZF1DWUa8ZRTfalHk,Pop Rising,85,spotify,Spotify,3117392
37i9dQZF1DXasneILDRM7B,Pure Pop Punk,100,spotify,Spotify,3022555
37i9dQZF1DX3WvGXE8FqYX,Women of Pop,75,spotify,Spotify,2499899
37i9dQZF1DWVLcZxJO5zyf,Pop Brasil,50,spotify,Spotify,2455146
37i9dQZF1DX0A8zVl7p82B,Christmas Pop,80,spotify,Spotify,2009516
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,100,spotify,Spotify,1698058
37i9dQZF1DWUaThf8nMdW6,Best of '00s Pop,50,spotify,Spotify,1448284
37i9dQZF1DX5gQonLbZD9s,Pumped Pop,75,spotify,Spotify,1348943
37i9dQZF1DXaPCIWxzZwR1,Pop Sauce,107,spotify,Spotify,1295107
37i9dQZF1DX3YMp9n8fkNx,90s Pop Rock,100,spotify,Spotify,1283138
37i9dQZF1DWVlLVXKTOAYa,Pop Right Now,100,spotify,Spotify,1062290
37i9dQZF1DX6Cy4Vr7Hu2y,EQUAL K-Pop,64,spotify,Spotify,949657
37i9dQZF1DWUPafHP1BJw1,Pop Goes Classical,111,spotify,Spotify,904333
37i9dQZF1DX0vHZ8elq0UK,Energy Booster: Pop,150,spotify,Spotify,833077
37i9dQZF1DWSnRSDTCsoPk,Energy Booster: K-Pop,100,spotify,Spotify,608129
37i9dQZF1DWVlYsZJXqdym,Happy Pop Hits,50,spotify,Spotify,594430
37i9dQZF1DWXti3N4Wp5xy,Pop Party,150,spotify,Spotify,477250
37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits,150,spotify,Spotify,456088
37i9dQZF1DX8mWv7JDZ0Ht,Pop Leve,90,spotify,Spotify,433380
6mtYuOxzl58vSGnEDtZ9uB,Pop Hits 2000s - 2023,282,maka_97,maka_97,378306
37i9dQZF1DX7GWlXStIq5M,Palco POP,85,spotify,Spotify,365780
37i9dQZF1DXdbRLJPSmnyq,J-Pop Hits,90,spotify,Spotify,347294
37i9dQZF1DX2KwEtNSejGe,pop songs we can all scream,100,spotify,Spotify,343459
008G1BbvK1NQvbAV8MHvDz,Pop Hits 2000's - Throwback Vibes ,162,biels09,Shut Your Copyright Music,290636
1jQx9cBFAsfnMV0tckNMQz,2000s Pop Punk Hits,157,colinivich,Parker Thompson,283519
2APVTN27nKIFNMrJ8GXo8U,Pop Internacional ✨ Pop 2023,162,digster_brasil,UMUSICPLAY,263259
37i9dQZF1DXcOFePJj4Rgb,Pop Favourites,100,spotify,Spotify,255680
37i9dQZF1DX9ww9tisjowN,Gacha Pop,75,spotify,Spotify,225843
37i9dQZF1DX137AZKLkKC6,La + Popular,80,spotify,Spotify,213358
37i9dQZF1DX3u9TSHqpdJC,Fresh Finds Pop,100,spotify,Spotify,196930
37i9dQZF1DWYBkvNBaUBeu,Pop Rising Philippines,80,spotify,Spotify,179631
37i9dQZF1DX1lU51fgoMhF,Summer K-Pop Hits (썸머 히트),100,spotify,Spotify,176980
37i9dQZF1DWUF0tDIRaOPR,P-Pop On The Rise,82,spotify,Spotify,172189
37i9dQZF1DWXkMnNwaapIj,I-Pop Superhits,90,spotify,Spotify,171364
37i9dQZF1DWSVpJBtEkFud,Pop Road Trip,100,spotify,Spotify,169740
37i9dQZF1DX9vEn8vBG5Y1,00s Pop Rock,100,spotify,Spotify,166111
4muHyvSwG1wP9sI4XihC5w,Instrumental Popular Songs 2023,301,6z3nw9j9fbuu3yq2qtbbnuljd,FingerstyleBox Records,156904
37i9dQZF1DX0Uo5pVktwNd,Indipop Nostalgia,50,spotify,Spotify,146723
37i9dQZF1DX0tIXxCeVLSQ,Graffiti Pop,100,spotify,Spotify,140379
37i9dQZF1DX4zhmwjdK3k8,dansk pop,65,spotify,Spotify,139832
5TDtuKDbOhrfW7C58XnriZ,Pop Hits 2023,50,digster.fm,Digster,136080
37i9dQZF1DXatFAWyNT5ad,Pop Rock,125,spotify,Spotify,125758
6ZICJG8te785KbaZTXtu8Q,Pop Internacional 2024 | As Melhores Internacionais,121,filtr.br,Filtr Brasil	,120433
37i9dQZF1DX9cp1suxagma,Pop Colombia,100,spotify,Spotify,114622
7g27zzkvS5AGDPEFdCD8BN,"Pop en español 80's, 90's y 2000's",267,carlosjacquez1991,Carlos Jacquez,106538
6Eqkon0vjpLmYOc5z3LLUq,Pop Rock Nacional - As Melhores,112,u3gtpq19v8gdzf33mjjqwmtjv,hotspotlists,89631
37i9dQZF1DXdV4VkZg6NlO,Farklı Pop,75,spotify,Spotify,84021
37i9dQZF1DWVcJK7WY4M52,90s Pop,100,spotify,Spotify,76347
2XSTICkv8W8zRcZCq8ApKD,JAZZ COVERS 2023 🎷 popular songs,506,31fdk457mjg5mfwp7oy7vn3brc3a,Jazz Covers Club,69940
37i9dQZF1DX4UZCW3u80le,2000s Pop,150,spotify,Spotify,68755
37i9dQZF1DXduWUvte9ZYi,Besk Pop,50,spotify,Spotify,64529
0n3ydoZmAIehk3Vu3NWLRa,"Pop Rock Brasileiro Anos 80, 90 e 2000",162,mateusfaustini,mateusfaustini,57950
3Pya3YfwFtuufFDahbfjkI,Popular anime songs,274,vg38m0zwj42e6scbvsx6se4xg,Jason8180,49054
4vyktJ2UWX9MNbz9kTeVOo,pop acoustics,84,r0yurkai8voctoalbxjv6dfu3,Renforshort,47453
37i9dQZF1DWVjaT6aAk59Z,Pop Kreatif,104,spotify,Spotify,41200
72t3yqJQzJrupxWVyBFztJ,Punk Goes Pop Greatest Hits,141,jamieryandee,Casey Ordascht,38571
1Rtr1I1ywnWCgUtOoihrDb,POP DANTHOLOGY 2012,63,pedroncolla,pedroncolla,34956
0c9G8yxTfhDC10MxDTr6bj,Pop Danthology 2010-2022,433,1182726331,David Spångberg,27276
0ldJatV0wFuFBS8Id0A7Ut,2010-2014 PARTY POP,76,ahmednaji9,Ahmed Naji,26508
37i9dQZF1DWTW4k8SRQx2v,Pop PT Hits,75,spotify,Spotify,26037
4qdDsdsFq8QYKOHls1VMxB,POP INTERNACIONAL  2000 A 2022,173,morn6jjriplvjovbubzoeugdn,Gilmar _Max,25891
2eVuLoCP74cegyax11zgEf,Decade Of Pop 2010-2020,101,2ifik7eip9f45h2y9gwq0celr,John,25448
1nbE9ruR0LUuzNiMLseF2y,Hillsongs (Popular Songs),11,y6tzgfbx79alke4msw5eqw4ii,Spotify Four,24078
37i9dQZF1DXdAS31iLwf91,Marathi Pop,75,spotify,Spotify,21801
37i9dQZF1DWUIqzKTPSCJ3,Friss Pop,50,spotify,Spotify,21261
37i9dQZF1DX8WYwNpUjJBr,Pop 터지는 팝콘 한 입,50,spotify,Spotify,20525
1Cgey68pUlQGsCPI2wJuxr,Best of 2023 🔥 Most Popular Hits 2023,200,partyfiesta!,partyfiesta!,19329
1qZsl8W5CiLhgDc6BC1lRe,Pop inglés 2010—2015,71,22mxbnfhqmj55cbnqehxg54ui,María José,15438
3VtaNCpyW5OHWzxEu8BTKY,All-time Favorites | Pop Punk Rock Alternative,132,chasquared,Cha Gomez,14967
5G7NJGQEYyoPV16NqDMASE,Pop Music 2010 - 2019,313,jsalas1230,JA Salas,12675
2HL9uBibWwlRROmOvjK5tA,Most Popular Songs 2023,100,iiu8lj9x10229g9upupgz0zqr,Redlist - World Charts,12568
5B0nQ9JplRJ1wczt0Na1YP,POP SONGS EVERYONE KNOWS (2000-2023),605,lainestante,Laine Liepa,12486
1Hjoo4esX3zH91reU3EObM,Popular Song's,156,b0s97t7btia3q3uve5yh9d80j,Wira Sempana,12145
3BxbED9sPDNdodoZ0weTvB,Pop Music 2023 | Top Hits 2023 (Pop Songs),104,0nhevpnyituy13hn3lfu7tv1e,Purple Fly,7801
41jiZVzy7IbQz9fpLNWlkc,kpop random dance popular and iconic,305,soclombard,Gaby,6586
0eHBmgheVZUuQ4BMyuzbG0,TWICE popular hits,21,12143871527,Caithlin Frances,5316
1uXfXquBnmyw9wO4FymXun,Pop Danthology 2012 - Mashup 50 Pop Songs,68,set7digital,SET7 Music ☑️,3943
1m2BQiIJyy67Llyv0SG86Y,Popular Filipino songs ,144,idgz9mv5kj1dkuls115fn2fb8,leeknow,3736
71SoK9ayclBNnBO82weiHt,Best Pop Rock Songs of the 90s and 2000s,80,qkw3cof1tqra9ukw73qt6kt5l,Redlist - Timeless Songs,1817
3S7QGzIcJySZO1ZZpgcSe8,popular vibes.,74,coledawkins13,cole,1720
2xutOn4Ea4RyjuaRaD3jl3,pop songs that everyone knows 🍒,156,delenainfinity,frances :),1393
0dG7LgkFID1ySDj9P4Fz9Z,Pop Danthology (2010-2014),258,yoshikid2002,yoshikid2002,641
5wERTx62v46ez4RO6dN5Fc,Pop Danthology - Daniel Kim ,56,o66u3eceqlcjsdk5zjfmy57jd,nelly’s playlists,534
37i9dQZF1EQncLwOalG3K7,Pop Mix,50,spotify,Spotify,0
37i9dQZF1EIgSjgoYBB2M6,Workout Pop Mix,50,spotify,Spotify,0
37i9dQZF1EIhG5F4iZSTGg,Pop Upbeat Mix,50,spotify,Spotify,0
