name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
good 4 u,87,178146,4ZtFanR9U6ndgddUvNcjcG,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,1,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,37i9dQZF1EQncLwOalG3K7,Pop Mix
Paint The Town Red,88,230480,56y1jOTK0XSvJzVv9vHQBK,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,1,1bBez9PNvkJPW08bU7NYta,2023-09-20,37i9dQZF1EQncLwOalG3K7,Pop Mix
Young And Beautiful,88,236053,2nMeu6UenVvwUktBCpLMK9,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,1,1D92WOHWUI2AGQCCdplcXL,2013-01-01,37i9dQZF1EQncLwOalG3K7,Pop Mix
Treat You Better,88,187973,3QGsuHI8jO1Rx4JWLUh9jd,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,1,1ne2D0NxoGyZd31gAM4HNd,2017-04-20,37i9dQZF1EQncLwOalG3K7,Pop Mix
Attention,85,208786,5cF0dROlMOK5uNZtivgu50,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,1,0mZIUXje90JtHxPNzWsJNR,2018-05-11,37i9dQZF1EQncLwOalG3K7,Pop Mix
Cheap Thrills,81,211666,27SdWb2rFzO6GWiYDBTD9j,5WUlDfRSoLAfcVSX1WnrxN,Sia,1,77jAfTh3KH9K2reMOmTgOh,2016-01-29,37i9dQZF1EQncLwOalG3K7,Pop Mix
Roar,81,223546,27tNWlhdAryQY04Gb2ZhUI,6jJ0s89eD6GaHleKKya26X,Katy Perry,1,3jB9yFDwRe3KhtGnHXJntk,2013-01-01,37i9dQZF1EQncLwOalG3K7,Pop Mix
Rockabye (feat. Sean Paul & Anne-Marie),75,251173,2hrUO4drrO63i7FYbCLBl2,"['6MDME20pz9RveH9rEXvrOM', '3Isy6kedDrgPYoTS1dazA9', '1zNqDE7qDGCsyzJwohVaoX']","['Clean Bandit', 'Sean Paul', 'Anne-Marie']",3,1MvF4ulZKH7SaDQs9rE5nc,2018-11-30,37i9dQZF1EQncLwOalG3K7,Pop Mix
"thank u, next",83,207320,3e9HZxeyfWwjeyPAMmWSSQ,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,1,2fYhqwDWXjbpjaIJPEfKFw,2019-02-08,37i9dQZF1EQncLwOalG3K7,Pop Mix
Sugar,83,235493,2iuZJX9X9P0GKaE93xcPjk,04gDigrS5kc9YWfZHwBETP,Maroon 5,1,2Auw0pTT6EcQdvHNimhLQI,2014-09-02,37i9dQZF1EQncLwOalG3K7,Pop Mix
Jealous - Remix,72,222186,5NQJnRpJHRaupdegphntQT,"['4Rxn7Im3LGfyRkY2FlHhWi', '0NIIxcxNHmOoyBx03SfTCD']","['Nick Jonas', 'Tinashe']",2,4G4Azv5cwPBv3vCA0mD6ei,2015-11-20,37i9dQZF1EQncLwOalG3K7,Pop Mix
Dark Horse,82,215672,4jbmgIyjGoXjY01XxatOx6,"['6jJ0s89eD6GaHleKKya26X', '5gCRApTajqwbnHHPbr2Fpi']","['Katy Perry', 'Juicy J']",2,3jB9yFDwRe3KhtGnHXJntk,2013-01-01,37i9dQZF1EQncLwOalG3K7,Pop Mix
New Rules,62,209320,2xJCMIJfcNYDc5iR0sAm2O,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,1,2wKlXxlwYDByrGY1aAUh6o,2015,37i9dQZF1EQncLwOalG3K7,Pop Mix
Cake By The Ocean,84,219146,76hfruVvmfQbw0eYn1nmeC,6T5tfhQCknKG4UnH90qGnz,DNCE,1,3Wv4X8OA65pGpFzBkuUgAh,2016-11-18,37i9dQZF1EQncLwOalG3K7,Pop Mix
Paparazzi,78,208306,02XnQdf7sipaKBBHixz3Zp,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,1,1qwlxZTNLe1jq3b0iidlue,2008-01-01,37i9dQZF1EQncLwOalG3K7,Pop Mix
Chandelier,83,216120,4VrWlk8IQxevMvERoX08iC,5WUlDfRSoLAfcVSX1WnrxN,Sia,1,3xFSl9lIRaYXIYkIn3OIl9,2014-07-04,37i9dQZF1EQncLwOalG3K7,Pop Mix
Mercy,83,208733,0AS63m1wHv9n4VVRizK6Hc,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,1,3wBabo4pmzsYjALMSKY7Iq,2017-04-20,37i9dQZF1EQncLwOalG3K7,Pop Mix
One More Night,80,219546,6cpk00i5TxCqSeqNi2HuIe,04gDigrS5kc9YWfZHwBETP,Maroon 5,1,6ijGiBcBfUwkoyHn5VUHU2,2012-01-01,37i9dQZF1EQncLwOalG3K7,Pop Mix
Firework,74,227893,4r6eNCsrZnQWJzzvFh4nlg,6jJ0s89eD6GaHleKKya26X,Katy Perry,1,2eQMC9nJE3f3hCNKlYYHL1,2010-01-01,37i9dQZF1EQncLwOalG3K7,Pop Mix
Diamonds,78,225146,1z9kQ14XBSN0r2v6fx4IdG,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,1,0T23GvNaBUGtMKxZko8LQG,2012-01-01,37i9dQZF1EQncLwOalG3K7,Pop Mix
Levitating (feat. DaBaby),85,203064,5nujrmhLynf4yMoMtj8AQF,"['6M2wZ9GZgrQXHCFfjv46we', '4r63FhuTkUYltbVAg5TQnk']","['Dua Lipa', 'DaBaby']",2,5lKlFlReHOLShQKyRv6AL9,2020-03-27,37i9dQZF1EQncLwOalG3K7,Pop Mix
no tears left to cry,79,205920,2qT1uLXPVPzGgFOx4jtEuo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,1,3tx8gQqWbGwqIGZHqDNrGe,2018-08-17,37i9dQZF1EQncLwOalG3K7,Pop Mix
Wolves,80,197993,0tBbt8CrmxbjRP0pueQkyU,"['0C8ZW7ezQVs4URX5aX7Kqx', '64KEffDW9EtZ1y2vBYgq8T']","['Selena Gomez', 'Marshmello']",2,5gQZvWM1o8NkQndueJtZcP,2017-10-25,37i9dQZF1EQncLwOalG3K7,Pop Mix
Maps,86,189960,4gbVRS8gloEluzf0GzDOFc,04gDigrS5kc9YWfZHwBETP,Maroon 5,1,2Auw0pTT6EcQdvHNimhLQI,2014-09-02,37i9dQZF1EQncLwOalG3K7,Pop Mix
Chained To The Rhythm,72,237733,7qvxFz3JodM0A7xEM7k3YD,"['6jJ0s89eD6GaHleKKya26X', '4ryoUS0W8qXokfMxrlJt6O']","['Katy Perry', 'Skip Marley']",2,0UlbGi4oAth8s6rwaGSU8Z,2017-06-09,37i9dQZF1EQncLwOalG3K7,Pop Mix
Stitches,83,206880,3zkWCteF82vJwv0hRLba76,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,1,0CnQ0JQajNswRjPkNYVG8m,2015-04-14,37i9dQZF1EQncLwOalG3K7,Pop Mix
Symphony (feat. Zara Larsson),80,212733,72gv4zhNvRVdQA0eOenCal,"['6MDME20pz9RveH9rEXvrOM', '1Xylc3o4UrD53lo9CvFvVg']","['Clean Bandit', 'Zara Larsson']",2,1MvF4ulZKH7SaDQs9rE5nc,2018-11-30,37i9dQZF1EQncLwOalG3K7,Pop Mix
Starving,76,181880,4Ce37cRWvM1vIGGynKcs22,"['5p7f24Rk5HkUZsaS3BLG5F', '4lDBihdpMlOalxy1jkUbPl', '2qxJFvFYMEDqd7ui6kSAcq']","['Hailee Steinfeld', 'Grey', 'Zedd']",3,18pR217SWwBjODSRWFBw0I,2016-07-22,37i9dQZF1EQncLwOalG3K7,Pop Mix
Hands To Myself,72,200680,3CJvmtWw2bJsudbAC5uCQk,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,1,3Kbuu2tHsIbplFUkB7a5oE,2015-10-09,37i9dQZF1EQncLwOalG3K7,Pop Mix
Cool for the Summer,82,214739,3uwnnTQcHM1rDqSfA4gQNz,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,1,56yYgfX6M5FlpETfyZSHkn,2015-01-01,37i9dQZF1EQncLwOalG3K7,Pop Mix
Kings & Queens,82,162398,7a53HqqArd4b9NF4XAmlbI,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,1,26c7MmQ4w8EAvVLb4jilaM,2020-09-18,37i9dQZF1EQncLwOalG3K7,Pop Mix
Just Give Me a Reason (feat. Nate Ruess),84,242733,1mKXFLRA179hdOWQBwUk9e,"['1KCSPY1glIKqW2TotWuXOR', '1qUjOF5fzrpoNycD36b2jZ']","['P!nk', 'Nate Ruess']",2,2Q9oTK48eb85waX1fFJsvj,2012-09-18,37i9dQZF1EQncLwOalG3K7,Pop Mix
Love Yourself,86,233720,50kpGaPAhYJ3sGmk6vplg0,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1,6Fr2rQkZ383FcMqFyT7yPr,2015-11-13,37i9dQZF1EQncLwOalG3K7,Pop Mix
Same Old Love,73,229080,6ZANrVuAMp2rpjhfbOuJly,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,1,3Kbuu2tHsIbplFUkB7a5oE,2015-10-09,37i9dQZF1EQncLwOalG3K7,Pop Mix
Cheap Thrills (feat. Sean Paul),75,224813,378iszndTZAR4dH8kwsLC6,"['5WUlDfRSoLAfcVSX1WnrxN', '3Isy6kedDrgPYoTS1dazA9']","['Sia', 'Sean Paul']",2,3Xz1Bcn4YP9bdqlsstMfuJ,2016-02-18,37i9dQZF1EQncLwOalG3K7,Pop Mix
