track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0knRQzgvbUed6K74mX81hG,0.389,0.352,1,-14.428,0,0.0301,0.251,5.4e-06,0.197,0.203,139.647,325025
2tR5liucorXRwduxr0qEx6,0.501,0.57,10,-6.49,1,0.0337,0.569,0.0,0.0649,0.311,139.516,268487
6VqZS3Wmf53pbfDBVEYvnP,0.283,0.281,11,-11.414,1,0.035,0.437,0.00114,0.102,0.127,79.919,303937
2wTxJWt2gA9a1Z94dTnPiI,0.313,0.237,9,-14.538,1,0.0451,0.855,0.000386,0.0961,0.165,80.13,336369
4u8RkgV6P4TLi89SmlUtv8,0.705,0.401,6,-8.9,1,0.0376,0.176,8.66e-06,0.0735,0.481,140.031,349713
00mBzIWv5gHOYxwuEJXjOG,0.518,0.762,7,-3.907,1,0.0305,0.0851,0.0,0.148,0.271,155.985,285138
3WUEs51GpcvlgU7lehLgLh,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921,318814
2ZiNCGDMapQzMtnPRVOKZI,0.505,0.393,7,-10.426,1,0.027,0.257,5.1e-05,0.101,0.262,145.818,329397
6ipu0NJW6CpYZjHnUo1xxS,0.457,0.244,4,-15.52,1,0.0735,0.907,0.000608,0.0925,0.396,107.196,383704
4JSDhJVmo2UqdF7nxbyenn,0.5,0.339,7,-7.301,1,0.0263,0.71,0.00222,0.108,0.152,136.427,242800
0YyM8aEdbjGfLWPn6fdcn7,0.696,0.262,11,-15.073,1,0.031,0.519,0.0,0.0669,0.265,84.007,241030
2IMODbij0lZ5CuAjZi0IDE,0.635,0.376,9,-6.1,1,0.0457,0.0104,0.0,0.109,0.28,124.57,326000
01YEqVPCm0vqRLA9w43bic,0.404,0.174,9,-10.192,1,0.0312,0.893,0.0,0.0977,0.324,87.636,230453
29xs643Q96uQLD8f7SxYYw,0.567,0.0896,5,-12.944,1,0.0343,0.796,0.0,0.218,0.367,79.002,253360
1ojVx5LnVcBCGYPL7QC5eW,0.633,0.386,2,-9.989,1,0.0345,0.153,0.0,0.0768,0.316,120.267,261500
44jJiCwGdnqqCkgqlvCIdp,0.766,0.514,11,-10.573,1,0.101,0.239,8.15e-06,0.0879,0.682,136.027,242845
6IdEQ3HUseBeRUYFSzSMdL,0.677,0.433,8,-8.518,1,0.037,0.545,0.0,0.105,0.498,134.006,304664
2BgD4nRyx9EZ5o8YEnjRSV,0.502,0.482,4,-4.736,1,0.0288,0.161,0.0,0.187,0.132,133.894,267759
1X4l4i472kW5ofFP8Xo0x0,0.66,0.373,7,-7.874,1,0.029,0.701,0.0,0.226,0.348,126.887,277099
5f9808hpiCpuNyqqdXmpF2,0.631,0.381,7,-11.808,1,0.04,0.447,0.000171,0.0902,0.36,126.008,343446
267RumTt5KeLBGl2KWxBL0,0.551,0.329,7,-10.731,1,0.0431,0.648,3.82e-05,0.0925,0.331,139.699,239480
5zMR44ZH4KVZj4FlhTj3SE,0.404,0.556,4,-8.329,1,0.0326,0.359,4.93e-06,0.0964,0.34,159.256,326813
5NXdUJ3Z2jhlp2u1cj6f7m,0.523,0.391,7,-9.283,1,0.0298,0.395,0.0,0.142,0.354,139.905,288208
5nMKJJ5Rl6X1yn58aVeICO,0.5,0.728,9,-5.472,0,0.0313,0.0319,0.0,0.0782,0.351,134.877,270233
0GHwNr0lqf8jpc9wesmnHo,0.499,0.381,7,-7.855,1,0.0373,0.586,0.0,0.086,0.57,157.332,279259
6xQs6y6CpDqK9VKCktApEL,0.58,0.244,4,-9.917,1,0.0361,0.808,0.0,0.092,0.385,82.121,235010
0Vmk6Ebk4QBq7r0VAz2a6s,0.668,0.48,10,-5.469,1,0.0284,0.549,0.0,0.112,0.277,119.903,245587
65sEZZaxTjLMD8vNgPoMz5,0.604,0.446,9,-8.01,1,0.0341,0.63,0.0,0.0859,0.199,143.946,321817
1Yd9vD5QKZTMA6yFxFuD1M,0.608,0.208,7,-11.526,1,0.0272,0.836,0.0,0.0893,0.307,79.947,277813
24ngpWhBOxKJtIPnzSNX8c,0.465,0.592,4,-4.905,1,0.0293,0.0208,1.51e-06,0.0929,0.117,139.867,343018
5l9g7py8RCblcvbZgGQgSd,0.669,0.42,2,-8.464,1,0.0253,0.506,0.0,0.404,0.523,95.049,227370
4MyiyNOHtnvjVuEhs9yOl9,0.503,0.265,8,-9.674,1,0.0305,0.873,0.0,0.114,0.345,141.849,371387
