name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Kabilang Buhay,0,325024,0knRQzgvbUed6K74mX81hG,4slXciON4jYY6mqE9LjSFx,Bandang Lapis,1,1bXVfDuQen1YkHWKudAi2c,2020-03-20,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Binalewala - Original Version,62,268486,2tR5liucorXRwduxr0qEx6,6ZdzYE3CEgY0Umgi3Dsgv8,Michael Dutchi Libranda,1,1793zMKn7sOceKYWdN7yQX,2019-10-07,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Hindi Tayo Pwede,1,303937,6VqZS3Wmf53pbfDBVEYvnP,1YlibpAvhJBbMZMBwN1KGv,The Juans,1,2m8pNsbpAvJYe7rbRpkhFF,2018-10-26,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Oks Lang,0,336369,2wTxJWt2gA9a1Z94dTnPiI,2U5mF0PZqGu6glnz55yY0y,John Roa,1,4P5GC4o3QsoFpxadnDeE9D,2018-02-14,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Mundo,73,349713,4u8RkgV6P4TLi89SmlUtv8,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,1,2p6QlBCrnKwUFC0wPN1kfV,2018-02-14,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Sa Ngalan Ng Pag-Ibig,65,285138,00mBzIWv5gHOYxwuEJXjOG,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,7xconhHQKj7Be4P2KvUmFz,2017-04-29,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Kathang Isip,73,318814,3WUEs51GpcvlgU7lehLgLh,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,4nQxblVnnFPehg9ujzdJ8L,2017-06-23,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Di Makatulog,56,329396,2ZiNCGDMapQzMtnPRVOKZI,0jKQrxK2zHqxyOAyIMrUQt,SUD,1,5rTKoqwiq0QSU31UV3AYSf,2017-06-30,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Walang Hanggan,51,383703,6ipu0NJW6CpYZjHnUo1xxS,4N7VMCvYd9Reh5bJLnRVzY,Quest,1,2IBmq6xrexEVDk3Vo5lrbD,2016-05-20,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Kung Wala Ka,68,242800,4JSDhJVmo2UqdF7nxbyenn,6Ww3OMFzCaO33ulKh1LBFN,Hale,1,4iaCi771IT9I2xwtnXnjlx,2004,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Pasensya Ka Na,0,241029,0YyM8aEdbjGfLWPn6fdcn7,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,1,38jqi8VvSax4miNL2cacD1,2015-04-08,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Sila,63,326000,2IMODbij0lZ5CuAjZi0IDE,0jKQrxK2zHqxyOAyIMrUQt,SUD,1,0qwujayb77utSpftsXjdP3,2015-07-31,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Hanggang Kailan,10,230453,01YEqVPCm0vqRLA9w43bic,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1,2fI8PsKYLPMt9Gv4NVrtjk,2016-08-19,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Sa'yo,0,253360,29xs643Q96uQLD8f7SxYYw,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,1,4xxRoePLdITFIhrzUhmOaQ,2013-06-11,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Umaasa,60,261500,1ojVx5LnVcBCGYPL7QC5eW,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,1,4icBARf3NUeP5SfMRMQOHU,2020-05-19,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Miloves (Otw Sayo),54,242844,44jJiCwGdnqqCkgqlvCIdp,71hhKLR9oCOsHLdRIoQ5OU,King Badger,1,2Cn8NCS7dAmLMNat4xBL1R,2020-03-09,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Zebbiana,63,304664,6IdEQ3HUseBeRUYFSzSMdL,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,1,4AaygWd1ZnCzZ4ak9EM23s,2019-07-26,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Kung 'Di Rin Lang Ikaw,66,267759,2BgD4nRyx9EZ5o8YEnjRSV,"['4qFxP3qN9GsnZDOkAE6x2m', '0rZRTXEmmPmx6gt92tBqIc']","['December Avenue', 'Moira Dela Torre']",2,15ufxdU6r8niuSmA9nu3ly,2018-07-22,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Sana - Single Version,2,277098,1X4l4i472kW5ofFP8Xo0x0,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,1,4njOhY51h2CBqdAX4o41U1,2018-04-28,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Buwan,71,343446,5f9808hpiCpuNyqqdXmpF2,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,1,2CF1utwLM2yXHMZhwFGVY1,2018-06-22,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Dating Tayo,2,239480,267RumTt5KeLBGl2KWxBL0,7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,1,01f1BJjxsFyuX580Fk8Gjk,2016-05-19,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Magbalik,69,326813,5zMR44ZH4KVZj4FlhTj3SE,4HOEnLufwAqJ2qoJPVnL01,Callalily,1,3tIU2WCVDgPwnG4MraWwQ6,2006-07-17,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Balang Araw - Single Version,0,288207,5NXdUJ3Z2jhlp2u1cj6f7m,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,1,6HPFW4F5tgbVGfFatG5CUw,2018-10-23,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Bulong,63,270233,5nMKJJ5Rl6X1yn58aVeICO,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,6anqXAk4NZxdkUwvpfUqsB,2018-04-08,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Ex,61,279259,0GHwNr0lqf8jpc9wesmnHo,4HOEnLufwAqJ2qoJPVnL01,Callalily,1,0qny2u4DXtiOu7ENsopaaA,2018-04-13,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Hiling,63,235009,6xQs6y6CpDqK9VKCktApEL,2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,1,6E5TwOXhw6KyhX4P0p9vdK,2015-01-15,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Bakit Ba Ikaw,15,245586,0Vmk6Ebk4QBq7r0VAz2a6s,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1,2fI8PsKYLPMt9Gv4NVrtjk,2016-08-19,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Imahe,70,321817,65sEZZaxTjLMD8vNgPoMz5,28B54RKpJrEmDoGSTjsfY6,Magnus Haven,1,04KG42EaTfjaPbYHQ6wI3h,2018-11-30,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Pansamantala,0,277813,1Yd9vD5QKZTMA6yFxFuD1M,4HOEnLufwAqJ2qoJPVnL01,Callalily,1,4TKyn5UuWOyAurOXBRBOpz,2012-01-01,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),66,343017,24ngpWhBOxKJtIPnzSNX8c,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,3CN06MwHmNd9UWGu424J42,2019-04-07,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs
