track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
0knRQzgvbUed6K74mX81hG,0.389,0.352,1,-14.428,0,0.0301,0.251,5.4e-06,0.197,0.203,139.647,Kabilang Buhay,0,325024,4slXciON4jYY6mqE9LjSFx,Bandang Lapis,1,1bXVfDuQen1YkHWKudAi2c,2020-03-20,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,5.417066666666667,sad OPM
2tR5liucorXRwduxr0qEx6,0.501,0.57,10,-6.49,1,0.0337,0.569,0.0,0.0649,0.311,139.516,Binalewala - Original Version,62,268486,6ZdzYE3CEgY0Umgi3Dsgv8,Michael Dutchi Libranda,1,1793zMKn7sOceKYWdN7yQX,2019-10-07,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.474766666666667,sad OPM
6VqZS3Wmf53pbfDBVEYvnP,0.283,0.281,11,-11.414,1,0.035,0.437,0.00114,0.102,0.127,79.919,Hindi Tayo Pwede,1,303937,1YlibpAvhJBbMZMBwN1KGv,The Juans,1,2m8pNsbpAvJYe7rbRpkhFF,2018-10-26,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,5.065616666666667,sad OPM
2wTxJWt2gA9a1Z94dTnPiI,0.313,0.237,9,-14.538,1,0.0451,0.855,0.000386,0.0961,0.165,80.13,Oks Lang,0,336369,2U5mF0PZqGu6glnz55yY0y,John Roa,1,4P5GC4o3QsoFpxadnDeE9D,2018-02-14,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,5.60615,sad OPM
4u8RkgV6P4TLi89SmlUtv8,0.705,0.401,6,-8.9,1,0.0376,0.176,8.66e-06,0.0735,0.481,140.031,Mundo,73,349713,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,1,2p6QlBCrnKwUFC0wPN1kfV,2018-02-14,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,5.82855,sad OPM
00mBzIWv5gHOYxwuEJXjOG,0.518,0.762,7,-3.907,1,0.0305,0.0851,0.0,0.148,0.271,155.985,Sa Ngalan Ng Pag-Ibig,65,285138,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,7xconhHQKj7Be4P2KvUmFz,2017-04-29,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.7523,sad OPM
3WUEs51GpcvlgU7lehLgLh,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921,Kathang Isip,73,318814,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,4nQxblVnnFPehg9ujzdJ8L,2017-06-23,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,5.3135666666666665,sad OPM
2ZiNCGDMapQzMtnPRVOKZI,0.505,0.393,7,-10.426,1,0.027,0.257,5.1e-05,0.101,0.262,145.818,Di Makatulog,56,329396,0jKQrxK2zHqxyOAyIMrUQt,SUD,1,5rTKoqwiq0QSU31UV3AYSf,2017-06-30,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,5.489933333333333,sad OPM
6ipu0NJW6CpYZjHnUo1xxS,0.457,0.244,4,-15.52,1,0.0735,0.907,0.000608,0.0925,0.396,107.196,Walang Hanggan,51,383703,4N7VMCvYd9Reh5bJLnRVzY,Quest,1,2IBmq6xrexEVDk3Vo5lrbD,2016-05-20,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,6.39505,sad OPM
4JSDhJVmo2UqdF7nxbyenn,0.5,0.339,7,-7.301,1,0.0263,0.71,0.00222,0.108,0.152,136.427,Kung Wala Ka,68,242800,6Ww3OMFzCaO33ulKh1LBFN,Hale,1,4iaCi771IT9I2xwtnXnjlx,2004,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.046666666666667,sad OPM
0YyM8aEdbjGfLWPn6fdcn7,0.696,0.262,11,-15.073,1,0.031,0.519,0.0,0.0669,0.265,84.007,Pasensya Ka Na,0,241029,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,1,38jqi8VvSax4miNL2cacD1,2015-04-08,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.01715,sad OPM
2IMODbij0lZ5CuAjZi0IDE,0.635,0.376,9,-6.1,1,0.0457,0.0104,0.0,0.109,0.28,124.57,Sila,63,326000,0jKQrxK2zHqxyOAyIMrUQt,SUD,1,0qwujayb77utSpftsXjdP3,2015-07-31,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,5.433333333333334,sad OPM
01YEqVPCm0vqRLA9w43bic,0.404,0.174,9,-10.192,1,0.0312,0.893,0.0,0.0977,0.324,87.636,Hanggang Kailan,10,230453,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1,2fI8PsKYLPMt9Gv4NVrtjk,2016-08-19,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,3.840883333333333,sad OPM
29xs643Q96uQLD8f7SxYYw,0.567,0.0896,5,-12.944,1,0.0343,0.796,0.0,0.218,0.367,79.002,Sa'yo,0,253360,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,1,4xxRoePLdITFIhrzUhmOaQ,2013-06-11,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.222666666666667,sad OPM
1ojVx5LnVcBCGYPL7QC5eW,0.633,0.386,2,-9.989,1,0.0345,0.153,0.0,0.0768,0.316,120.267,Umaasa,60,261500,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,1,4icBARf3NUeP5SfMRMQOHU,2020-05-19,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.358333333333333,sad OPM
44jJiCwGdnqqCkgqlvCIdp,0.766,0.514,11,-10.573,1,0.101,0.239,8.15e-06,0.0879,0.682,136.027,Miloves (Otw Sayo),54,242844,71hhKLR9oCOsHLdRIoQ5OU,King Badger,1,2Cn8NCS7dAmLMNat4xBL1R,2020-03-09,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.0474,sad OPM
6IdEQ3HUseBeRUYFSzSMdL,0.677,0.433,8,-8.518,1,0.037,0.545,0.0,0.105,0.498,134.006,Zebbiana,63,304664,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,1,4AaygWd1ZnCzZ4ak9EM23s,2019-07-26,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,5.077733333333334,sad OPM
2BgD4nRyx9EZ5o8YEnjRSV,0.502,0.482,4,-4.736,1,0.0288,0.161,0.0,0.187,0.132,133.894,Kung 'Di Rin Lang Ikaw,66,267759,"['4qFxP3qN9GsnZDOkAE6x2m', '0rZRTXEmmPmx6gt92tBqIc']","['December Avenue', 'Moira Dela Torre']",2,15ufxdU6r8niuSmA9nu3ly,2018-07-22,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.46265,sad OPM
1X4l4i472kW5ofFP8Xo0x0,0.66,0.373,7,-7.874,1,0.029,0.701,0.0,0.226,0.348,126.887,Sana - Single Version,2,277098,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,1,4njOhY51h2CBqdAX4o41U1,2018-04-28,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.6183,sad OPM
5f9808hpiCpuNyqqdXmpF2,0.631,0.381,7,-11.808,1,0.04,0.447,0.000171,0.0902,0.36,126.008,Buwan,71,343446,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,1,2CF1utwLM2yXHMZhwFGVY1,2018-06-22,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,5.7241,sad OPM
267RumTt5KeLBGl2KWxBL0,0.551,0.329,7,-10.731,1,0.0431,0.648,3.82e-05,0.0925,0.331,139.699,Dating Tayo,2,239480,7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,1,01f1BJjxsFyuX580Fk8Gjk,2016-05-19,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,3.9913333333333334,sad OPM
5zMR44ZH4KVZj4FlhTj3SE,0.404,0.556,4,-8.329,1,0.0326,0.359,4.93e-06,0.0964,0.34,159.256,Magbalik,69,326813,4HOEnLufwAqJ2qoJPVnL01,Callalily,1,3tIU2WCVDgPwnG4MraWwQ6,2006-07-17,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,5.446883333333333,sad OPM
5NXdUJ3Z2jhlp2u1cj6f7m,0.523,0.391,7,-9.283,1,0.0298,0.395,0.0,0.142,0.354,139.905,Balang Araw - Single Version,0,288207,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,1,6HPFW4F5tgbVGfFatG5CUw,2018-10-23,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.80345,sad OPM
5nMKJJ5Rl6X1yn58aVeICO,0.5,0.728,9,-5.472,0,0.0313,0.0319,0.0,0.0782,0.351,134.877,Bulong,63,270233,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1,6anqXAk4NZxdkUwvpfUqsB,2018-04-08,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.5038833333333335,sad OPM
0GHwNr0lqf8jpc9wesmnHo,0.499,0.381,7,-7.855,1,0.0373,0.586,0.0,0.086,0.57,157.332,Ex,61,279259,4HOEnLufwAqJ2qoJPVnL01,Callalily,1,0qny2u4DXtiOu7ENsopaaA,2018-04-13,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.654316666666666,sad OPM
6xQs6y6CpDqK9VKCktApEL,0.58,0.244,4,-9.917,1,0.0361,0.808,0.0,0.092,0.385,82.121,Hiling,63,235009,2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,1,6E5TwOXhw6KyhX4P0p9vdK,2015-01-15,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,3.9168166666666666,sad OPM
0Vmk6Ebk4QBq7r0VAz2a6s,0.668,0.48,10,-5.469,1,0.0284,0.549,0.0,0.112,0.277,119.903,Bakit Ba Ikaw,15,245586,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1,2fI8PsKYLPMt9Gv4NVrtjk,2016-08-19,6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,4.0931,sad OPM
