playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX7qK8ma5wgG1,Sad Songs,80,spotify,Spotify,1747211
37i9dQZF1DWVV27DiNWxkR,Sad Indie,108,spotify,Spotify,1646763
37i9dQZF1DWSqBruwoIXkA,sad hour,150,spotify,Spotify,1646479
37i9dQZF1DWW2hj3ZtMbuO,sad girl starter pack,75,spotify,Spotify,1447722
3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music,133,yj9ghsz7fmkg4nu9lkx02wute,Lofish Records ☄️,975829
37i9dQZF1DWZQGZ7yvpH00,sad sierreño,50,spotify,Spotify,708156
37i9dQZF1DWT0qByOJYmmJ,Qué Sad!,80,spotify,Spotify,641961
6nxPNnmSE0d5WlplUsa5L3,Sad Songs 🥺,237,adil2k7xbnt8lzx0qxuyccbjy,Spaak Records,636697
37i9dQZF1DWVrtsSlLKzro,Sad Beats,163,spotify,Spotify,619981
37i9dQZF1DWZUAeYvs88zc,Sad Bops,75,spotify,Spotify,577360
37i9dQZF1DX64Y3du11rR1,Sad Covers,117,spotify,Spotify,372958
6yYA6aUGp8qUTgQWWYkPkP,crying myself to sleep 😢 sad songs,152,biels09,Shut Your Copyright Music,308401
37i9dQZF1DXaS0Bb5SeHIi,Sad 80s,50,spotify,Spotify,298209
54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,175,v3diemfld4xwbj82y8p3vgm3i,Annik,297833
4yXfnhz0BReoVfwwYRtPBm,sad songs for sad nights ,373,21x3lpws77vh5ns3jqbsyxrny,crybaby,270829
37i9dQZF1DWZFicI79sEj9,Sad 90s,74,spotify,Spotify,214468
6I0lZXez7cfVbtrCHc8T5V,taylor swift but you're sad.,84,dqasas62v1lmc4asx8z6ruzcg,chiara,207944
37i9dQZF1DX6hO1vx5AApi,Sad 70s,50,spotify,Spotify,159920
0DiIiLcScBTTTRgtRkwGxe,sad tik tok songs 2023 / 2022,208,or61qz5w8vna4urp4uqmmvax3,Love Bedroom Pop,155409
2V54AkhxCDLeORKeBtDZGr,Sad songs for girls ❤️ (Crying music and depressing music),101,i1u0ikdl9bkrlnokym92lj1dk,discovered,137109
3jqmQ7YYJxpe8IcRk4FsmX,sad songs english,156,31v4t75v73krfc3qedrveucgc3qq,acronym.,89057
37i9dQZF1DX1wBZWxWB0O1,sad viejitas,50,spotify,Spotify,83678
37i9dQZF1DWSKj6yrmnSvg,sad grupero,50,spotify,Spotify,79727
1jJoJu3y2v0pl2fQb4FpcR,Sad Song Hindi - Emotional Songs 💔,137,31pt36w5e6bkceecditvmi7feucq,Promo Squad,75189
1gd8rPLzo3bjk1yyQce0h7,Saddest songs of Bollywood 💔🥺 | Emotional Heartbreak Hits,103,31cryn65a526vxnh2k22vgd5bqny,StereoAux IN,72877
4eFDPMWMQczTZBhK6Kdtj9,SAD BUNNY 💔 - Canciones tristes Bad Bunny,67,11175185753,JhordyOrtiz,57554
6heJafZ2zVagAsPz9qUdn8,Sad boyz 4 life II - Junior H Sad 💔,115,223vqweawngwhyxxzckqa2hvi,Daniel Tagle,54607
2f7wT8tTvvIt4eM4LhuuCe,Sad (Lofi Remix),262,le15qez7ipd4ylm7ul38oxavt,LUCKEYY❤️,39340
6gqpyxeGUKByOf9EzJj8VA,Rolitas sad en español ,36,1mimovgs2ulmkyw0qvva13ly0,Pato,39239
0EnxtmUWMDfRq5ffq3nC3R,billies saddest songs,27,9ex97rakll4p05t4utwab2enb,emma🔮,37225
2H5y7v3fe12sIrMx9rvD6H,Para llorar 😢 Música sad 💔,66,31kzxxcfa7qruhkbp7cy6pcvoemy,DSimo Publishing,34536
0VPrITrZqpMpIRGAs33Tmz,Sad song 😢😢😢🥺🥺🥺💔💔💔💔😭😭😭😭😭😭,42,31ebbil2lolvqltmbl3imsyw2oca,Priyanka shaw,32058
4C7U4TOO4osLNn8cPkZ0Dr,Lofi Sad Slowed + Reverbed,98,31au2xrmqhcpvrpb7awm2yhosk3i,HR,22653
4iMve9EexOaKNXE6D689UZ,OPM Sad Songs 2023 😢,101,jyhra99st5nhex8kfo4um2dh7,buntala,21719
4O77TD3uISefqd9AwW7sOy,those sad tiktok songs,230,1259464877,dolcelty,21687
2KCMC2gsCcisgHZQ11GLO1,OPM songs para makapagsadgirl ka,28,g0zt6xln5w8480feamohgyi5y,Nixi,21265
2pw2jnS9yGaRnycEsqH7D6,Sad Argentina,151,cmjtfxia6g86mucor84gy81sm,Fiore Alvarez,20224
6k2jHcEurq4Lx0E06qwznP,Sad Bruno Mars💔,14,r1hlq49xazi3cw8p7brhtwsby,Matteo ,19856
7nBkNTekiehETAGxhlHzaa,sad vibes,75,31m2s6mp5rqj7dokdngkzmitkd5q,𝖉𝖎𝖐𝖚𝖘𝖘,19060
37i9dQZF1DWUEPngl1ogec,Marathi Sad Songs,29,spotify,Spotify,17721
5qLJZ1t38h40TIEWfZGNjg,U 1🥺 sad 💉love songs,99,31yelfksdpo6uchn7zuqt52gel4e,Harish,17620
5x5GPtVVXXvORA45Czm87Z,Arijit Singh sad songs 😭,75,316t7j4shng6uimh4yld7gox3vm4,Love song  Playlist,16951
1XE7rQIGl1NFtWEAfwn4b9,Calm songs but sad but comforting ,144,urfodtkfno5m8ydeurmo4l855,Milou <3,15784
0AJMOtsLLepmoVCMYotzvC,sad (niki ver.),19,shintaazr,shinta,14687
3ye9TjsRETWrm9pEZzeslU,Sadboy Songs,111,nv3kssja1y4kn0m5kk8z9bdb9,Welly,14569
5V4kZvvvop6o2B5wbdLeYy,Duki sad 💔,46,xvwct2ehf3skngexae03373ca,Milena,9185
1S7OqOP3ROtLFJAcoi4F4M,Sadarkah kita terlalu hancur ,27,31pamzsmhya3peoinbw2z2h4zfte,B),9115
2MRl7i8D8WwszJhmqxZhmK,Album Sad Song💔,36,316nxbmkiww4ef4xbwr5arry2pby,Mithun,8569
7lDSgt2TafqM5cuyR3RKd1,ANUEL SAD 😈🤧,26,22taogiyo7zfremjpuzdworga,Jose Saldivia,8204
4LohP7rJhFtOguGEQCsajB,Playlist ng mga sad girl,115,31bjacfysa66chgaztdxnyhgoyhe,kaisiisx,7616
4fTRgL95R1AjiePFLcslGm,Emotional Sad Instrumental Music,419,liutasil111,Lonely Together,6903
0Ea5Ch63zczaA0Lfbu0HKz,SAD FERXXO :(,46,31ghfpzefyhu3uf64mbnnpntrrz4,Juan Pablo Garzón,6725
5rvOtiM6c7BlA3YrLSbqxc,"sad, slowed songs + reverb songs ✨",188,or61qz5w8vna4urp4uqmmvax3,Love Bedroom Pop,6464
6iC16MXtWgBysN3Ae6S5c7,kannada sad feeling songs,74,divoy2bbat2p5jrh0h19arev4,Manoj acharya,5380
4fC65dHuvHoHPt4GgexLYd,Nagpuri song 💖💖💖( sadri )....❤❤💖💖😘😘💖❤,307,312wqs3v3cn5svppjyxtfqlpvnxe,Anshu Tigga,5271
6kTALWKl5t46oXnx1Qt0lA,Punjabi sad songs ,93,31rewo2oawcrvoel6qho7z23efmi,VARUN,5236
6KvepB25V0FcMn814KeD4g,Tagalog (Sad Songs)😢,19,2clokwyi6zeeuhnvmycn8rgww,Aldrin,5196
5vfFVinDqwA4a3HyVbhMxT,Sad Songs - Malayalam  😔,62,bxdealhza7yygqicot08o1ur8,ABHAI ASOKAN,5042
0HXImAKhQNKOWrFsytd3FN,sad piano songs to cry to,36,atakangc80,Atakan Gücel         🕊️,4962
04ylLQcjWCYL7DEzCXkBVV,sad songs ng mga au sa tiktok,19,31ybefpuhnrx3ufuwf35apcysgy4,Saivrt,4868
3Ntc07yZwBzkvulroiq513,Santa Grifa tristes sad💔💔,62,31lhgscmyvazrsgy6hkjvkqlc4dm,Enoc,4657
4AsukKBXQgFcxkMgEUUazN,New Sad songs 💔,35,31bdhaiz44sck6xvd3ldbwootlki,vedant borikar,4540
3cnw9SlZhjhlnnoRb6x7ZI,SAD BOYS ❤️‍🔥 SAD CORRIDOS 💔 CORRIDOS TUMBADOS 🔥,58,a91k9i62pq8s5kec9ofojcacu,Ig: corridos_alucines_23,3727
6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,46,edwenjohn,edwenjohn,3690
7wyiew3Q1YIvIgYf2lj5L9,JAWA SADVIBES🥀,22,31rc7ps32gbg2tzhkchfjuxyg7am,Fauzi,3520
7lapt78iA9Ym0UmZksts4C,Bhojpuri Sad Song 😭😣,56,31id57mhequx7fyjyawg4gxokb6y,Vishal Gupta,3478
37i9dQZF1DX1YmpVQnczaT,SPB Sad Melodies Telugu,43,spotify,Spotify,3064
4tCn8dhtXKWDxpBpmcpAWD,Lagu sad tiktok 2023,44,31r5zo73mci4f3mgntewvji4dlxe,Sad vibes,3026
6EpsFx7x7svys2p4NR514t,Jubin Nautiyal Sad Songs!😭😭💔💔,58,31bhj4qg35qsrdvujilij4muysei,𝘿'𝙄𝙎𝙃𝙐,2967
0QRewKfHJJssCdlDoakmN1,filipinong sadboi,178,chickensoupforthebowl,Jikky,2747
