name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Wish You The Best,35,210880,3W5KHP0Yr56ejVDns9vci3,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,1,7dhkqX7ovYADB1xwZr9bwS,2023-04-14,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
Glimpse of Us,85,233456,6xGruZOHLs39ZbVccQTuPZ,3MZsBdqDrRTJihTHQrO6Dq,Joji,1,6ZZvx0aefZV3LKa053fn71,2022-06-10,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
Daylight,95,212953,1odExI7RdWc4BT515LTAwj,33NVpKoXjItPwUJTMZIOiY,David Kushner,1,6NcI39WPu4kY6Tul11nhSv,2023-04-14,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
Before You Go,86,215106,2gMXnyrvIjhVBUZwvLZDMP,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,1,2wiPF3m0ylst0JSk1IvZL8,2019-11-22,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
the grudge,88,189386,3Nl5OkkmS5DaBZvuYofpAt,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,1,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
It'll Be Okay,77,222800,2KnLkZ3z7PO3kgVGHGqDpD,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,1,3sDud6BapENewYxlL8VH8r,2021-12-01,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
GHOST TOWN,78,193733,135Lf4Q0CzlMNfOxbEUsLH,22wbnEMDvgVIAGdFeek6ET,Benson Boone,1,4NTDxbwbo2rMGMm6U9UAEP,2021-10-15,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
traitor,88,229226,5CZ40GBx1sQ9agT82CLQCT,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,1,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
Never Felt So Alone,78,160166,2NbsBSshscKIPRG3kwBbfo,2feDdbD5araYcm6JhFHHw7,Labrinth,1,33JqWTchq6piiQddrRIvJX,2023-04-07,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
Fingers Crossed,2,175344,5S9Zs5g9lTWnLIboN1pdlU,79AyR6ATpj2LTPxfb6FX50,Lauren Spencer Smith,1,1UPlwdM0JYNwlDcKbeXrKZ,2022-01-05,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
How Do I Say Goodbye,80,163603,5hnGrTBaEsdukpDF6aZg8a,3QSQFmccmX81fWCUSPTS7y,Dean Lewis,1,3cptxwPFf3Ioj7I3AVX3mp,2022-08-31,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
Flowers (Demo),52,210826,3MnewZrZDqej6thgEx3OB1,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,1,0HiZ8fNXwJOQcrf5iflrdz,2023-03-10,3c0Nv5CY6TIaRszlTZbUFk,sad songs 2023 😢 crying and depressing music
