track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3W5KHP0Yr56ejVDns9vci3,0.678,0.48,3,-3.607,1,0.0298,0.588,0.0,0.0954,0.49,107.934,210880
6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456
1odExI7RdWc4BT515LTAwj,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,212954
2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107
3Nl5OkkmS5DaBZvuYofpAt,0.548,0.307,10,-9.214,1,0.0781,0.916,0.0,0.0828,0.317,127.923,189386
2KnLkZ3z7PO3kgVGHGqDpD,0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262,222800
135Lf4Q0CzlMNfOxbEUsLH,0.391,0.335,0,-10.064,1,0.0763,0.389,0.0,0.102,0.116,174.185,193733
5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227
2NbsBSshscKIPRG3kwBbfo,0.436,0.409,5,-4.438,1,0.0533,0.499,0.000166,0.38,0.363,98.357,160166
5S9Zs5g9lTWnLIboN1pdlU,0.603,0.473,5,-7.23,1,0.0511,0.616,0.0,0.31,0.446,109.494,175345
5hnGrTBaEsdukpDF6aZg8a,0.4,0.641,8,-6.303,1,0.0674,0.214,0.0,0.0656,0.393,81.552,163603
3MnewZrZDqej6thgEx3OB1,0.672,0.159,9,-8.76,0,0.0343,0.962,1.83e-05,0.106,0.117,113.218,210827
4VtRHZ4tBDHaWltVAytlLY,0.663,0.251,6,-9.87,0,0.0435,0.88,0.0,0.0932,0.528,90.272,215000
1is8gU4RVcN4J8xItxWoOY,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213,204094
16axxBqfSvis8mjhrLHWeH,0.568,0.289,11,-8.973,1,0.0395,0.858,0.0,0.0943,0.338,140.122,162390
3S8jK1mGzQi24ilFb45DAZ,0.619,0.241,11,-7.102,0,0.046,0.9,0.0,0.116,0.0719,79.461,149190
46IZ0fSY2mpAiktS3KOqds,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695
4bYwK4mvWubnAkCextxH2d,0.612,0.691,10,-10.67,1,0.0454,0.419,0.0242,0.145,0.632,151.029,243600
1ujxjsoNvh4XgS2fUNwkZ2,0.509,0.79,0,-7.105,0,0.0293,0.218,0.125,0.144,0.625,147.073,320467
4ZLzoOkj0MPWrTLvooIuaa,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,179080
2tbu7dOzCjM5JrPGr0sIes,0.531,0.494,0,-6.819,1,0.0317,0.302,0.0,0.0888,0.24,79.974,213133
6uvh0In7u1Xn4HgxOfAn8O,0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,0.386,114.199,245964
0pdKRp2sUthTPe7RLWpPqQ,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,218883
0QZ5yyl6B6utIWkxeBDxQN,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212
6qiKCo71hFtk1lxPw6GpF0,0.803,0.319,0,-13.473,1,0.141,0.873,0.000126,0.0974,0.37,130.11,195698
0BiqmkasE5FdrChwKfVp8X,0.422,0.235,6,-12.379,1,0.0568,0.826,0.00648,0.115,0.068,165.71,218503
7lPN2DXiMsVn7XUKtOW1CS,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014
43UvjV5jo3kow2N3BeWBjM,0.556,0.637,8,-7.946,1,0.0363,0.387,1.5e-06,0.166,0.233,101.839,163910
3FAJ6O0NOHQV8Mc5Ri6ENp,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371
54Zzt723552wWgI6OYNj29,0.702,0.489,9,-8.168,1,0.0362,0.455,0.0,0.136,0.71,91.958,136656
2NeM9rfWo70KQej9GxeaoL,0.608,0.358,0,-10.018,0,0.0253,0.854,0.0186,0.113,0.365,103.94,202010
1KcWmpoza6y7iPhK4DlbbE,0.519,0.583,6,-7.769,0,0.044,0.143,0.0,0.117,0.237,115.964,196810
7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161
7ymcXnlWyHSCaStNLMJ79B,0.679,0.319,5,-9.071,0,0.0511,0.781,0.0,0.138,0.0764,109.559,203920
44V6EzbUSYgyfsNiP0FrlA,0.471,0.396,8,-6.654,1,0.0336,0.77,0.0,0.0729,0.263,149.609,215507
0Fu46P4ezIwxnDBoI3Pbpb,0.476,0.373,7,-9.882,1,0.12,0.465,0.0,0.26,0.249,95.916,213147
7JDH3hjFyq1qOpJp4sSGEy,0.502,0.187,4,-10.266,1,0.0361,0.934,0.0,0.101,0.179,149.68,202600
754zNJgoWQaGETFzSYVlmC,0.478,0.339,4,-7.355,1,0.0544,0.688,0.0,0.104,0.288,145.441,203300
0TKWCaKxOhUiDozjfbwt4E,0.377,0.379,9,-7.592,0,0.0347,0.77,0.000104,0.13,0.153,117.385,177988
0iNZGC211wst3VjtobNnC5,0.326,0.397,6,-8.145,1,0.0461,0.619,0.0,0.0979,0.276,153.713,216095
2pOzcg0ID39t34si3387GC,0.528,0.681,10,-4.718,1,0.198,0.0224,0.0,0.13,0.322,173.924,206560
6RQ5IwG7uADz9LDWliJGjU,0.604,0.199,0,-11.831,1,0.05,0.777,0.0,0.109,0.191,76.134,158840
1j4kHkkpqZRBwE0A4CN4Yv,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,239000
1vaEz2Dosb61aioYrwL96w,0.576,0.519,5,-11.537,0,0.256,0.479,0.0,0.137,0.4,160.392,192000
5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,211467
1A6gT680oQr98VtDkNzys7,0.559,0.763,0,-4.16,1,0.105,0.403,0.0,0.127,0.349,91.069,158221
5HGrUHHL9w04CI4FAV0ebl,0.525,0.636,5,-6.135,1,0.0298,0.0995,3.6e-06,0.0959,0.214,143.801,214933
75ZvA4QfFiZvzhj2xkaWAh,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347
12vwELNTa7drAVrSmojE8V,0.831,0.528,11,-9.173,1,0.207,0.446,1.6e-05,0.105,0.288,89.986,160000
52okn5MNA47tk87PeZJLEL,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,212120
4z6WccDs6Kicm6C73T9URe,0.44,0.646,0,-6.322,0,0.0342,0.59,4.92e-05,0.138,0.111,139.802,253714
45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266
