track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,genre,duration_ms,num_artists,duration_mins,album_name,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_chill_opm_proba,genre_happy_opm_proba,genre_hugot_opm_proba,genre_sad_opm_proba
3OpGUlDmRUXh0NkIYWoIlD,Your Song,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,0kV35wyXIJKk04VRG0DdF4,168493.0,2003,70,0.636,0.159,11.0,-13.117,1.0,0.0549,0.892,0.0,0.1119999999999999,0.6579999999999999,119.766,37i9dQZF1DX4olOMiqFeqU,OPM Favorites,opm,,,,,3,sad_opm,0.5818440423313089,0.2562087595169088,0.08140963764902641,0.08053756050275572,0.5818440423313089
761frfZtZ8I2g70UsjFfBK,I Need You More Today,3XEHRbR9NMWfNzQ6TQMS9M,Caleb Santos,4TyVEjoScAou6qVjhXyYfp,233728.0,2016-12-02,63,0.474,0.522,11.0,-7.513,1.0,0.0408,0.36,0.0,0.123,0.4479999999999999,157.225,37i9dQZF1DX4olOMiqFeqU,OPM Favorites,opm,,,,,0,chill_opm,0.5114731811735057,0.5114731811735057,0.09824202864258884,0.11271274572062297,0.27757204446328243
4r3wYgrJ3Q30ldSk05e6KP,Kiss (Never Let Me Go),0001ZVMPt41Vwzt1zsmuzp,Thyro & Yumi,0tSrGWDVpvBzlD8OWSRmg6,259714.0,2020-04-17,11,0.5710000000000001,0.534,0.0,-7.451,1.0,0.0336,0.0601,0.0,0.3,0.544,139.972,37i9dQZF1DX4olOMiqFeqU,OPM Favorites,opm,,,,,0,chill_opm,0.5913187990059656,0.5913187990059656,0.0922212506876004,0.05789349430926632,0.2585664559971676
3VcVQmMivq2ISfKUmIuvMK,Rainbow,6ZgBJRjJsK1iOJGKGZxEUv,South Border,6bMej3xtNOTiiHLdhR4wzX,347120.0,2005-01-01,63,0.66,0.2239999999999999,5.0,-13.425999999999998,1.0,0.0307,0.425,2.02e-06,0.1009999999999999,0.382,88.01100000000001,37i9dQZF1DX4olOMiqFeqU,OPM Favorites,opm,,,,,0,chill_opm,0.6640871715577596,0.6640871715577596,0.08727130147718377,0.08157028686440451,0.16707124010065177
1FHCU1rDAeaPsBW9byjJ0Q,12:51,09DdQEMQaaq0f99vqqub3V,krissy & ericka,5M4GVkxOl3joHIkvNrAlbJ,246280.0,2011-01-01,61,0.503,0.357,3.0,-9.36,1.0,0.0272,0.727,0.0,0.128,0.4379999999999999,136.135,37i9dQZF1DX4olOMiqFeqU,OPM Favorites,opm,,,,,3,sad_opm,0.6680714582534802,0.23019506638627765,0.01805752453853338,0.08367595082170867,0.6680714582534802
6wdCelHrPh7UfliNjwRTUv,Leaves,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,5Yl1Bi501CuE72jaVK4e3y,310708.0,2017-03-31,69,0.447,0.16,6.0,-10.896,1.0,0.0372,0.913,0.0,0.0891,0.205,118.313,37i9dQZF1DX4olOMiqFeqU,OPM Favorites,opm,,,,,3,sad_opm,0.7777030265428423,0.10403821114712201,0.030082821207290795,0.08817594110274446,0.7777030265428423
0HZ3OUVrGHxttD2EuHqRm3,The Day You Said Goodnight,6Ww3OMFzCaO33ulKh1LBFN,Hale,472GgeFZaCdRLcL3cT0IAn,291357.0,2005,70,0.5579999999999999,0.5529999999999999,4.0,-6.669,1.0,0.0323,0.492,0.0,0.1159999999999999,0.251,134.263,37i9dQZF1DX4olOMiqFeqU,OPM Favorites,opm,,,,,0,chill_opm,0.45280485521411434,0.45280485521411434,0.03468860936097896,0.1528611103232003,0.3596454251017065
2v5VIWMjZxeiG52KckiXxS,Ikaw Lamang,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,08SEZDvRXrrNs1C2y73MLi,306466.0,2007,69,0.3939999999999999,0.623,9.0,-5.029,1.0,0.0384,0.573,0.0,0.0937,0.316,115.003,37i9dQZF1DX4olOMiqFeqU,OPM Favorites,opm,,,,,3,sad_opm,0.4558333864871686,0.3686500464309141,0.05168391021005036,0.12383265687186709,0.4558333864871686
7gZ3kWNtIxFgxjsm5OTVMB,214,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,65GkUxR6lYlCiYP4mqyZl1,273200.0,2001,64,0.537,0.561,4.0,-6.961,0.0,0.0297,0.423,1.64e-06,0.134,0.242,78.13,37i9dQZF1DX4olOMiqFeqU,OPM Favorites,opm,,,,,0,chill_opm,0.794349943289087,0.794349943289087,0.014105789456319968,0.0572865511658825,0.13425771608871015
6mdmVPI2uIR2B2kHRRI8nb,Tell Me Where It Hurts,5elcNQkZ6FCZA3grSOMngY,MYMP,0tH9g6Q7va9BzCY2pAFygZ,253013.0,2005-05-09,29,0.726,0.542,7.0,-7.952000000000001,1.0,0.042,0.7020000000000001,0.0,0.0962,0.396,89.583,37i9dQZF1DX4olOMiqFeqU,OPM Favorites,opm,,,,,0,chill_opm,0.6159972195165025,0.6159972195165025,0.04381416610555684,0.07962560885778648,0.260563005520154
