track_id,track_name,streams
1fi8KOnEM6Jz9moa2yGFgQ,Open Road,849889
6RoTjW8XeWl0XWnzVDw0Tm,Settled,845760
5KoE6YC2zs6Xo9irRTkFhx,Tides,3455114
2v8UbLqHJMmG8p35PJMrWF,Doubt,563931
4E8BDl8tO6ySqW6gOdwG91,Hither (2017 Version),537762
26hZGBuO7ByLpCCnAVLj1y,Something Better,920568
6iJnUiGnUkFZ9cxoANrMwQ,Traces,801226
7pyv9QAuVUU6bITo2j8cwZ,Present Tense,526051
60rWJdLzVCbbCSVEBFPFjz,Run (2017 Version),671880
2iQTzCR20JmKQNJjDjs2Vd,Images (2017 Version),518430
0CrKmrc7eW2AIFpVbJitcY,Fools (2017 Version),781359
