Date,Popularity Score
2021-12-01,35
2021-12-02,35
2021-12-03,35
2021-12-04,35
2021-12-05,35
2021-12-06,35
2021-12-07,36
2021-12-08,36
2021-12-09,36
2021-12-10,36
2021-12-11,36
2021-12-12,36
2021-12-13,36
2021-12-14,36
2021-12-15,36
2021-12-16,36
2021-12-17,36
2021-12-18,36
2021-12-19,36
2021-12-20,36
2021-12-21,36
2021-12-22,36
2021-12-23,36
2021-12-24,36
2021-12-25,36
2021-12-26,36
2021-12-27,37
2021-12-28,37
2021-12-29,37
2021-12-30,37
2021-12-31,37
2022-01-01,37
2022-01-02,37
2022-01-03,37
2022-01-04,37
2022-01-05,37
2022-01-06,37
2022-01-07,37
2022-01-08,37
2022-01-09,37
2022-01-10,37
2022-01-11,37
2022-01-12,37
2022-01-13,37
2022-01-14,37
2022-01-15,36
2022-01-16,36
2022-01-17,36
2022-01-18,36
2022-01-19,36
2022-01-20,36
2022-01-21,36
2022-01-22,36
2022-01-23,36
2022-01-24,36
2022-01-25,35
2022-01-26,35
2022-01-27,36
2022-01-28,36
2022-01-29,36
2022-01-30,36
2022-01-31,36
2022-02-01,36
2022-02-02,36
2022-02-03,36
2022-02-04,36
2022-02-05,36
2022-02-06,36
2022-02-07,36
2022-02-08,36
2022-02-09,36
2022-02-10,36
2022-02-11,36
2022-02-12,36
2022-02-13,36
2022-02-14,36
2022-02-15,36
2022-02-16,36
2022-02-17,36
2022-02-18,36
2022-02-19,36
2022-02-20,36
2022-02-21,36
2022-02-22,36
2022-02-23,36
2022-02-24,36
2022-02-25,36
2022-02-26,36
2022-02-27,36
2022-02-28,36
2022-03-01,36
2022-03-02,36
2022-03-03,36
2022-03-04,36
2022-03-05,36
2022-03-06,36
2022-03-07,36
2022-03-08,36
2022-03-09,36
2022-03-10,36
2022-03-11,36
2022-03-12,36
2022-03-13,36
2022-03-14,36
2022-03-15,36
2022-03-16,36
2022-03-17,36
2022-03-18,36
2022-03-19,36
2022-03-20,36
2022-03-21,36
2022-03-22,36
2022-03-23,36
2022-03-24,36
2022-03-25,36
2022-03-26,36
2022-03-27,36
2022-03-28,36
2022-03-29,36
2022-03-30,36
2022-03-31,36
2022-04-01,36
2022-04-02,36
2022-04-03,36
2022-04-04,36
2022-04-05,36
2022-04-06,36
2022-04-07,36
2022-04-08,36
2022-04-09,36
2022-04-10,36
2022-04-11,36
2022-04-12,36
2022-04-13,36
2022-04-14,36
2022-04-15,36
2022-04-16,36
2022-04-17,36
2022-04-18,36
2022-04-19,36
2022-04-20,36
2022-04-21,36
2022-04-22,36
2022-04-23,37
2022-04-24,37
2022-04-25,37
2022-04-26,37
2022-04-27,37
2022-04-28,37
2022-04-29,37
2022-04-30,37
2022-05-01,37
2022-05-02,37
2022-05-03,37
2022-05-04,37
2022-05-05,37
2022-05-06,37
2022-05-07,36
2022-05-08,36
2022-05-09,36
2022-05-10,36
2022-05-11,36
2022-05-12,36
2022-05-13,36
2022-05-14,32
2022-05-15,32
2022-05-16,32
2022-05-17,32
2022-05-18,32
2022-05-19,32
2022-05-20,32
2022-05-21,32
2022-05-22,32
2022-05-23,32
2022-05-24,32
2022-05-25,32
2022-05-26,32
2022-05-27,32
2022-05-28,32
2022-05-29,31
2022-05-30,31
2022-05-31,31
2022-06-01,31
2022-06-02,31
2022-06-03,31
2022-06-04,31
2022-06-05,31
2022-06-06,31
2022-06-07,31
2022-06-08,31
2022-06-09,31
2022-06-10,31
2022-06-11,31
2022-06-12,31
2022-06-13,31
2022-06-14,31
2022-06-15,31
2022-06-16,31
2022-06-17,31
2022-06-18,31
2022-06-19,31
2022-06-20,31
2022-06-21,31
2022-06-22,31
2022-06-23,31
2022-06-24,31
2022-06-25,31
2022-06-26,31
2022-06-27,31
2022-06-28,31
2022-06-29,31
2022-06-30,31
2022-07-01,31
2022-07-02,31
2022-07-03,31
2022-07-04,31
2022-07-05,31
2022-07-06,31
2022-07-07,31
2022-07-08,31
2022-07-09,31
2022-07-10,31
2022-07-11,31
2022-07-12,31
2022-07-13,31
2022-07-14,31
2022-07-15,31
2022-07-16,31
2022-07-17,31
2022-07-18,31
2022-07-19,31
2022-07-20,31
2022-07-21,31
2022-07-22,31
2022-07-23,31
2022-07-24,31
2022-07-25,31
2022-07-26,31
2022-07-27,31
2022-07-28,31
2022-07-29,31
2022-07-30,31
2022-07-31,31
2022-08-01,31
2022-08-02,31
2022-08-03,31
2022-08-04,31
2022-08-05,31
2022-08-06,31
2022-08-07,31
2022-08-08,31
2022-08-09,31
2022-08-10,31
2022-08-11,31
2022-08-12,31
2022-08-13,31
2022-08-14,31
2022-08-15,31
2022-08-16,31
2022-08-17,31
2022-08-18,31
2022-08-19,31
2022-08-20,31
2022-08-21,31
2022-08-22,31
2022-08-23,31
2022-08-24,31
2022-08-25,31
2022-08-26,31
2022-08-27,31
2022-08-28,31
2022-08-29,31
2022-08-30,31
2022-08-31,31
2022-09-01,31
2022-09-02,31
2022-09-03,31
2022-09-04,31
2022-09-05,31
2022-09-06,31
2022-09-07,31
2022-09-08,31
2022-09-09,31
2022-09-10,31
2022-09-11,31
2022-09-12,31
2022-09-13,31
2022-09-14,31
2022-09-15,31
2022-09-16,31
2022-09-17,31
2022-09-18,31
2022-09-19,31
2022-09-20,31
2022-09-21,31
2022-09-22,31
2022-09-23,31
2022-09-24,31
2022-09-25,31
2022-09-26,31
2022-09-27,31
2022-09-28,31
2022-09-29,31
2022-09-30,31
2022-10-01,31
2022-10-02,31
2022-10-03,31
2022-10-04,31
2022-10-05,32
2022-10-06,32
2022-10-07,32
2022-10-08,32
2022-10-09,32
2022-10-10,32
2022-10-11,32
2022-10-12,32
2022-10-13,32
2022-10-14,32
2022-10-15,32
2022-10-16,32
2022-10-17,32
2022-10-18,32
2022-10-19,32
2022-10-20,32
2022-10-21,32
2022-10-22,32
2022-10-23,32
2022-10-24,32
2022-10-25,32
2022-10-26,32
2022-10-27,32
2022-10-28,32
2022-10-29,32
2022-10-30,32
2022-10-31,32
2022-11-01,32
2022-11-02,31
2022-11-03,31
2022-11-04,31
2022-11-05,31
2022-11-06,31
2022-11-07,31
2022-11-08,31
2022-11-09,31
2022-11-10,31
2022-11-11,31
2022-11-12,31
2022-11-13,31
2022-11-14,31
2022-11-15,31
2022-11-16,31
2022-11-17,31
2022-11-18,31
2022-11-19,31
2022-11-20,31
2022-11-21,31
2022-11-22,31
2022-11-23,31
2022-11-24,31
2022-11-25,31
2022-11-26,31
2022-11-27,31
2022-11-28,31
2022-11-29,31
2022-11-30,32
2022-12-01,32
2022-12-02,32
2022-12-03,32
2022-12-04,32
2022-12-05,32
2022-12-06,32
2022-12-07,32
2022-12-08,32
2022-12-09,32
2022-12-10,32
2022-12-11,32
2022-12-12,32
2022-12-13,32
2022-12-14,32
2022-12-15,32
2022-12-16,32
2022-12-17,32
2022-12-18,32
2022-12-19,32
2022-12-20,32
2022-12-21,33
2022-12-22,33
2022-12-23,33
2022-12-24,33
2022-12-25,33
2022-12-26,33
2022-12-27,33
2022-12-28,33
2022-12-29,33
2022-12-30,33
2022-12-31,33
2023-01-01,33
2023-01-02,33
2023-01-03,33
2023-01-04,33
2023-01-05,33
2023-01-06,33
2023-01-07,33
2023-01-08,33
2023-01-09,33
2023-01-10,33
2023-01-11,33
2023-01-12,33
2023-01-13,33
2023-01-14,33
2023-01-15,33
2023-01-16,33
2023-01-17,33
2023-01-18,34
2023-01-19,34
2023-01-20,34
2023-01-21,34
2023-01-22,34
2023-01-23,34
2023-01-24,34
2023-01-25,34
2023-01-26,34
2023-01-27,34
2023-01-28,34
2023-01-29,34
2023-01-30,34
2023-01-31,34
2023-02-01,35
2023-02-02,35
2023-02-03,35
2023-02-04,35
2023-02-05,35
2023-02-06,35
2023-02-07,35
2023-02-08,36
2023-02-09,36
2023-02-10,36
2023-02-11,36
2023-02-12,36
2023-02-13,36
2023-02-14,36
2023-02-15,36
2023-02-16,36
2023-02-17,36
2023-02-18,36
2023-02-19,36
2023-02-20,36
2023-02-21,36
2023-02-22,37
2023-02-23,37
2023-02-24,37
2023-02-25,37
2023-02-26,37
2023-02-27,37
2023-02-28,37
2023-03-01,37
2023-03-02,37
2023-03-03,37
2023-03-04,37
2023-03-05,37
2023-03-06,37
2023-03-07,37
2023-03-08,36
2023-03-09,36
2023-03-10,36
2023-03-11,36
2023-03-12,36
2023-03-13,36
2023-03-14,36
2023-03-15,36
2023-03-16,36
2023-03-17,36
2023-03-18,36
2023-03-19,36
2023-03-20,36
2023-03-21,36
2023-03-22,35
2023-03-23,35
2023-03-24,35
2023-03-25,35
2023-03-26,35
2023-03-27,35
2023-03-28,35
2023-03-29,34
2023-03-30,34
2023-03-31,34
2023-04-01,34
2023-04-02,34
2023-04-03,34
2023-04-04,34
2023-04-05,34
2023-04-06,34
2023-04-07,34
2023-04-08,34
2023-04-09,34
2023-04-10,34
2023-04-11,34
2023-04-12,33
2023-04-13,33
2023-04-14,33
2023-04-15,33
2023-04-16,33
2023-04-17,33
2023-04-18,33
2023-04-19,33
2023-04-20,33
2023-04-21,33
2023-04-22,33
2023-04-23,33
2023-04-24,33
2023-04-25,33
2023-04-26,33
2023-04-27,33
2023-04-28,33
2023-04-29,33
2023-04-30,33
2023-05-01,33
2023-05-02,33
2023-05-03,32
2023-05-04,32
2023-05-05,32
2023-05-06,32
2023-05-07,32
2023-05-08,32
2023-05-09,32
2023-05-10,32
2023-05-11,32
2023-05-12,32
2023-05-13,32
2023-05-14,32
2023-05-15,32
2023-05-16,32
2023-05-17,32
2023-05-18,32
2023-05-19,32
2023-05-20,32
2023-05-21,32
2023-05-22,32
2023-05-23,32
2023-05-24,31
2023-05-25,31
2023-05-26,31
2023-05-27,31
2023-05-28,31
2023-05-29,31
2023-05-30,31
2023-05-31,31
2023-06-01,31
2023-06-02,31
2023-06-03,31
2023-06-04,31
2023-06-05,31
2023-06-06,31
2023-06-07,31
2023-06-08,31
2023-06-09,31
2023-06-10,31
2023-06-11,31
2023-06-12,31
2023-06-13,31
2023-06-14,31
2023-06-15,31
2023-06-16,31
2023-06-17,31
2023-06-18,31
2023-06-19,31
2023-06-20,31
2023-06-21,31
2023-06-22,31
2023-06-23,31
2023-06-24,31
2023-06-25,31
2023-06-26,31
2023-06-27,31
2023-06-28,31
2023-06-29,31
2023-06-30,31
2023-07-01,31
2023-07-02,31
2023-07-03,31
2023-07-04,31
2023-07-05,30
2023-07-06,30
2023-07-07,30
2023-07-08,30
2023-07-09,30
2023-07-10,30
2023-07-11,30
2023-07-12,30
2023-07-13,29
2023-07-14,29
2023-07-15,29
2023-07-16,29
2023-07-17,29
2023-07-18,29
2023-07-19,29
2023-07-20,29
2023-07-21,29
2023-07-22,29
2023-07-23,29
2023-07-24,29
2023-07-25,29
2023-07-26,29
2023-07-27,29
2023-07-28,29
2023-07-29,29
2023-07-30,29
2023-07-31,29
2023-08-01,29
2023-08-02,29
2023-08-03,29
2023-08-04,29
2023-08-05,29
2023-08-06,29
2023-08-07,29
2023-08-08,29
2023-08-09,29
2023-08-10,29
2023-08-11,29
2023-08-12,29
2023-08-13,29
2023-08-14,29
2023-08-15,29
2023-08-16,29
2023-08-17,29
2023-08-18,29
2023-08-19,29
2023-08-20,29
2023-08-21,29
2023-08-22,29
2023-08-23,29
2023-08-24,29
2023-08-25,29
2023-08-26,29
2023-08-27,29
2023-08-28,29
2023-08-29,29
2023-08-30,29
2023-08-31,29
2023-09-01,29
2023-09-02,29
2023-09-03,29
2023-09-04,29
2023-09-05,29
2023-09-06,29
2023-09-07,29
2023-09-08,29
2023-09-09,29
2023-09-10,29
2023-09-11,29
2023-09-12,29
2023-09-13,29
2023-09-14,29
2023-09-15,29
2023-09-16,29
2023-09-17,29
2023-09-18,29
2023-09-19,29
2023-09-20,30
2023-09-21,30
2023-09-22,30
2023-09-23,30
2023-09-24,30
2023-09-25,30
2023-09-26,30
2023-09-27,30
2023-09-28,30
2023-09-29,30
2023-09-30,30
2023-10-01,30
2023-10-02,30
2023-10-03,30
2023-10-04,30
2023-10-05,30
2023-10-06,30
2023-10-07,30
2023-10-08,30
2023-10-09,30
2023-10-10,30
2023-10-11,30
2023-10-12,30
2023-10-13,30
2023-10-14,30
2023-10-15,30
2023-10-16,30
2023-10-17,30
2023-10-18,30
2023-10-19,30
2023-10-20,30
2023-10-21,30
2023-10-22,30
2023-10-23,30
2023-10-24,30
2023-10-25,30
